# LutGenerate 2.1 - 10/21/03
#  Display ID: DELL_1900FP_AG43
# Ambient = 0.10   Max. Luminence = 225.00   Luminence Ratio = 250.00
#  lumResponse vers. 1.5b - 10/21/03
#  iLdelay=1  avgN=1  ILlimit=0.50  R=23.2% G=66.2% B=10.6%
1:  033  033  032
2:  035  034  035
3:  035  036  036
4:  037  037  038
5:  039  038  039
6:  039  040  039
7:  040  041  041
8:  042  042  041
9:  043  043  043
10:  044  044  043
11:  045  045  044
12:  045  046  046
13:  046  047  046
14:  048  047  048
15:  049  048  049
16:  049  049  050
17:  050  050  049
18:  050  051  050
19:  052  051  052
20:  052  052  053
21:  053  053  052
22:  054  053  054
23:  054  054  055
24:  054  055  055
25:  055  056  055
26:  057  056  056
27:  056  057  057
28:  058  057  058
29:  058  058  058
30:  058  059  058
31:  060  059  059
32:  060  060  059
33:  061  060  061
34:  061  061  061
35:  061  062  061
36:  063  062  062
37:  063  063  062
38:  064  063  064
39:  064  064  065
40:  064  065  065
41:  066  065  066
42:  066  066  066
43:  066  067  066
44:  068  067  067
45:  068  068  067
46:  068  069  068
47:  069  069  070
48:  069  070  070
49:  071  070  071
50:  071  071  071
51:  071  072  071
52:  073  072  072
53:  073  073  072
54:  074  073  074
55:  074  074  075
56:  074  075  075
57:  076  075  076
58:  076  076  076
59:  076  077  076
60:  078  077  078
61:  078  078  078
62:  078  079  078
63:  080  079  079
64:  080  080  079
65:  080  081  080
66:  081  081  082
67:  081  082  082
68:  083  082  083
69:  083  083  084
70:  083  084  084
71:  085  084  085
72:  085  085  086
73:  085  086  086
74:  087  086  087
75:  087  087  087
76:  087  088  088
77:  089  088  089
78:  089  089  089
79:  089  090  089
80:  091  090  091
81:  091  091  092
82:  091  092  092
83:  093  092  093
84:  093  093  094
85:  093  094  094
86:  095  094  095
87:  095  095  096
88:  095  096  096
89:  097  096  097
90:  097  097  098
91:  097  098  098
92:  099  098  099
93:  099  099  100
94:  099  100  100
95:  101  100  101
96:  101  101  101
97:  101  102  102
98:  103  102  103
99:  103  103  104
100:  103  104  104
101:  105  104  104
102:  105  105  105
103:  105  106  106
104:  107  106  107
105:  108  107  107
106:  107  108  108
107:  108  109  108
108:  110  109  109
109:  110  110  109
110:  110  111  111
111:  112  111  111
112:  112  112  113
113:  112  113  113
114:  113  114  113
115:  115  114  114
116:  116  115  116
117:  116  116  116
118:  116  117  117
119:  118  117  118
120:  118  118  119
121:  119  119  118
122:  119  120  119
123:  121  120  121
124:  122  121  121
125:  122  122  121
126:  122  123  123
127:  124  123  124
128:  124  124  125
129:  125  125  125
130:  125  126  125
131:  127  126  127
132:  128  127  127
133:  128  128  128
134:  128  129  129
135:  129  130  129
136:  131  130  130
137:  132  131  131
138:  132  132  132
139:  132  133  133
140:  133  134  133
141:  135  134  134
142:  135  135  136
143:  136  136  135
144:  136  137  137
145:  138  137  138
146:  139  138  139
147:  139  139  140
148:  140  140  139
149:  140  141  140
150:  141  142  141
151:  143  142  143
152:  143  143  144
153:  144  144  144
154:  145  145  144
155:  145  146  145
156:  146  147  146
157:  148  147  147
158:  148  148  149
159:  149  149  149
160:  149  150  150
161:  150  151  150
162:  152  151  152
163:  153  152  153
164:  153  153  154
165:  154  154  154
166:  155  155  154
167:  155  156  156
168:  156  157  156
169:  157  158  157
170:  159  158  159
171:  160  159  159
172:  160  160  161
173:  161  161  161
174:  162  162  161
175:  162  163  162
176:  163  164  164
177:  164  165  164
178:  166  165  166
179:  167  166  167
180:  168  167  168
181:  169  168  168
182:  169  169  170
183:  170  170  171
184:  171  171  171
185:  172  172  172
186:  173  173  172
187:  173  174  174
188:  174  175  175
189:  175  176  175
190:  176  177  176
191:  177  178  177
192:  178  179  178
193:  180  179  180
194:  181  180  181
195:  182  181  182
196:  183  182  183
197:  184  183  184
198:  185  184  185
199:  186  185  186
200:  187  186  187
201:  188  187  188
202:  189  188  189
203:  190  189  190
204:  191  190  191
205:  192  191  192
206:  193  192  193
207:  193  194  193
208:  195  194  195
209:  195  196  195
210:  196  197  197
211:  198  198  197
212:  199  199  199
213:  200  200  201
214:  202  201  201
215:  203  202  203
216:  203  204  203
217:  204  205  205
218:  206  206  205
219:  207  207  207
220:  208  208  209
221:  210  209  209
222:  211  210  211
223:  211  212  211
224:  213  213  212
225:  214  214  214
226:  216  215  215
227:  217  216  217
228:  217  218  217
229:  218  219  219
230:  220  220  220
231:  221  221  222
232:  222  223  222
233:  223  224  223
234:  225  226  225
235:  226  227  227
236:  228  229  228
237:  229  230  229
238:  232  231  231
239:  232  233  232
240:  235  234  234
241:  236  235  236
242:  237  237  236
243:  239  238  239
244:  239  240  239
245:  241  241  241
246:  242  243  242
247:  243  244  244
248:  246  245  245
249:  246  246  246
250:  248  247  248
251:  248  249  248
252:  249  250  249
253:  250  251  250
254:  252  252  253
255:  253  253  253
256:  255  254  254
