#  lumResponse vers. 1.5b - 05/09/03
#  Display ID: DELL_1900FP_AR7D
#  iLdelay = 1   avgN = 1   ILlimit = 0.50
1  66.2  #ff0000
2  189.0  #00ff00
3  30.1  #0000ff
4  0.259  #000000
5  0.259  #000001
6  0.259  #010000
7  0.259  #010001
8  0.259  #000100
9  0.259  #000101
10  0.259  #010100
11  0.259  #010101
12  0.259  #010102
13  0.259  #020101
14  0.259  #020102
15  0.259  #010201
16  0.259  #010202
17  0.259  #020201
18  0.259  #020202
19  0.259  #020203
20  0.259  #030202
21  0.259  #030203
22  0.263  #020302
23  0.263  #020303
24  0.262  #030302
25  0.263  #030303
26  0.263  #030304
27  0.263  #040303
28  0.263  #040304
29  0.263  #030403
30  0.263  #030404
31  0.263  #040403
32  0.263  #040404
33  0.263  #040405
34  0.263  #050404
35  0.263  #050405
36  0.263  #040504
37  0.263  #040505
38  0.263  #050504
39  0.263  #050505
40  0.263  #050506
41  0.263  #060505
42  0.263  #060506
43  0.264  #050605
44  0.265  #050606
45  0.264  #060605
46  0.265  #060606
47  0.265  #060607
48  0.265  #070606
49  0.265  #070607
50  0.265  #060706
51  0.264  #060707
52  0.264  #070706
53  0.265  #070707
54  0.265  #070708
55  0.265  #080707
56  0.265  #080708
57  0.267  #070807
58  0.267  #070808
59  0.266  #080807
60  0.267  #080808
61  0.267  #080809
62  0.267  #090808
63  0.267  #090809
64  0.267  #080908
65  0.267  #080909
66  0.267  #090908
67  0.267  #090909
68  0.267  #09090a
69  0.267  #0a0909
70  0.267  #0a090a
71  0.269  #090a09
72  0.27  #090a0a
73  0.269  #0a0a09
74  0.269  #0a0a0a
75  0.27  #0a0a0b
76  0.27  #0b0a0a
77  0.27  #0b0a0b
78  0.27  #0a0b0a
79  0.27  #0a0b0b
80  0.27  #0b0b0a
81  0.27  #0b0b0b
82  0.27  #0b0b0c
83  0.271  #0c0b0b
84  0.272  #0c0b0c
85  0.272  #0b0c0b
86  0.273  #0b0c0c
87  0.274  #0c0c0b
88  0.274  #0c0c0c
89  0.274  #0c0c0d
90  0.274  #0d0c0c
91  0.274  #0d0c0d
92  0.274  #0c0d0c
93  0.274  #0c0d0d
94  0.274  #0d0d0c
95  0.274  #0d0d0d
96  0.275  #0d0d0e
97  0.275  #0e0d0d
98  0.275  #0e0d0e
99  0.277  #0d0e0d
100  0.278  #0d0e0e
101  0.278  #0e0e0d
102  0.278  #0e0e0e
103  0.278  #0e0e0f
104  0.278  #0f0e0e
105  0.278  #0f0e0f
106  0.278  #0e0f0e
107  0.279  #0e0f0f
108  0.278  #0f0f0e
109  0.278  #0f0f0f
110  0.279  #0f0f10
111  0.279  #100f0f
112  0.28  #100f10
113  0.282  #0f100f
114  0.283  #0f1010
115  0.283  #10100f
116  0.283  #101010
117  0.283  #101011
118  0.283  #111010
119  0.283  #111011
120  0.283  #101110
121  0.283  #101111
122  0.283  #111110
123  0.283  #111111
124  0.284  #111112
125  0.285  #121111
126  0.286  #121112
127  0.287  #111211
128  0.288  #111212
129  0.289  #121211
130  0.29  #121212
131  0.29  #121213
132  0.29  #131212
133  0.29  #131213
134  0.289  #121312
135  0.29  #121313
136  0.29  #131312
137  0.289  #131313
138  0.29  #131314
139  0.29  #141313
140  0.291  #141314
141  0.294  #131413
142  0.295  #131414
143  0.295  #141413
144  0.296  #141414
145  0.297  #141415
146  0.297  #151414
147  0.298  #151415
148  0.301  #141514
149  0.302  #141515
150  0.302  #151514
151  0.303  #151515
152  0.303  #151516
153  0.303  #161515
154  0.303  #161516
155  0.303  #151615
156  0.303  #151616
157  0.303  #161615
158  0.303  #161616
159  0.305  #161617
160  0.305  #171616
161  0.306  #171617
162  0.309  #161716
163  0.31  #161717
164  0.31  #171716
165  0.312  #171717
166  0.313  #171718
167  0.313  #181717
168  0.315  #181718
169  0.318  #171817
170  0.319  #171818
171  0.32  #181817
172  0.321  #181818
173  0.321  #181819
174  0.321  #191818
175  0.321  #191819
176  0.321  #181918
177  0.321  #181919
178  0.321  #191918
179  0.321  #191919
180  0.322  #19191a
181  0.323  #1a1919
182  0.324  #1a191a
183  0.328  #191a19
184  0.329  #191a1a
185  0.33  #1a1a19
186  0.331  #1a1a1a
187  0.331  #1a1a1b
188  0.331  #1b1a1a
189  0.331  #1b1a1b
190  0.331  #1a1b1a
191  0.331  #1a1b1b
192  0.331  #1b1b1a
193  0.331  #1b1b1b
194  0.333  #1b1b1c
195  0.334  #1c1b1b
196  0.335  #1c1b1c
197  0.339  #1b1c1b
198  0.34  #1b1c1c
199  0.341  #1c1c1b
200  0.343  #1c1c1c
201  0.344  #1c1c1d
202  0.345  #1d1c1c
203  0.346  #1d1c1d
204  0.351  #1c1d1c
205  0.352  #1c1d1d
206  0.354  #1d1d1c
207  0.355  #1d1d1d
208  0.355  #1d1d1e
209  0.355  #1e1d1d
210  0.355  #1e1d1e
211  0.355  #1d1e1d
212  0.355  #1d1e1e
213  0.355  #1e1e1d
214  0.355  #1e1e1e
215  0.356  #1e1e1f
216  0.357  #1f1e1e
217  0.359  #1f1e1f
218  0.364  #1e1f1e
219  0.365  #1e1f1f
220  0.366  #1f1f1e
221  0.368  #1f1f1f
222  0.37  #1f1f20
223  0.371  #201f1f
224  0.372  #201f20
225  0.377  #1f201f
226  0.379  #1f2020
227  0.38  #20201f
228  0.382  #202020
229  0.384  #202021
230  0.385  #212020
231  0.387  #212021
232  0.392  #202120
233  0.394  #202121
234  0.395  #212120
235  0.397  #212121
236  0.397  #212122
237  0.397  #222121
238  0.397  #222122
239  0.397  #212221
240  0.397  #212222
241  0.397  #222221
242  0.397  #222222
243  0.399  #222223
244  0.4  #232222
245  0.402  #232223
246  0.408  #222322
247  0.41  #222323
248  0.411  #232322
249  0.413  #232323
250  0.415  #232324
251  0.416  #242323
252  0.419  #242324
253  0.424  #232423
254  0.427  #232424
255  0.428  #242423
256  0.43  #242424
257  0.43  #242425
258  0.43  #252424
259  0.43  #252425
260  0.43  #242524
261  0.43  #242525
262  0.43  #252524
263  0.43  #252525
264  0.432  #252526
265  0.435  #262525
266  0.437  #262526
267  0.442  #252625
268  0.444  #252626
269  0.447  #262625
270  0.449  #262626
271  0.451  #262627
272  0.453  #272626
273  0.454  #272627
274  0.462  #262726
275  0.464  #262727
276  0.466  #272726
277  0.468  #272727
278  0.47  #272728
279  0.472  #282727
280  0.474  #282728
281  0.481  #272827
282  0.484  #272828
283  0.486  #282827
284  0.488  #282828
285  0.488  #282829
286  0.488  #292828
287  0.488  #292829
288  0.488  #282928
289  0.488  #282929
290  0.488  #292928
291  0.488  #292929
292  0.491  #29292a
293  0.493  #2a2929
294  0.496  #2a292a
295  0.503  #292a29
296  0.505  #292a2a
297  0.507  #2a2a29
298  0.51  #2a2a2a
299  0.512  #2a2a2b
300  0.514  #2b2a2a
301  0.517  #2b2a2b
302  0.525  #2a2b2a
303  0.527  #2a2b2b
304  0.529  #2b2b2a
305  0.532  #2b2b2b
306  0.535  #2b2b2c
307  0.537  #2c2b2b
308  0.541  #2c2b2c
309  0.548  #2b2c2b
310  0.551  #2b2c2c
311  0.553  #2c2c2b
312  0.556  #2c2c2c
313  0.556  #2c2c2d
314  0.556  #2d2c2c
315  0.556  #2d2c2d
316  0.556  #2c2d2c
317  0.556  #2c2d2d
318  0.556  #2d2d2c
319  0.556  #2d2d2d
320  0.559  #2d2d2e
321  0.561  #2e2d2d
322  0.564  #2e2d2e
323  0.572  #2d2e2d
324  0.576  #2d2e2e
325  0.578  #2e2e2d
326  0.581  #2e2e2e
327  0.584  #2e2e2f
328  0.588  #2f2e2e
329  0.591  #2f2e2f
330  0.598  #2e2f2e
331  0.601  #2e2f2f
332  0.605  #2f2f2e
333  0.608  #2f2f2f
334  0.611  #2f2f30
335  0.614  #302f2f
336  0.617  #302f30
337  0.626  #2f302f
338  0.629  #2f3030
339  0.632  #30302f
340  0.635  #303030
341  0.635  #303031
342  0.635  #313030
343  0.635  #313031
344  0.635  #303130
345  0.635  #303131
346  0.635  #313130
347  0.635  #313131
348  0.639  #313132
349  0.641  #323131
350  0.645  #323132
351  0.654  #313231
352  0.658  #313232
353  0.661  #323231
354  0.664  #323232
355  0.667  #323233
356  0.671  #333232
357  0.674  #333233
358  0.685  #323332
359  0.688  #323333
360  0.691  #333332
361  0.694  #333333
362  0.698  #333334
363  0.702  #343333
364  0.705  #343334
365  0.713  #333433
366  0.717  #333434
367  0.72  #343433
368  0.724  #343434
369  0.727  #343435
370  0.731  #353434
371  0.735  #353435
372  0.743  #343534
373  0.747  #343535
374  0.751  #353534
375  0.754  #353535
376  0.754  #353536
377  0.754  #363535
378  0.754  #363536
379  0.754  #353635
380  0.754  #353636
381  0.754  #363635
382  0.755  #363636
383  0.758  #363637
384  0.764  #373636
385  0.768  #373637
386  0.775  #363736
387  0.779  #363737
388  0.785  #373736
389  0.789  #373737
390  0.791  #373738
391  0.796  #383737
392  0.798  #383738
393  0.81  #373837
394  0.813  #373838
395  0.818  #383837
396  0.821  #383838
397  0.825  #383839
398  0.828  #393838
399  0.832  #393839
400  0.841  #383938
401  0.845  #383939
402  0.849  #393938
403  0.853  #393939
404  0.857  #39393a
405  0.861  #3a3939
406  0.865  #3a393a
407  0.878  #393a39
408  0.883  #393a3a
409  0.886  #3a3a39
410  0.891  #3a3a3a
411  0.891  #3a3a3b
412  0.891  #3b3a3a
413  0.891  #3b3a3b
414  0.891  #3a3b3a
415  0.891  #3a3b3b
416  0.891  #3b3b3a
417  0.891  #3b3b3b
418  0.896  #3b3b3c
419  0.899  #3c3b3b
420  0.904  #3c3b3c
421  0.917  #3b3c3b
422  0.922  #3b3c3c
423  0.925  #3c3c3b
424  0.93  #3c3c3c
425  0.935  #3c3c3d
426  0.939  #3d3c3c
427  0.944  #3d3c3d
428  0.957  #3c3d3c
429  0.962  #3c3d3d
430  0.966  #3d3d3c
431  0.971  #3d3d3d
432  0.977  #3d3d3e
433  0.98  #3e3d3d
434  0.986  #3e3d3e
435  1.0  #3d3e3d
436  1.006  #3d3e3e
437  1.01  #3e3e3d
438  1.016  #3e3e3e
439  1.022  #3e3e3f
440  1.029  #3f3e3e
441  1.035  #3f3e3f
442  1.048  #3e3f3e
443  1.054  #3e3f3f
444  1.061  #3f3f3e
445  1.067  #3f3f3f
446  1.072  #3f3f40
447  1.078  #403f3f
448  1.082  #403f40
449  1.102  #3f403f
450  1.106  #3f4040
451  1.112  #40403f
452  1.118  #404040
453  1.125  #404041
454  1.129  #414040
455  1.136  #414041
456  1.155  #404140
457  1.162  #404141
458  1.167  #414140
459  1.175  #414141
460  1.174  #414142
461  1.174  #424141
462  1.175  #424142
463  1.174  #414241
464  1.174  #414242
465  1.175  #424241
466  1.174  #424242
467  1.182  #424243
468  1.187  #434242
469  1.195  #434243
470  1.216  #424342
471  1.224  #424343
472  1.229  #434342
473  1.237  #434343
474  1.245  #434344
475  1.251  #444343
476  1.259  #444344
477  1.28  #434443
478  1.289  #434444
479  1.295  #444443
480  1.302  #444444
481  1.311  #444445
482  1.317  #454444
483  1.326  #454445
484  1.35  #444544
485  1.359  #444545
486  1.365  #454544
487  1.374  #454545
488  1.383  #454546
489  1.39  #464545
490  1.4  #464546
491  1.426  #454645
492  1.435  #454646
493  1.443  #464645
494  1.453  #464646
495  1.463  #464647
496  1.475  #474646
497  1.486  #474647
498  1.51  #464746
499  1.521  #464747
500  1.533  #474746
501  1.543  #474747
502  1.551  #474748
503  1.562  #484747
504  1.571  #484748
505  1.6  #474847
506  1.61  #474848
507  1.62  #484847
508  1.62  #484848
509  1.64  #484849
510  1.65  #494848
511  1.66  #494849
512  1.69  #484948
513  1.7  #484949
514  1.71  #494948
515  1.72  #494949
516  1.72  #49494a
517  1.72  #4a4949
518  1.72  #4a494a
519  1.72  #494a49
520  1.72  #494a4a
521  1.72  #4a4a49
522  1.72  #4a4a4a
523  1.74  #4a4a4b
524  1.74  #4b4a4a
525  1.76  #4b4a4b
526  1.79  #4a4b4a
527  1.8  #4a4b4b
528  1.82  #4b4b4a
529  1.83  #4b4b4b
530  1.84  #4b4b4c
531  1.85  #4c4b4b
532  1.87  #4c4b4c
533  1.9  #4b4c4b
534  1.92  #4b4c4c
535  1.93  #4c4c4b
536  1.94  #4c4c4c
537  1.96  #4c4c4d
538  1.97  #4d4c4c
539  1.98  #4d4c4d
540  2.02  #4c4d4c
541  2.03  #4c4d4d
542  2.05  #4d4d4c
543  2.06  #4d4d4d
544  2.08  #4d4d4e
545  2.09  #4e4d4d
546  2.11  #4e4d4e
547  2.14  #4d4e4d
548  2.16  #4d4e4e
549  2.18  #4e4e4d
550  2.19  #4e4e4e
551  2.21  #4e4e4f
552  2.23  #4f4e4e
553  2.24  #4f4e4f
554  2.29  #4e4f4e
555  2.3  #4e4f4f
556  2.32  #4f4f4e
557  2.33  #4f4f4f
558  2.35  #4f4f50
559  2.36  #504f4f
560  2.38  #504f50
561  2.42  #4f504f
