#  lumResponse vers. 1.5b - 04/29/03
#  Display ID: DELL_1900FP_ATR5
#  iLdelay = 1   avgN = 1   ILlimit = 0.50
1  59.1  #ff0000
2  172.0  #00ff00
3  28.6  #0000ff
4  0.228  #000000
5  0.228  #000001
6  0.228  #010000
7  0.228  #010001
8  0.228  #000100
9  0.228  #000101
10  0.229  #010100
11  0.227  #010101
12  0.228  #010102
13  0.228  #020101
14  0.228  #020102
15  0.228  #010201
16  0.228  #010202
17  0.228  #020201
18  0.228  #020202
19  0.229  #020203
20  0.228  #030202
21  0.229  #030203
22  0.232  #020302
23  0.233  #020303
24  0.232  #030302
25  0.233  #030303
26  0.233  #030304
27  0.233  #040303
28  0.233  #040304
29  0.233  #030403
30  0.233  #030404
31  0.233  #040403
32  0.233  #040404
33  0.233  #040405
34  0.233  #050404
35  0.233  #050405
36  0.233  #040504
37  0.233  #040505
38  0.233  #050504
39  0.233  #050505
40  0.233  #050506
41  0.233  #060505
42  0.233  #060506
43  0.235  #050605
44  0.235  #050606
45  0.235  #060605
46  0.235  #060606
47  0.235  #060607
48  0.235  #070606
49  0.235  #070607
50  0.235  #060706
51  0.235  #060707
52  0.235  #070706
53  0.235  #070707
54  0.236  #070708
55  0.235  #080707
56  0.236  #080708
57  0.238  #070807
58  0.238  #070808
59  0.238  #080807
60  0.238  #080808
61  0.238  #080809
62  0.238  #090808
63  0.238  #090809
64  0.238  #080908
65  0.238  #080909
66  0.238  #090908
67  0.238  #090909
68  0.239  #09090a
69  0.238  #0a0909
70  0.239  #0a090a
71  0.241  #090a09
72  0.242  #090a0a
73  0.241  #0a0a09
74  0.242  #0a0a0a
75  0.242  #0a0a0b
76  0.242  #0b0a0a
77  0.242  #0b0a0b
78  0.242  #0a0b0a
79  0.242  #0a0b0b
80  0.242  #0b0b0a
81  0.242  #0b0b0b
82  0.242  #0b0b0c
83  0.244  #0c0b0b
84  0.244  #0c0b0c
85  0.245  #0b0c0b
86  0.246  #0b0c0c
87  0.247  #0c0c0b
88  0.248  #0c0c0c
89  0.248  #0c0c0d
90  0.248  #0d0c0c
91  0.248  #0d0c0d
92  0.248  #0c0d0c
93  0.248  #0c0d0d
