#  lumResponse vers. 1.5b - 04/30/03
#  Display ID: DELL_1900FP_ATT7
#  iLdelay = 1   avgN = 1   ILlimit = 0.50
1  59.3  #ff0000
2  175.0  #00ff00
3  29.0  #0000ff
4  0.301  #000000
5  0.301  #000001
6  0.301  #010000
7  0.301  #010001
8  0.301  #000100
9  0.301  #000101
10  0.301  #010100
11  0.301  #010101
12  0.301  #010102
13  0.301  #020101
14  0.301  #020102
15  0.301  #010201
16  0.301  #010202
17  0.301  #020201
18  0.3  #020202
19  0.301  #020203
20  0.301  #030202
21  0.301  #030203
22  0.304  #020302
23  0.305  #020303
24  0.304  #030302
25  0.305  #030303
26  0.304  #030304
27  0.304  #040303
28  0.305  #040304
29  0.304  #030403
30  0.304  #030404
31  0.304  #040403
32  0.304  #040404
33  0.304  #040405
34  0.304  #050404
35  0.304  #050405
36  0.304  #040504
37  0.304  #040505
38  0.304  #050504
39  0.304  #050505
40  0.304  #050506
41  0.304  #060505
42  0.305  #060506
43  0.306  #050605
44  0.306  #050606
45  0.306  #060605
46  0.306  #060606
47  0.306  #060607
48  0.306  #070606
49  0.306  #070607
50  0.306  #060706
51  0.306  #060707
52  0.306  #070706
53  0.306  #070707
54  0.306  #070708
55  0.306  #080707
56  0.306  #080708
57  0.308  #070807
58  0.309  #070808
59  0.308  #080807
60  0.309  #080808
61  0.309  #080809
62  0.309  #090808
63  0.309  #090809
64  0.308  #080908
65  0.309  #080909
66  0.309  #090908
67  0.309  #090909
68  0.309  #09090a
69  0.309  #0a0909
70  0.309  #0a090a
71  0.311  #090a09
72  0.312  #090a0a
73  0.311  #0a0a09
74  0.311  #0a0a0a
75  0.312  #0a0a0b
76  0.312  #0b0a0a
77  0.311  #0b0a0b
78  0.311  #0a0b0a
79  0.312  #0a0b0b
80  0.311  #0b0b0a
81  0.311  #0b0b0b
82  0.312  #0b0b0c
83  0.313  #0c0b0b
84  0.314  #0c0b0c
85  0.315  #0b0c0b
86  0.315  #0b0c0c
87  0.316  #0c0c0b
88  0.316  #0c0c0c
89  0.316  #0c0c0d
90  0.316  #0d0c0c
91  0.316  #0d0c0d
92  0.316  #0c0d0c
93  0.316  #0c0d0d
94  0.316  #0d0d0c
95  0.316  #0d0d0d
96  0.317  #0d0d0e
97  0.317  #0e0d0d
98  0.317  #0e0d0e
99  0.319  #0d0e0d
100  0.32  #0d0e0e
101  0.32  #0e0e0d
102  0.321  #0e0e0e
103  0.321  #0e0e0f
104  0.321  #0f0e0e
105  0.321  #0f0e0f
106  0.321  #0e0f0e
107  0.321  #0e0f0f
108  0.321  #0f0f0e
109  0.321  #0f0f0f
110  0.322  #0f0f10
