#  lumResponse - average luminance response
#  Display ID: GENERIC
#  2 files
#    63.7500 #ff0000
#   146.7000 #00ff00
#    20.1500 #0000ff
   1      0.2440  #000000    1   1 
   2      0.2440  #000001    1   2    0.00000
   3      0.2440  #010000    1   3    0.00000
   4      0.2440  #010001    1   4    0.00000
   5      0.2440  #000100    1   5    0.00000
   6      0.2440  #000101    1   6    0.00000
   7      0.2440  #010100    1   7    0.00000
   8      0.2440  #010101    2   1    0.00000
   9      0.2455  #010102    2   2    0.00613
  10      0.2470  #020101    2   3    0.00609
  11      0.2485  #020102    2   4    0.00605
  12      0.2510  #010201    2   5    0.01001
  13      0.2525  #010202    2   6    0.00596
  14      0.2540  #020201    2   7    0.00592
  15      0.2550  #020202    3   1    0.00393
  16      0.2560  #020203    3   2    0.00391
  17      0.2565  #030202    3   3    0.00195
  18      0.2570  #030203    3   4    0.00195
  19      0.2580  #020302    3   5    0.00388
  20      0.2590  #020303    3   6    0.00387
  21      0.2600  #030302    3   7    0.00385
  22      0.2600  #030303    4   1    0.00000
  23      0.2610  #030304    4   2    0.00384
  24      0.2620  #040303    4   3    0.00382
  25      0.2620  #040304    4   4    0.00000
  26      0.2640  #030403    4   5    0.00760
  27      0.2645  #030404    4   6    0.00189
  28      0.2655  #040403    4   7    0.00377
  29      0.2660  #040404    5   1    0.00188
  30      0.2665  #040405    5   2    0.00188
  31      0.2685  #050404    5   3    0.00748
  32      0.2685  #050405    5   4    0.00000
  33      0.2705  #040504    5   5    0.00742
  34      0.2710  #040505    5   6    0.00185
  35      0.2730  #050504    5   7    0.00735
  36      0.2735  #050505    6   1    0.00183
  37      0.2745  #050506    6   2    0.00365
  38      0.2755  #060505    6   3    0.00364
  39      0.2765  #060506    6   4    0.00362
  40      0.2785  #050605    6   5    0.00721
  41      0.2795  #050606    6   6    0.00358
  42      0.2810  #060605    6   7    0.00535
  43      0.2815  #060606    7   1    0.00178
  44      0.2825  #060607    7   2    0.00355
  45      0.2845  #070606    7   3    0.00705
  46      0.2855  #070607    7   4    0.00351
  47      0.2875  #060706    7   5    0.00698
  48      0.2885  #060707    7   6    0.00347
  49      0.2905  #070706    7   7    0.00691
  50      0.2915  #070707    8   1    0.00344
  51      0.2915  #070708    8   2    0.00000
  52      0.2945  #080707    8   3    0.01024
  53      0.2945  #080708    8   4    0.00000
  54      0.2990  #070807    8   5    0.01516
  55      0.2985  #070808    8   6   -0.00167
  56      0.3020  #080807    8   7    0.01166
  57      0.3020  #080808    9   1    0.00000
  58      0.3030  #080809    9   2    0.00331
  59      0.3055  #090808    9   3    0.00822
  60      0.3065  #090809    9   4    0.00327
  61      0.3105  #080908    9   5    0.01297
  62      0.3120  #080909    9   6    0.00482
  63      0.3145  #090908    9   7    0.00798
  64      0.3155  #090909   10   1    0.00317
  65      0.3170  #09090a   10   2    0.00474
  66      0.3200  #0a0909   10   3    0.00942
  67      0.3220  #0a090a   10   4    0.00623
  68      0.3265  #090a09   10   5    0.01388
  69      0.3280  #090a0a   10   6    0.00458
  70      0.3310  #0a0a09   10   7    0.00910
  71      0.3325  #0a0a0a   11   1    0.00452
  72      0.3325  #0a0a0b   11   2    0.00000
  73      0.3390  #0b0a0a   11   3    0.01936
  74      0.3390  #0b0a0b   11   4    0.00000
