# LutGenerate 2.2 - 08/15/06
#  Display ID: DELL_1905FP_W869053U173A
# Ambient = 0.10   Max. Luminence = 247.00   Luminence Ratio = 250.00
#  lumResponse vers. 1.5d - 08/15/06
#  iLdelay=1  avgN=1  ILlimit=0.50  R=25.9% G=63.8% B=10.2%
1:  016  016  016
2:  016  017  016
3:  018  017  017
4:  017  018  018
5:  019  018  018
6:  018  019  019
7:  020  019  019
8:  019  020  020
9:  020  020  021
10:  020  021  020
11:  022  021  021
12:  021  022  021
13:  022  022  023
14:  023  022  023
15:  023  023  022
16:  024  023  023
17:  023  024  023
18:  024  024  024
19:  025  024  025
20:  025  025  024
21:  026  025  025
22:  025  026  025
23:  026  026  025
24:  027  026  027
25:  028  027  028
26:  027  028  028
27:  029  028  028
28:  028  029  028
29:  029  029  029
30:  030  029  030
31:  030  030  029
32:  031  030  030
33:  030  031  030
34:  031  031  031
35:  032  031  031
36:  032  032  031
37:  033  032  033
38:  033  033  033
39:  033  034  033
40:  034  034  034
41:  034  035  034
42:  035  035  036
43:  035  036  036
44:  037  036  036
45:  037  037  036
46:  038  037  038
47:  038  038  038
48:  038  039  038
49:  040  039  039
50:  040  040  039
51:  040  041  040
52:  041  042  041
53:  043  042  042
54:  043  043  042
55:  043  044  043
56:  045  044  044
57:  045  045  044
58:  045  046  045
59:  047  046  046
60:  047  047  046
61:  047  048  047
62:  048  048  049
63:  048  049  049
64:  049  049  050
65:  049  050  050
66:  050  051  050
67:  052  051  051
68:  052  052  051
69:  052  053  052
70:  054  053  053
71:  054  055  054
72:  056  055  055
73:  056  056  055
74:  056  057  056
75:  058  057  057
76:  058  058  058
77:  058  059  058
78:  060  059  059
79:  061  060  060
80:  061  061  060
81:  061  062  061
82:  062  063  063
83:  063  064  063
84:  065  064  065
85:  066  065  065
86:  066  066  067
87:  066  067  067
88:  068  067  068
89:  068  068  068
90:  068  069  068
91:  070  069  070
92:  070  070  070
93:  070  071  070
94:  071  072  071
95:  073  072  072
96:  073  073  072
97:  073  074  073
98:  075  074  074
99:  076  075  075
100:  075  076  076
101:  076  077  076
102:  078  077  077
103:  078  078  078
104:  078  079  079
105:  079  080  079
106:  081  081  082
107:  082  082  083
108:  082  083  083
109:  084  083  084
110:  084  084  084
111:  084  085  084
112:  085  086  085
113:  087  086  087
114:  087  087  088
115:  088  088  088
116:  089  089  088
117:  090  090  089
118:  090  091  091
119:  092  091  091
120:  091  092  091
121:  093  092  093
122:  094  093  093
123:  094  094  094
124:  095  095  094
125:  095  096  096
126:  096  097  096
127:  098  097  097
128:  098  098  099
129:  099  099  099
130:  099  100  099
131:  100  101  100
132:  101  102  101
133:  102  102  103
134:  104  103  104
135:  105  104  104
136:  106  105  105
137:  107  106  106
138:  107  107  107
139:  108  109  108
140:  109  110  109
141:  111  110  110
142:  111  112  111
143:  113  112  113
144:  114  113  114
145:  115  114  114
146:  116  115  116
147:  117  116  117
148:  118  117  117
149:  119  118  118
150:  120  119  119
151:  121  120  120
152:  122  121  121
153:  122  123  122
154:  123  124  124
155:  125  125  124
156:  126  126  125
157:  127  127  126
158:  128  128  128
159:  129  129  130
160:  131  130  130
161:  132  131  132
162:  133  132  133
163:  134  133  134
164:  135  135  136
165:  136  136  137
166:  138  137  138
167:  139  138  138
168:  140  139  140
169:  140  141  140
170:  141  142  141
171:  142  143  143
172:  144  144  145
173:  145  145  146
174:  147  146  146
175:  148  147  148
176:  149  148  149
177:  149  150  149
178:  150  151  150
179:  151  152  151
180:  152  153  152
181:  153  154  153
182:  154  155  154
183:  155  156  155
184:  156  157  157
185:  157  158  158
186:  159  159  158
187:  160  160  159
188:  161  162  161
189:  162  163  163
190:  164  164  165
191:  166  165  165
192:  167  166  167
193:  168  167  168
194:  168  169  168
195:  170  170  169
196:  171  171  172
197:  173  172  173
198:  173  174  173
199:  175  175  174
200:  176  176  177
201:  178  177  178
202:  178  179  178
203:  179  180  180
204:  181  181  180
205:  183  182  182
206:  184  183  184
207:  184  185  184
208:  186  186  187
209:  188  187  188
210:  190  189  189
211:  191  190  191
212:  191  192  191
213:  193  193  192
214:  195  194  195
215:  195  196  195
216:  196  197  197
217:  198  198  197
218:  200  199  199
219:  200  201  200
220:  201  202  202
221:  203  203  204
222:  204  205  204
223:  206  206  207
224:  208  207  208
225:  208  209  209
226:  210  210  211
227:  212  211  212
228:  212  213  213
229:  214  214  214
230:  216  215  216
231:  218  217  218
232:  218  219  218
233:  220  220  220
234:  222  221  221
235:  223  223  222
236:  224  224  223
237:  225  226  225
238:  227  227  226
239:  229  228  229
240:  230  230  229
241:  230  231  231
242:  233  232  233
243:  234  234  235
244:  236  236  235
245:  237  237  238
246:  240  239  239
247:  240  241  241
248:  243  242  243
249:  244  245  244
250:  246  246  247
251:  247  248  248
252:  249  249  250
253:  251  250  251
254:  252  252  252
255:  254  253  253
256:  255  255  254
