# LutGenerate 2.2 - 03/11/05
#  Display ID: FP1905-4ADAELM
# Ambient = 0.40   Max. Luminence = 250.00   Luminence Ratio = 350.00
#  lumResponse vers. 1.5c - 03/11/05
#  iLdelay=1  avgN=1  ILlimit=0.50  R=22.0% G=68.9% B=9.1%
1:  007  008  007
2:  011  010  010
3:  012  012  012
4:  014  013  013
5:  015  014  015
6:  016  015  015
7:  016  016  015
8:  016  017  016
9:  017  017  018
10:  017  018  017
11:  018  018  019
12:  018  019  018
13:  019  019  018
14:  020  019  020
15:  019  020  019
16:  020  020  020
17:  021  020  020
18:  020  021  021
19:  021  021  022
20:  022  021  022
21:  021  022  022
22:  022  022  023
23:  023  022  023
24:  022  023  022
25:  023  023  023
26:  024  023  023
27:  023  024  023
28:  024  024  023
29:  024  024  025
30:  025  024  025
31:  024  025  024
32:  025  025  025
33:  026  025  026
34:  025  026  025
35:  025  026  026
36:  026  026  027
37:  027  026  027
38:  026  027  026
39:  027  027  027
40:  028  027  028
41:  027  028  027
42:  028  028  027
43:  029  028  028
44:  028  029  028
45:  029  029  028
46:  030  029  029
47:  029  030  029
48:  030  030  029
49:  031  030  030
50:  030  031  030
51:  031  031  030
52:  032  031  032
53:  031  032  031
54:  032  032  032
55:  033  032  033
56:  033  033  033
57:  034  033  034
58:  034  034  033
59:  035  034  034
60:  035  035  034
61:  035  036  035
62:  036  036  037
63:  036  037  036
64:  037  037  038
65:  037  038  038
66:  039  038  039
67:  039  039  038
68:  039  040  039
69:  041  040  040
70:  040  041  041
71:  042  041  042
72:  042  042  042
73:  042  043  042
74:  044  043  043
75:  043  044  044
76:  044  045  044
77:  046  045  045
78:  045  046  046
79:  047  046  047
80:  047  047  048
81:  047  048  048
82:  049  048  049
83:  049  049  049
84:  049  050  049
85:  050  051  050
86:  052  051  052
87:  052  052  052
88:  052  053  052
89:  054  053  054
90:  055  054  054
91:  055  055  054
92:  055  056  055
93:  057  056  057
94:  058  057  057
95:  058  058  057
96:  058  059  058
97:  059  060  059
98:  061  060  061
99:  062  061  061
100:  062  062  062
101:  062  063  063
102:  063  064  064
103:  064  065  064
104:  066  065  065
105:  066  066  066
106:  067  067  066
107:  067  068  067
108:  069  068  069
109:  070  069  069
110:  070  070  071
111:  070  071  071
112:  071  072  071
113:  072  073  072
114:  074  073  074
115:  074  074  074
116:  075  075  074
117:  076  076  075
118:  077  077  076
119:  077  078  078
120:  078  079  078
121:  079  080  079
122:  080  081  081
123:  082  081  082
124:  083  082  083
125:  084  083  084
126:  084  084  085
127:  085  085  084
128:  086  086  086
129:  087  087  086
130:  088  088  087
131:  088  089  089
132:  089  090  090
133:  090  091  090
134:  092  092  091
135:  092  093  093
136:  093  094  093
137:  094  095  094
138:  095  096  095
139:  096  097  096
140:  097  098  097
141:  098  099  098
142:  100  099  100
143:  101  100  100
144:  102  101  102
145:  103  102  103
146:  104  103  104
147:  105  104  104
148:  106  105  105
149:  107  106  106
150:  108  107  107
151:  109  108  108
152:  110  109  110
153:  111  110  110
154:  112  111  112
155:  113  112  113
156:  114  113  113
157:  115  114  115
158:  116  115  116
159:  116  117  116
160:  117  118  117
161:  118  119  118
162:  119  120  119
163:  120  121  120
164:  122  122  121
165:  123  123  122
166:  124  124  124
167:  126  125  125
168:  127  126  126
169:  128  127  128
170:  128  129  128
171:  129  130  129
172:  130  131  130
173:  132  132  132
174:  133  133  134
175:  135  134  134
176:  136  135  136
177:  137  136  137
178:  137  138  137
179:  138  139  139
180:  140  140  139
181:  141  141  141
182:  143  142  142
183:  143  144  143
184:  144  145  145
185:  146  146  145
186:  147  147  148
187:  149  148  149
188:  149  150  149
189:  150  151  151
190:  152  152  152
191:  154  153  153
192:  155  154  155
193:  155  156  156
194:  157  157  157
195:  159  158  158
196:  159  160  159
197:  160  161  161
198:  162  162  163
199:  164  163  163
200:  164  165  164
201:  166  166  165
202:  168  167  167
203:  169  168  169
204:  169  170  170
205:  171  171  172
206:  173  172  173
207:  173  174  173
208:  175  175  175
209:  177  176  176
210:  177  178  178
211:  179  179  180
212:  181  180  181
213:  181  182  182
214:  183  183  183
215:  185  184  185
216:  185  186  186
217:  188  187  187
218:  188  189  188
219:  190  190  191
220:  191  192  191
221:  193  193  194
222:  194  195  194
223:  196  196  197
224:  197  198  198
225:  200  199  200
226:  201  201  201
227:  202  203  202
228:  205  204  204
229:  205  206  206
230:  208  207  208
231:  209  209  210
232:  210  211  210
233:  213  212  213
234:  213  214  214
235:  215  216  215
236:  217  218  217
237:  219  219  220
238:  221  221  220
239:  222  223  223
240:  224  224  223
241:  226  226  225
242:  227  228  228
243:  231  230  230
244:  232  232  233
245:  233  234  234
246:  236  235  236
247:  237  237  237
248:  239  239  239
249:  240  241  240
250:  242  242  243
251:  244  244  244
252:  246  245  246
253:  247  247  247
254:  249  248  248
255:  249  250  250
256:  251  251  252
