#  lumResponse - average luminance response
#  Display ID: GENERIC
#  1 files
#    45.7000 #ff0000
#   170.2000 #00ff00
#    17.7600 #0000ff
   1      0.2090  #000000    1   1 
   2      0.2080  #000001    1   2   -0.00480
   3      0.2090  #010000    1   3    0.00480
   4      0.2060  #010001    1   4   -0.01446
   5      0.2100  #000100    1   5    0.01923
   6      0.2070  #000101    1   6   -0.01439
   7      0.2080  #010100    1   7    0.00482
   8      0.2090  #010101    2   1    0.00480
   9      0.2100  #010102    2   2    0.00477
  10      0.2100  #020101    2   3    0.00000
  11      0.2110  #020102    2   4    0.00475
  12      0.2140  #010201    2   5    0.01412
  13      0.2160  #010202    2   6    0.00930
  14      0.2180  #020201    2   7    0.00922
  15      0.2190  #020202    3   1    0.00458
  16      0.2200  #020203    3   2    0.00456
  17      0.2220  #030202    3   3    0.00905
  18      0.2220  #030203    3   4    0.00000
  19      0.2300  #020302    3   5    0.03540
  20      0.2300  #020303    3   6    0.00000
  21      0.2310  #030302    3   7    0.00434
  22      0.2310  #030303    4   1    0.00000
  23      0.2360  #030304    4   2    0.02141
  24      0.2360  #040303    4   3    0.00000
  25      0.2370  #040304    4   4    0.00423
  26      0.2440  #030403    4   5    0.02911
  27      0.2460  #030404    4   6    0.00816
  28      0.2490  #040403    4   7    0.01212
  29      0.2500  #040404    5   1    0.00401
  30      0.2520  #040405    5   2    0.00797
  31      0.2560  #050404    5   3    0.01575
  32      0.2580  #050405    5   4    0.00778
  33      0.2650  #040504    5   5    0.02677
  34      0.2680  #040505    5   6    0.01126
  35      0.2700  #050504    5   7    0.00743
  36      0.2750  #050505    6   1    0.01835
  37      0.2750  #050506    6   2    0.00000
  38      0.2780  #060505    6   3    0.01085
  39      0.2820  #060506    6   4    0.01429
  40      0.2920  #050605    6   5    0.03484
  41      0.2940  #050606    6   6    0.00683
  42      0.2970  #060605    6   7    0.01015
  43      0.2990  #060606    7   1    0.00671
  44      0.3010  #060607    7   2    0.00667
  45      0.3050  #070606    7   3    0.01320
  46      0.3080  #070607    7   4    0.00979
  47      0.3190  #060706    7   5    0.03509
  48      0.3230  #060707    7   6    0.01246
  49      0.3260  #070706    7   7    0.00924
  50      0.3270  #070707    8   1    0.00306
  51      0.3310  #070708    8   2    0.01216
  52      0.3360  #080707    8   3    0.01499
  53      0.3370  #080708    8   4    0.00297
  54      0.3520  #070807    8   5    0.04354
  55      0.3540  #070808    8   6    0.00567
  56      0.3580  #080807    8   7    0.01124
  57      0.3610  #080808    9   1    0.00834
  58      0.3640  #080809    9   2    0.00828
  59      0.3680  #090808    9   3    0.01093
  60      0.3710  #090809    9   4    0.00812
  61      0.3850  #080908    9   5    0.03704
  62      0.3890  #080909    9   6    0.01034
  63      0.3940  #090908    9   7    0.01277
  64      0.3970  #090909   10   1    0.00759
  65      0.4000  #09090a   10   2    0.00753
  66      0.4050  #0a0909   10   3    0.01242
  67      0.4080  #0a090a   10   4    0.00738
  68      0.4250  #090a09   10   5    0.04082
  69      0.4280  #090a0a   10   6    0.00703
  70      0.4320  #0a0a09   10   7    0.00930
  71      0.4360  #0a0a0a   11   1    0.00922
  72      0.4380  #0a0a0b   11   2    0.00458
  73      0.4460  #0b0a0a   11   3    0.01810
  74      0.4480  #0b0a0b   11   4    0.00447
  75      0.4650  #0a0b0a   11   5    0.03724
  76      0.4670  #0a0b0b   11   6    0.00429
  77      0.4770  #0b0b0a   11   7    0.02119
