# LutGenerate 2.2 - 09/19/06
#  Display ID: DELL 1907FP DC32365MAM24
# Ambient = 0.10   Max. Luminence = 221.00   Luminence Ratio = 250.00
#  lumResponse vers. 1.5d - 09/19/06
#  iLdelay=1  avgN=1  ILlimit=0.50  R=22.4% G=69.6% B=8.0%
1:  024  023  024
2:  025  024  025
3:  025  025  026
4:  026  026  025
5:  026  027  026
6:  028  027  028
7:  029  028  028
8:  029  029  029
9:  029  030  029
10:  031  030  031
11:  032  031  031
12:  032  032  031
13:  032  033  032
14:  034  033  033
15:  034  034  034
16:  034  035  034
17:  036  035  036
18:  036  036  037
19:  036  037  037
20:  038  037  038
21:  038  038  037
22:  038  039  038
23:  040  039  039
24:  039  040  040
25:  041  040  041
26:  041  041  042
27:  041  042  041
28:  043  042  043
29:  043  043  042
30:  043  044  043
31:  045  044  044
32:  044  045  045
33:  046  045  046
34:  046  046  046
35:  046  047  046
36:  048  047  047
37:  047  048  048
38:  049  048  049
39:  049  049  049
40:  049  050  049
41:  051  050  050
42:  051  051  050
43:  052  051  052
44:  052  052  053
45:  052  053  052
46:  054  053  054
47:  054  054  053
48:  054  055  054
49:  055  055  056
50:  055  056  056
51:  057  056  057
52:  057  057  057
53:  057  058  057
54:  059  058  058
55:  058  059  059
56:  060  059  060
57:  060  060  061
58:  060  061  060
59:  062  061  061
60:  062  062  061
61:  063  062  063
62:  063  063  064
63:  063  064  063
64:  065  064  064
65:  065  065  064
66:  066  065  066
67:  066  066  067
68:  066  067  066
69:  068  067  067
70:  068  068  067
71:  069  068  069
72:  069  069  069
73:  069  070  069
74:  071  070  070
75:  070  071  071
76:  072  071  072
77:  072  072  071
78:  073  072  073
79:  073  073  074
80:  073  074  073
81:  075  074  075
82:  075  075  074
83:  075  076  075
84:  076  076  077
85:  076  077  076
86:  078  077  078
87:  078  078  078
88:  078  079  078
89:  080  079  079
90:  079  080  080
91:  081  080  081
92:  081  081  082
93:  081  082  081
94:  083  082  083
95:  083  083  082
96:  083  084  083
97:  085  084  084
98:  084  085  085
99:  086  085  086
100:  086  086  086
101:  086  087  086
102:  088  087  088
103:  088  088  087
104:  088  089  088
105:  090  089  089
106:  090  090  090
107:  090  091  090
108:  092  091  091
109:  092  092  091
110:  092  093  092
111:  094  093  093
112:  094  094  095
113:  094  095  094
114:  096  095  096
115:  097  096  096
116:  096  097  097
117:  097  098  097
118:  099  098  098
119:  099  099  099
120:  100  100  099
121:  101  100  100
122:  102  101  101
123:  102  102  101
124:  103  102  102
125:  102  103  102
126:  104  103  103
127:  104  104  104
128:  104  105  104
129:  106  105  105
130:  106  106  106
131:  106  107  106
132:  108  107  108
133:  108  108  108
134:  108  109  109
135:  110  109  110
136:  110  110  111
137:  110  111  111
138:  111  112  111
139:  113  112  112
140:  113  113  112
141:  113  114  113
142:  115  114  115
143:  116  115  115
144:  116  116  115
145:  116  117  116
146:  118  117  118
147:  118  118  119
148:  119  119  118
149:  119  120  119
150:  121  120  120
151:  122  121  121
152:  122  122  121
153:  122  123  122
154:  123  124  123
155:  125  124  124
156:  125  125  125
157:  126  126  125
158:  126  127  126
159:  128  127  128
160:  129  128  128
161:  129  129  130
162:  130  130  129
163:  130  131  130
164:  131  132  131
165:  133  132  133
166:  134  133  134
167:  135  134  134
168:  135  135  136
169:  136  136  136
170:  137  137  136
171:  137  138  138
172:  138  139  139
173:  139  140  139
174:  140  141  140
175:  142  141  142
176:  143  142  143
177:  144  143  144
178:  145  144  144
179:  146  145  145
180:  147  146  146
181:  147  147  148
182:  148  148  149
183:  149  149  149
184:  150  150  149
185:  151  151  150
186:  151  152  152
187:  152  153  152
188:  153  154  154
189:  154  155  155
190:  155  156  156
191:  156  157  157
192:  158  158  157
193:  159  159  158
194:  160  160  159
195:  161  161  161
196:  162  162  162
197:  163  163  163
198:  164  164  165
199:  165  165  166
200:  166  166  167
201:  168  167  167
202:  169  168  169
203:  170  169  170
204:  170  171  170
205:  171  172  171
206:  173  173  172
207:  174  174  173
208:  175  175  176
209:  177  176  176
210:  178  177  178
211:  178  179  178
212:  179  180  180
213:  181  181  180
214:  182  182  182
215:  183  183  184
216:  185  184  185
217:  185  186  185
218:  186  187  187
219:  188  188  188
220:  190  189  189
221:  191  190  191
222:  191  192  191
223:  192  193  193
224:  194  194  194
225:  195  195  196
226:  197  196  197
227:  198  197  198
228:  198  199  198
229:  199  200  200
230:  201  201  201
231:  203  202  203
232:  203  204  203
233:  204  205  205
234:  206  206  205
235:  208  207  207
236:  209  208  209
237:  209  210  209
238:  211  211  210
239:  213  212  212
240:  213  214  213
241:  214  215  215
242:  217  216  217
243:  217  218  217
244:  219  219  219
245:  220  221  220
246:  221  222  221
247:  223  224  223
248:  226  225  225
249:  227  227  228
250:  230  229  229
251:  232  231  232
252:  233  234  233
253:  236  237  236
254:  240  239  240
255:  244  243  243
256:  249  250  249
