# LutGenerate 2.2 - 10/05/05
#  Display ID: DELL_2001FP_C064657T2P8L
# Ambient = 0.25   Max. Luminence = 245.00   Luminence Ratio = 300.00
#  lumResponse vers. 1.5d - 10/05/05
#  iLdelay=1  avgN=1  ILlimit=0.50  R=22.5% G=70.4% B=7.2%
1:  001  002  001
2:  004  003  003
3:  006  006  005
4:  008  007  007
5:  009  008  009
6:  010  009  010
7:  010  011  010
8:  011  012  011
9:  013  012  013
10:  014  013  014
11:  015  014  014
12:  015  015  015
13:  016  016  017
14:  016  017  017
15:  017  018  017
16:  019  018  019
17:  019  019  018
18:  019  020  019
19:  020  021  020
20:  022  021  022
21:  023  022  023
22:  023  023  024
23:  023  024  024
24:  025  024  025
25:  026  025  025
26:  027  026  027
27:  026  027  027
28:  027  028  027
29:  029  028  028
30:  028  029  029
31:  030  029  030
32:  030  030  030
33:  031  031  032
34:  031  032  032
35:  033  032  032
36:  033  033  034
37:  033  034  033
38:  035  034  035
39:  035  035  034
40:  036  036  036
41:  036  037  036
42:  038  037  038
43:  038  038  037
44:  038  039  038
45:  040  039  039
46:  040  040  039
47:  041  041  040
48:  041  042  041
49:  043  042  043
50:  043  043  043
51:  043  044  043
52:  045  044  045
53:  046  045  045
54:  045  046  045
55:  047  047  046
56:  047  048  047
57:  049  048  049
58:  049  049  049
59:  049  050  049
60:  051  050  051
61:  051  051  051
62:  052  052  053
63:  052  053  052
64:  054  053  054
65:  055  054  054
66:  054  055  055
67:  055  056  055
68:  057  056  056
69:  058  057  058
70:  058  058  059
71:  058  059  059
72:  060  059  060
73:  060  060  061
74:  060  061  061
75:  062  062  062
76:  062  063  063
77:  064  063  064
78:  065  064  064
79:  064  065  065
80:  065  066  065
81:  066  067  066
82:  068  067  068
83:  069  068  068
84:  069  069  068
85:  069  070  069
86:  071  070  071
87:  070  071  071
88:  072  072  071
89:  073  072  073
90:  073  073  073
91:  073  074  073
92:  075  074  074
93:  074  075  074
94:  076  075  076
95:  076  076  076
96:  077  077  076
97:  077  078  077
98:  078  078  079
99:  078  079  078
100:  080  079  080
101:  080  080  080
102:  080  081  080
103:  082  081  081
104:  082  082  083
105:  082  083  082
106:  083  083  084
107:  084  084  084
108:  084  085  084
109:  085  085  085
110:  085  086  085
111:  087  086  087
112:  087  087  086
113:  088  088  087
114:  088  089  088
115:  090  089  089
116:  090  090  089
117:  090  091  090
118:  092  091  092
119:  092  092  091
120:  093  093  094
121:  093  094  093
122:  094  094  094
123:  094  095  094
124:  096  095  096
125:  096  096  095
126:  096  097  096
127:  098  097  097
128:  099  098  099
129:  099  099  098
130:  099  100  099
131:  101  100  100
132:  101  101  100
133:  101  102  101
134:  103  103  102
135:  103  104  103
136:  105  104  104
137:  105  105  104
138:  105  106  105
139:  107  106  107
140:  108  107  107
141:  109  108  109
142:  109  109  109
143:  109  110  109
144:  110  111  110
145:  112  111  112
146:  113  112  112
147:  114  113  114
148:  114  114  115
149:  115  115  114
150:  115  116  115
151:  116  117  116
152:  117  118  117
153:  118  119  118
154:  120  119  120
155:  121  120  120
156:  122  121  122
157:  122  122  122
158:  124  123  124
159:  125  124  124
160:  126  125  125
161:  126  126  127
162:  127  127  127
163:  128  128  127
164:  130  129  130
165:  131  130  130
166:  132  131  131
167:  133  132  133
168:  134  134  133
169:  134  135  135
170:  135  136  136
171:  136  137  137
172:  138  138  137
173:  140  139  139
174:  141  140  140
175:  142  141  142
176:  143  142  143
177:  144  143  143
178:  144  145  144
179:  145  146  145
180:  146  147  146
181:  147  148  147
182:  149  149  150
183:  151  150  150
184:  152  151  152
185:  153  152  153
186:  153  154  153
187:  154  155  155
188:  156  156  155
189:  157  157  158
190:  159  158  158
191:  159  160  159
192:  160  161  160
193:  162  162  161
194:  163  163  162
195:  165  164  165
196:  165  166  165
197:  166  167  166
198:  167  168  168
199:  170  169  170
200:  170  171  170
201:  171  172  171
202:  172  173  173
203:  174  174  174
204:  175  176  175
205:  176  177  176
206:  178  178  177
207:  179  179  180
208:  180  181  180
209:  182  182  181
210:  183  183  184
211:  184  185  184
212:  186  186  187
213:  188  187  188
214:  188  189  188
215:  191  190  191
216:  191  192  191
217:  192  193  193
218:  194  194  194
219:  195  196  195
220:  197  197  198
221:  198  199  198
222:  201  200  200
223:  201  202  201
224:  204  203  203
225:  205  205  205
226:  207  206  207
227:  208  208  208
228:  209  210  210
229:  212  211  212
230:  212  213  213
231:  215  214  214
232:  216  216  215
233:  218  217  218
234:  218  219  218
235:  220  220  219
236:  222  222  221
237:  223  224  223
238:  224  225  225
239:  227  226  227
240:  227  228  228
241:  229  230  229
242:  232  231  232
243:  232  233  233
244:  234  235  234
245:  237  236  237
246:  237  238  237
247:  239  239  240
248:  242  241  242
249:  242  243  243
250:  244  245  244
251:  247  246  246
252:  249  248  248
253:  249  250  249
254:  251  252  251
255:  253  253  253
256:  254  255  254
