# LutGenerate 2.2 - 10/05/05
#  Display ID: DELL_2001FP_C064657T2PCL
# Ambient = 0.25   Max. Luminence = 263.00   Luminence Ratio = 300.00
#  lumResponse vers. 1.5d - 10/05/05
#  iLdelay=1  avgN=1  ILlimit=0.50  R=20.6% G=71.6% B=7.8%
1:  002  001  002
2:  001  002  002
3:  004  005  004
4:  007  006  007
5:  007  008  007
6:  008  009  008
7:  011  010  010
8:  011  011  012
9:  012  012  013
10:  013  013  012
11:  013  014  014
12:  014  015  014
13:  015  016  015
14:  017  016  017
15:  017  017  017
16:  017  018  017
17:  019  019  018
18:  019  020  019
19:  021  020  021
20:  022  021  022
21:  022  022  023
22:  022  023  023
23:  023  024  023
24:  025  024  025
25:  025  025  025
26:  025  026  025
27:  027  026  027
28:  027  027  028
29:  028  028  029
30:  028  029  028
31:  029  030  029
32:  031  030  030
33:  031  031  030
34:  031  032  031
35:  033  032  032
36:  033  033  032
37:  033  034  033
38:  035  034  035
39:  035  035  034
40:  035  036  035
41:  037  036  037
42:  038  037  038
43:  038  038  039
44:  039  039  038
45:  039  040  039
46:  041  040  041
47:  041  041  041
48:  041  042  041
49:  043  042  043
50:  044  043  043
51:  044  044  044
52:  044  045  044
53:  045  046  046
54:  047  046  047
55:  048  047  048
56:  048  048  048
57:  048  049  048
58:  050  049  050
59:  050  050  051
60:  050  051  051
61:  051  052  051
62:  053  052  053
63:  053  053  053
64:  053  054  053
65:  054  055  055
66:  055  056  055
67:  057  056  057
68:  057  057  058
69:  057  058  058
70:  058  059  058
71:  060  059  060
72:  060  060  061
73:  060  061  061
74:  061  062  061
75:  063  062  063
76:  064  063  063
77:  064  064  063
78:  065  065  066
79:  065  066  066
80:  066  067  066
81:  068  067  068
82:  068  068  067
83:  068  069  068
84:  070  069  069
85:  069  070  070
86:  071  070  071
87:  071  071  071
88:  071  072  071
89:  073  072  073
90:  073  073  072
91:  074  074  073
92:  074  075  074
93:  076  075  075
94:  075  076  075
95:  077  076  077
96:  077  077  078
97:  077  078  077
98:  079  078  078
99:  079  079  078
100:  079  080  079
101:  080  080  081
102:  080  081  080
103:  082  081  081
104:  082  082  082
105:  083  083  083
106:  083  084  083
107:  085  084  084
108:  085  085  084
109:  085  086  085
110:  087  086  086
111:  087  087  086
112:  087  088  087
113:  089  088  088
114:  089  089  088
115:  089  090  089
116:  090  091  090
117:  092  091  091
118:  093  092  093
119:  092  093  092
120:  094  093  094
121:  094  094  094
122:  094  095  094
123:  096  095  095
124:  097  096  096
125:  096  097  097
126:  097  098  097
127:  099  098  098
128:  099  099  098
129:  099  100  099
130:  101  101  100
131:  101  102  101
132:  103  102  102
133:  103  103  104
134:  103  104  104
135:  104  105  104
136:  106  105  105
137:  107  106  106
138:  107  107  107
139:  107  108  108
140:  108  109  108
141:  109  110  109
142:  110  111  110
143:  112  111  111
144:  113  112  113
145:  114  113  113
146:  114  114  115
147:  115  115  114
148:  115  116  115
149:  116  117  116
150:  118  117  118
151:  118  119  119
152:  119  120  119
153:  120  121  120
154:  121  122  121
155:  122  123  122
156:  123  124  123
157:  124  125  124
158:  125  126  125
159:  126  127  126
160:  127  128  127
161:  129  129  128
162:  130  130  129
163:  131  131  131
164:  132  132  133
165:  134  133  134
166:  135  134  135
167:  136  135  135
168:  137  136  136
169:  138  137  138
170:  138  139  138
171:  139  140  139
172:  140  141  140
173:  141  142  141
174:  142  143  142
175:  143  144  144
176:  144  145  145
177:  145  146  146
178:  148  147  148
179:  149  148  149
180:  150  149  149
181:  151  150  151
182:  151  152  151
183:  152  153  152
184:  153  154  153
185:  154  155  155
186:  157  156  157
187:  158  157  157
188:  159  158  159
189:  159  160  159
190:  160  161  160
191:  161  162  162
192:  163  163  163
193:  164  164  164
194:  165  166  165
195:  166  167  167
196:  168  168  167
197:  169  169  169
198:  170  170  171
199:  172  171  172
200:  172  173  172
201:  174  174  175
202:  176  175  176
203:  176  177  176
204:  177  178  177
205:  179  179  178
206:  181  180  180
207:  182  181  182
208:  183  183  184
209:  185  184  185
210:  185  186  185
211:  187  187  186
212:  188  188  189
213:  189  189  190
214:  190  191  191
215:  192  192  193
216:  193  194  194
217:  196  195  196
218:  196  197  196
219:  198  198  199
220:  199  200  199
221:  201  201  201
222:  202  203  202
223:  205  204  204
224:  205  206  205
225:  206  207  207
226:  209  208  208
227:  209  210  209
228:  212  211  212
229:  212  213  212
230:  214  214  215
231:  215  216  215
232:  216  217  216
233:  218  218  219
234:  221  220  220
235:  221  222  221
236:  224  223  223
237:  224  225  224
238:  226  226  226
239:  227  228  227
240:  229  230  229
241:  230  231  230
242:  232  232  232
243:  234  234  233
244:  236  235  236
245:  236  237  236
246:  238  239  239
247:  240  240  241
248:  241  242  241
249:  244  243  243
250:  244  245  244
251:  246  246  246
252:  249  248  248
253:  249  250  249
254:  251  251  252
255:  253  253  252
256:  254  255  254
