# LutGenerate 2.2 - 10/05/05
#  Display ID: DELL_2001FP_C064657T36WL
# Ambient = 0.25   Max. Luminence = 257.00   Luminence Ratio = 300.00
#  lumResponse vers. 1.5d - 10/05/05
#  iLdelay=1  avgN=1  ILlimit=0.50  R=23.6% G=69.1% B=7.3%
1:  002  001  002
2:  002  002  001
3:  004  005  004
4:  007  006  007
5:  008  008  008
6:  009  009  010
7:  010  010  010
8:  011  011  011
9:  012  012  011
10:  013  013  014
11:  014  014  013
12:  014  015  015
13:  015  016  015
14:  017  016  017
15:  017  017  018
16:  017  018  018
17:  018  019  018
18:  020  019  019
19:  021  020  021
20:  021  021  022
21:  022  022  022
22:  022  023  022
23:  024  023  023
24:  025  024  024
25:  025  025  024
26:  026  026  025
27:  026  027  026
28:  028  027  027
29:  028  028  027
30:  028  029  028
31:  030  029  030
32:  030  030  029
33:  030  031  030
34:  032  031  031
35:  032  032  031
36:  033  033  032
37:  033  034  033
38:  035  034  034
39:  034  035  035
40:  035  036  035
41:  037  036  036
42:  037  037  036
43:  038  037  038
44:  039  038  038
45:  040  039  039
46:  040  040  039
47:  040  041  040
48:  042  041  042
49:  042  042  041
50:  042  043  042
51:  044  043  044
52:  045  044  044
53:  046  045  045
54:  046  046  045
55:  046  047  046
56:  048  047  047
57:  048  048  047
58:  048  049  048
59:  050  049  050
60:  050  050  051
61:  050  051  051
62:  051  052  052
63:  052  053  052
64:  054  053  053
65:  054  054  053
66:  054  055  054
67:  056  055  056
68:  056  056  056
69:  056  057  056
70:  058  058  057
71:  058  059  058
72:  060  059  060
73:  060  060  060
74:  060  061  060
75:  062  061  062
76:  063  062  062
77:  063  063  062
78:  063  064  063
79:  064  065  064
80:  065  066  065
81:  067  066  067
82:  067  067  067
83:  067  068  067
84:  069  068  069
85:  069  069  069
86:  069  070  069
87:  070  070  071
88:  071  071  072
89:  071  072  071
90:  073  072  073
91:  073  073  072
92:  073  074  073
93:  075  074  074
94:  074  075  075
95:  076  075  076
96:  076  076  076
97:  077  077  076
98:  077  078  077
99:  079  078  079
100:  078  079  079
101:  079  080  079
102:  080  080  080
103:  080  081  080
104:  082  081  082
105:  082  082  081
106:  083  082  083
107:  083  083  083
108:  084  084  085
109:  084  085  084
110:  086  085  085
111:  086  086  085
112:  086  087  086
113:  088  087  087
114:  088  088  089
115:  088  089  088
116:  090  089  090
117:  091  090  090
118:  092  091  091
119:  091  092  092
120:  093  092  092
121:  093  093  092
122:  093  094  093
123:  095  094  094
124:  095  095  094
125:  095  096  095
126:  097  096  096
127:  098  097  098
128:  098  098  098
129:  098  099  098
130:  099  100  099
131:  101  100  101
132:  101  101  100
133:  101  102  102
134:  103  103  102
135:  103  104  103
136:  105  104  105
137:  105  105  104
138:  105  106  105
139:  106  107  106
140:  108  107  107
141:  109  108  108
142:  110  109  110
143:  110  110  110
144:  111  111  110
145:  111  112  111
146:  112  113  112
147:  114  113  113
148:  115  114  115
149:  115  115  116
150:  117  116  116
151:  118  117  117
152:  118  118  118
153:  119  119  118
154:  120  120  119
155:  120  121  121
156:  123  122  122
157:  123  123  124
158:  124  124  125
159:  125  125  124
160:  126  126  125
161:  127  127  127
162:  128  128  127
163:  130  129  130
164:  131  130  130
165:  132  131  132
166:  132  133  132
167:  133  134  133
168:  135  135  136
169:  137  136  136
170:  137  137  138
171:  139  138  138
172:  139  139  139
173:  140  140  141
174:  142  141  142
175:  143  142  142
176:  143  144  143
177:  144  145  144
178:  145  146  145
179:  146  147  146
180:  148  148  148
181:  150  149  149
182:  151  150  151
183:  152  151  151
184:  152  153  152
185:  154  154  153
186:  155  155  156
187:  157  156  157
188:  158  157  158
189:  159  158  159
190:  159  160  159
191:  161  161  162
192:  163  162  162
193:  164  163  164
194:  164  165  164
195:  165  166  165
196:  167  167  168
197:  169  168  168
198:  170  169  170
199:  170  171  170
200:  172  172  171
201:  174  173  174
202:  174  175  174
203:  175  176  175
204:  177  177  176
205:  179  178  179
206:  180  180  179
207:  181  181  181
208:  183  182  183
209:  183  184  183
210:  185  185  184
211:  186  187  186
212:  188  188  187
213:  190  189  189
214:  190  191  190
215:  191  192  192
216:  193  194  193
217:  195  195  194
218:  197  196  197
219:  197  198  197
220:  199  200  199
221:  201  201  200
222:  203  202  203
223:  204  204  203
224:  205  206  205
225:  208  207  207
226:  208  209  208
227:  210  210  209
228:  212  211  211
229:  213  213  212
230:  215  214  214
231:  215  216  215
232:  216  217  217
233:  218  219  218
234:  221  220  220
235:  221  222  221
236:  224  223  223
237:  225  225  226
238:  226  226  227
239:  227  228  227
240:  230  229  229
241:  231  232  231
242:  233  233  232
243:  234  234  235
244:  235  236  235
245:  237  238  237
246:  239  239  238
247:  240  241  240
248:  243  242  242
249:  245  244  244
250:  245  246  245
251:  248  247  247
252:  248  249  248
253:  250  251  250
254:  251  252  251
255:  253  254  253
256:  255  255  255
