#  lumResponse - average luminance response
#  Display ID: GENERIC
#  18 files
#    58.2060 #ff0000
#   179.5220 #00ff00
#    18.6020 #0000ff
   1      0.4723  #000000    1   1 
   2      0.4772  #000001    1   2    0.01041
   3      0.4852  #010000    1   3    0.01662
   4      0.4901  #010001    1   4    0.01003
   5      0.5134  #000100    1   5    0.04639
   6      0.5187  #000101    1   6    0.01023
   7      0.5267  #010100    1   7    0.01531
   8      0.5321  #010101    2   1    0.01018
   9      0.5389  #010102    2   2    0.01286
  10      0.5497  #020101    2   3    0.01970
  11      0.5563  #020102    2   4    0.01196
  12      0.5866  #010201    2   5    0.05308
  13      0.5931  #010202    2   6    0.01093
  14      0.6032  #020201    2   7    0.01700
  15      0.6100  #020202    3   1    0.01117
  16      0.6102  #020203    3   2    0.00036
  17      0.6118  #030202    3   3    0.00264
  18      0.6121  #030203    3   4    0.00045
  19      0.6165  #020302    3   5    0.00714
  20      0.6171  #020303    3   6    0.00090
  21      0.6186  #030302    3   7    0.00252
  22      0.6191  #030303    4   1    0.00081
  23      0.6199  #030304    4   2    0.00126
  24      0.6224  #040303    4   3    0.00411
  25      0.6234  #040304    4   4    0.00161
  26      0.6300  #030403    4   5    0.01046
  27      0.6307  #030404    4   6    0.00115
  28      0.6332  #040403    4   7    0.00396
  29      0.6342  #040404    5   1    0.00158
  30      0.6357  #040405    5   2    0.00227
  31      0.6385  #050404    5   3    0.00445
  32      0.6400  #050405    5   4    0.00235
  33      0.6476  #040504    5   5    0.01182
  34      0.6491  #040505    5   6    0.00231
  35      0.6518  #050504    5   7    0.00418
  36      0.6534  #050505    6   1    0.00247
  37      0.6552  #050506    6   2    0.00272
  38      0.6591  #060505    6   3    0.00583
  39      0.6608  #060506    6   4    0.00261
  40      0.6716  #050605    6   5    0.01626
  41      0.6734  #050606    6   6    0.00264
  42      0.6774  #060605    6   7    0.00592
  43      0.6789  #060606    7   1    0.00229
  44      0.6818  #060607    7   2    0.00416
  45      0.6867  #070606    7   3    0.00715
  46      0.6894  #070607    7   4    0.00404
