# LutGenerate 2.3 - 12/08/06
#  Display ID: DELL_2007FP_C953667D382L
# Ambient = 0.10   Max. Luminance = 247.00   Luminance Ratio = 350.00
#  lumResponse vers. 1.5f - 12/08/06
#  iLdelay=1  avgN=1  ILlimit_plus=0.50 ILlimit_minus=-0.05  R=22.4% G=68.5% B=9.0%
1:  014  014  014
2:  014  015  014
3:  016  015  016
4:  017  016  017
5:  017  017  018
6:  017  018  017
7:  019  018  018
8:  018  019  019
9:  020  019  020
10:  020  020  020
11:  020  021  021
12:  022  021  022
13:  022  022  021
14:  023  022  023
15:  023  023  023
16:  023  024  023
17:  025  024  024
18:  024  025  025
19:  026  025  026
20:  025  026  026
21:  027  026  026
22:  026  027  026
23:  028  027  027
24:  027  028  027
25:  028  028  028
26:  029  029  030
27:  029  030  029
28:  030  030  031
29:  031  030  031
30:  031  031  030
31:  032  031  032
32:  032  032  031
33:  033  032  033
34:  033  033  034
35:  033  034  033
36:  035  034  035
37:  035  035  034
38:  036  035  036
39:  036  036  037
40:  036  037  036
41:  038  037  038
42:  038  038  038
43:  038  039  038
44:  040  039  040
45:  040  040  039
46:  040  041  040
47:  042  041  042
48:  042  042  041
49:  042  043  042
50:  044  043  043
51:  043  044  044
52:  045  044  045
53:  045  045  046
54:  045  046  045
55:  047  046  047
56:  047  047  047
57:  047  048  047
58:  049  048  048
59:  049  049  048
60:  049  050  049
61:  051  050  050
62:  050  051  051
63:  052  051  052
64:  052  052  053
65:  052  053  053
66:  054  053  054
67:  054  054  055
68:  054  055  054
69:  056  055  056
70:  056  056  056
71:  057  057  058
72:  057  058  057
73:  059  058  059
74:  059  059  060
75:  059  060  059
76:  061  060  061
77:  061  061  062
78:  061  062  062
79:  063  062  063
80:  063  063  064
81:  063  064  064
82:  065  064  065
83:  065  065  066
84:  065  066  065
85:  067  066  067
86:  067  067  067
87:  067  068  067
88:  069  068  068
89:  069  069  068
90:  070  069  070
91:  070  070  071
92:  070  071  071
93:  072  071  072
94:  072  072  072
95:  072  073  072
96:  074  073  074
97:  074  074  073
98:  074  075  074
99:  076  075  075
100:  076  076  075
101:  076  077  076
102:  078  077  077
103:  078  078  077
104:  078  079  078
105:  080  079  079
106:  079  080  080
107:  081  080  081
108:  081  081  082
109:  081  082  081
110:  083  082  083
111:  083  083  084
112:  083  084  083
113:  085  084  085
114:  086  085  085
115:  086  086  087
116:  087  087  086
117:  087  088  087
118:  089  088  089
119:  089  089  090
120:  089  090  090
121:  091  091  092
122:  091  092  091
123:  092  093  092
124:  094  093  093
125:  094  094  095
126:  095  095  095
127:  095  096  095
128:  097  096  097
129:  098  097  098
130:  099  098  098
131:  099  099  099
132:  099  100  100
133:  100  101  100
134:  102  101  102
135:  103  102  103
136:  104  103  103
137:  104  104  104
138:  105  105  104
139:  105  106  106
140:  106  107  106
141:  107  108  107
142:  108  109  108
143:  110  109  110
144:  111  110  111
145:  112  111  111
146:  113  112  113
147:  114  114  113
148:  114  115  114
149:  115  116  115
150:  116  117  117
151:  117  118  118
152:  118  119  119
153:  120  120  119
154:  121  121  121
155:  122  122  123
156:  124  123  123
157:  125  124  125
158:  125  126  125
159:  126  127  126
160:  127  128  127
161:  128  129  129
162:  129  130  129
163:  130  131  130
164:  131  132  131
165:  132  133  132
166:  133  134  133
167:  135  134  135
168:  136  135  136
169:  137  136  137
170:  138  137  138
171:  139  138  138
172:  140  139  140
173:  141  140  140
174:  142  141  142
175:  142  142  142
176:  144  143  144
177:  144  145  144
178:  145  146  145
179:  146  147  146
180:  148  147  148
181:  149  148  149
182:  149  150  149
183:  150  151  150
184:  151  152  151
185:  152  153  152
186:  153  154  153
187:  154  155  154
188:  155  156  155
189:  156  157  157
190:  157  158  158
191:  159  159  158
192:  160  160  159
193:  161  161  161
194:  162  162  163
195:  163  163  164
196:  165  164  164
197:  166  165  166
198:  166  167  166
199:  167  168  167
200:  168  169  168
201:  170  170  169
202:  172  171  172
203:  173  172  173
204:  173  174  173
205:  175  175  174
206:  176  176  177
207:  178  177  178
208:  179  178  179
209:  179  180  180
210:  181  181  181
211:  183  182  182
212:  183  184  183
213:  185  185  184
214:  187  186  186
215:  187  188  187
216:  189  189  188
217:  191  190  190
218:  191  192  191
219:  193  193  193
220:  195  194  195
221:  195  196  196
222:  197  197  198
223:  199  198  199
224:  200  200  201
225:  202  201  202
226:  202  203  202
227:  205  204  204
228:  205  206  205
229:  207  207  206
230:  209  208  209
231:  209  210  210
232:  212  211  211
233:  212  213  212
234:  215  214  215
235:  215  216  215
236:  217  217  218
237:  218  219  218
238:  221  220  221
239:  222  222  221
240:  223  223  223
241:  224  225  225
242:  226  227  226
243:  228  229  228
244:  230  231  230
245:  232  233  232
246:  234  234  235
247:  236  236  235
248:  237  238  237
249:  240  240  240
250:  241  242  241
251:  243  244  243
252:  246  246  245
253:  247  248  247
254:  250  250  251
255:  253  252  253
256:  254  255  254
