# luminance for red (#ff0000), green (#00ff00) and blue (#0000ff)
# 10 files
#   r2g      b2g       Lmin      Lmax      red       grn       blu    FILE
# 0.32773  0.13344     0.335   227.900    48.900   149.210    19.911  Average
  0.32986  0.13468     0.315   217.000    50.700   153.700    20.700  uLR_DELL_2007FP_C953667D35YL.txt
  0.32416  0.13532     0.330   208.000    43.600   134.500    18.200  uLR_DELL_2007FP_C953667D361L.txt
  0.32723  0.13203     0.344   247.000    51.800   158.300    20.900  uLR_DELL_2007FP_C953667D382L.txt
  0.32918  0.13770     0.315   237.000    50.200   152.500    21.000  uLR_DELL_2007FP_C953667D386L.txt
  0.33249  0.13476     0.320   243.000    52.800   158.800    21.400  uLR_DELL_2007FP_C953667D388L.txt
  0.33845  0.13398     0.340   229.000    48.500   143.300    19.200  uLR_DELL_2007FP_C953667D38KL.txt
  0.32415  0.13451     0.353   215.000    49.400   152.400    20.500  uLR_DELL_2007FP_C953667D38PL.txt
  0.32472  0.13063     0.343   217.000    44.000   135.500    17.700  uLR_DELL_2007FP_C953667D38RL.txt
  0.32593  0.12822     0.340   221.000    44.000   135.000    17.310  uLR_DELL_2007FP_C953667D38UL.txt
  0.32124  0.13206     0.349   245.000    54.000   168.100    22.200  uLR_DELL_2007FP_C953667D3GYL.txt
