# LutGenerate 2.3 - 12/18/06 17:13:22
#  Display ID: DELL_2405FPW_T613358G3N0S
# Ambient = 0.10   Max. Luminance = 365.00   Luminance Ratio = 350.00
#  lumResponse vers. 1.6 - 12/18/06 17:01:45
#  iLdelay=1  avgN=1  ILlimit_plus=0.20 ILlimit_minus=-0.05  R=23.0% G=68.8% B=8.2%
1:  010  010  009
2:  010  011  010
3:  012  011  012
4:  013  012  012
5:  013  013  012
6:  013  014  014
7:  014  015  014
8:  016  015  016
9:  016  016  017
10:  017  017  016
11:  017  018  017
12:  018  018  019
13:  018  019  019
14:  020  019  019
15:  019  020  020
16:  020  020  021
17:  020  021  021
18:  022  021  021
19:  021  022  021
20:  022  022  022
21:  023  022  023
22:  023  023  023
23:  024  023  024
24:  024  024  023
25:  025  024  024
26:  024  025  024
27:  025  025  026
28:  026  025  026
29:  026  026  025
30:  027  026  026
31:  026  027  027
32:  027  027  028
33:  028  027  028
34:  028  028  027
35:  029  028  028
36:  028  029  029
37:  029  029  030
38:  030  029  030
39:  030  030  029
40:  031  030  030
41:  030  031  030
42:  031  031  031
43:  032  031  032
44:  031  032  032
45:  032  032  033
46:  032  033  032
47:  033  033  032
48:  034  033  034
49:  033  034  034
50:  034  034  035
51:  034  035  034
52:  035  035  034
53:  036  035  035
54:  035  036  036
55:  036  036  037
56:  036  037  036
57:  037  037  038
58:  038  037  038
59:  038  038  037
60:  039  038  038
61:  038  039  038
62:  039  039  040
63:  040  039  040
64:  040  040  039
65:  041  040  041
66:  041  041  040
67:  042  041  042
68:  041  042  042
69:  042  042  043
70:  042  043  042
71:  043  043  043
72:  044  043  044
73:  044  044  044
74:  045  044  045
75:  045  045  044
76:  046  045  046
77:  046  046  045
78:  047  046  047
79:  046  047  047
80:  048  047  047
81:  047  048  047
82:  049  048  048
83:  048  049  049
84:  050  049  049
85:  049  050  049
86:  051  050  050
87:  050  051  051
88:  051  052  051
89:  052  052  052
90:  052  053  052
91:  053  053  054
92:  053  054  053
93:  055  054  054
94:  054  055  055
95:  056  055  056
96:  056  056  055
97:  056  057  056
98:  058  057  057
99:  057  058  057
100:  059  058  058
101:  059  059  058
102:  059  060  059
103:  061  060  060
104:  060  061  061
105:  062  061  061
106:  062  062  061
107:  062  063  063
108:  064  063  064
109:  064  064  064
110:  064  065  064
111:  065  065  065
112:  065  066  065
113:  067  066  067
114:  068  067  067
115:  067  068  068
116:  068  069  068
117:  070  069  069
118:  069  070  070
119:  070  071  071
120:  071  071  072
121:  072  072  071
122:  072  073  073
123:  074  073  074
124:  075  074  074
125:  075  075  074
126:  075  076  075
127:  077  076  076
128:  078  077  077
129:  078  078  078
130:  078  079  078
131:  079  080  079
132:  081  080  081
133:  081  081  082
134:  082  082  081
135:  082  083  082
136:  084  083  084
137:  085  084  084
138:  085  085  086
139:  086  086  085
140:  086  087  087
141:  087  088  087
142:  089  088  088
143:  090  089  089
144:  090  090  091
145:  091  091  092
146:  092  092  091
147:  092  093  093
148:  093  094  093
149:  094  095  094
150:  096  095  096
151:  096  097  096
152:  097  098  097
153:  099  098  099
154:  100  099  100
155:  101  100  101
156:  102  101  102
157:  103  102  102
158:  104  103  104
159:  105  104  105
160:  106  105  106
161:  107  106  107
162:  108  107  107
163:  108  109  108
164:  109  110  109
165:  110  111  110
166:  111  112  111
167:  112  113  112
168:  113  114  113
169:  114  115  114
170:  116  116  116
171:  117  117  118
172:  118  118  118
173:  120  119  119
174:  121  120  121
175:  121  122  121
176:  122  123  123
177:  124  124  123
178:  125  125  126
179:  126  126  127
180:  128  127  128
181:  128  129  128
182:  129  130  129
183:  131  131  130
184:  132  132  132
185:  134  133  134
186:  134  135  135
187:  136  136  136
188:  137  137  138
189:  138  139  138
190:  140  140  141
191:  142  141  142
192:  142  143  143
193:  144  144  143
194:  146  145  146
195:  146  147  146
196:  148  148  148
197:  150  149  150
198:  151  151  151
199:  153  152  153
200:  153  154  153
201:  156  155  155
202:  157  157  156
203:  158  158  159
204:  160  160  159
205:  162  161  161
206:  163  163  162
207:  165  164  165
208:  166  166  165
209:  167  168  167
210:  170  169  169
211:  171  171  170
212:  172  173  172
213:  175  174  174
214:  176  176  175
215:  177  178  177
216:  179  179  178
217:  181  180  180
218:  183  182  182
219:  183  184  183
220:  186  185  186
221:  187  187  188
222:  188  189  188
223:  189  190  190
224:  191  192  191
225:  193  193  192
226:  195  195  194
227:  197  197  196
228:  198  199  198
229:  200  200  200
230:  201  202  202
231:  204  204  203
232:  205  206  205
233:  207  208  207
234:  210  209  209
235:  211  211  212
236:  213  213  212
237:  216  215  216
238:  218  217  218
239:  219  219  218
240:  222  221  221
241:  222  223  223
242:  225  225  225
243:  227  227  227
244:  229  229  228
245:  231  231  232
246:  233  233  232
247:  236  235  235
248:  238  237  237
249:  239  239  239
250:  241  242  241
251:  244  244  244
252:  245  246  246
253:  247  248  248
254:  250  251  250
255:  252  252  253
256:  254  255  254
