# LutGenerate 2.4 - 01/04/07 12:39:01 - #  Display ID: DELL_2405FPW_T613358G3N0S
# Ambient = 0.30   Max. Luminance = 358.000   Luminance Ratio = 350.00
#  lumResponse vers. 1.6 - 01/04/07 10:21:27
#  iLdelay=1  avgN=1  ILlimit_plus=0.20 ILlimit_minus=-0.05  R=23.4% G=68.2% B=8.4%
 DV    R       G      B              target Lum+Lamb      uLR Lum+Lamb
  1:  007  008  007           1.023      1.031
  2:  009  008  009           1.080      1.078
  3:  010  009  009           1.140      1.141
  4:  010  010  011           1.201      1.197
  5:  011  011  010           1.264      1.262
  6:  012  012  011           1.330      1.335
  7:  012  013  013           1.397      1.399
  8:  013  014  013           1.467      1.472
  9:  015  014  015           1.539      1.530
 10:  016  015  015           1.613      1.614
 11:  016  016  017           1.689      1.685
 12:  017  017  016           1.767      1.767
 13:  017  018  017           1.848      1.856
 14:  018  018  019           1.931      1.913
 15:  018  019  019           2.016      2.005
 16:  020  019  019           2.104      2.100
 17:  019  020  020           2.194      2.180
 18:  021  020  020           2.287      2.280
 19:  021  021  020           2.382      2.400
 20:  022  021  021           2.479      2.480
 21:  021  022  022           2.580      2.580
 22:  022  022  023           2.682      2.660
 23:  022  023  022           2.788      2.780
 24:  023  023  024           2.896      2.890
 25:  023  024  023           3.007      3.020
 26:  024  024  025           3.121      3.120
 27:  025  024  025           3.238      3.210
 28:  024  025  025           3.357      3.330
 29:  026  025  025           3.479      3.490
 30:  025  026  025           3.605      3.610
 31:  026  026  027           3.733      3.730
 32:  027  026  027           3.864      3.830
 33:  027  027  026           3.999      4.020
 34:  028  027  027           4.136      4.140
 35:  027  028  027           4.277      4.270
 36:  028  028  029           4.421      4.410
 37:  029  028  029           4.568      4.520
 38:  029  029  028           4.719      4.740
 39:  030  029  029           4.873      4.860
 40:  029  030  029           5.030      5.020
 41:  030  030  031           5.191      5.180
 42:  031  030  031           5.356      5.290
 43:  031  031  030           5.524      5.540
 44:  032  031  031           5.696      5.690
 45:  031  032  031           5.871      5.870
 46:  032  032  033           6.050      6.060
 47:  033  032  033           6.233      6.180
 48:  032  033  033           6.420      6.390
 49:  034  033  033           6.611      6.650
 50:  033  034  033           6.805      6.820
 51:  034  034  034           7.004      7.010
 52:  035  034  035           7.207      7.180
 53:  034  035  035           7.414      7.380
 54:  036  035  035           7.625      7.690
 55:  035  036  035           7.841      7.890
 56:  036  036  035           8.061      8.060
 57:  037  036  037           8.285      8.240
 58:  037  037  036           8.514      8.510
 59:  038  037  038           8.747      8.720
 60:  037  038  038           8.985      9.000
 61:  039  038  038           9.228      9.270
 62:  038  039  038           9.476      9.540
 63:  039  039  039           9.728      9.740
 64:  040  039  040           9.985      9.980
 65:  039  040  040          10.247     10.240
 66:  041  040  040          10.515     10.540
 67:  040  041  041          10.787     10.800
 68:  041  041  042          11.065     11.010
 69:  041  042  041          11.347     11.390
 70:  042  042  042          11.636     11.640
 71:  043  042  043          11.929     11.880
 72:  043  043  042          12.229     12.280
 73:  044  043  044          12.533     12.530
 74:  044  044  043          12.844     12.880
 75:  045  044  045          13.160     13.180
 76:  044  045  045          13.482     13.470
 77:  046  045  045          13.810     13.830
 78:  045  046  046          14.144     14.150
 79:  047  046  046          14.484     14.510
 80:  046  047  046          14.831     14.820
 81:  047  047  048          15.184     15.170
 82:  047  048  047          15.543     15.620
 83:  048  048  048          15.908     15.920
 84:  048  049  048          16.281     16.350
 85:  049  049  050          16.659     16.620
 86:  049  050  049          17.045     17.140
 87:  050  050  050          17.438     17.440
 88:  050  051  050          17.837     17.800
 89:  052  051  051          18.244     18.300
 90:  052  052  051          18.658     18.700
 91:  053  052  053          19.079     19.100
 92:  052  053  053          19.508     19.500
 93:  054  053  053          19.944     19.900
 94:  054  054  053          20.388     20.400
 95:  055  054  055          20.839     20.700
 96:  055  055  054          21.298     21.300
 97:  055  056  055          21.766     21.800
 98:  056  056  057          22.241     22.200
 99:  056  057  057          22.725     22.700
100:  058  057  058          23.217     23.200
101:  058  058  057          23.717     23.800
102:  059  058  059          24.226     24.200
103:  059  059  058          24.744     24.700
104:  059  060  059          25.271     25.300
105:  061  060  061          25.807     25.800
106:  061  061  060          26.351     26.400
107:  061  062  061          26.905     27.000
108:  063  062  062          27.469     27.500
109:  062  063  063          28.042     28.000
110:  063  064  063          28.624     28.700
111:  065  064  064          29.216     29.300
112:  064  065  065          29.819     29.800
113:  066  065  066          30.431     30.400
114:  066  066  067          31.054     31.000
115:  066  067  067          31.687     31.600
116:  067  068  067          32.330     32.400
117:  069  068  068          32.985     33.000
118:  069  069  068          33.650     33.600
119:  069  070  069          34.326     34.500
120:  071  070  070          35.013     35.100
121:  071  071  070          35.712     35.700
122:  072  072  071          36.422     36.500
123:  072  073  072          37.144     37.300
124:  074  073  074          37.878     37.900
125:  074  074  074          38.624     38.600
126:  074  075  075          39.382     39.300
127:  075  076  075          40.152     40.300
128:  077  076  077          40.935     40.900
129:  077  077  078          41.731     41.700
130:  078  078  077          42.540     42.500
131:  078  079  079          43.362     43.400
132:  079  080  079          44.197     44.300
133:  081  080  080          45.046     45.000
134:  081  081  081          45.908     45.800
135:  082  082  081          46.785     46.800
136:  082  083  083          47.675     47.700
137:  083  084  083          48.580     48.700
138:  085  084  085          49.499     49.500
139:  085  085  086          50.434     50.400
140:  086  086  085          51.383     51.300
141:  086  087  087          52.347     52.300
142:  087  088  087          53.327     53.300
143:  089  088  089          54.323     54.200
144:  090  089  089          55.334     55.300
145:  091  090  090          56.361     56.400
146:  091  091  092          57.405     57.400
147:  092  092  092          58.466     58.500
148:  093  093  092          59.543     59.600
149:  093  094  094          60.638     60.600
150:  094  095  094          61.749     61.800
151:  095  096  095          62.879     63.000
152:  096  097  096          64.026     64.000
153:  097  098  098          65.191     65.200
154:  098  099  099          66.375     66.400
155:  099  100  099          67.577     67.500
156:  100  101  100          68.799     68.900
157:  102  101  102          70.039     69.800
158:  102  103  102          71.299     71.300
159:  103  104  104          72.579     72.600
160:  104  105  105          73.879     73.900
161:  105  106  105          75.199     75.100
162:  106  107  106          76.540     76.500
163:  108  108  107          77.902     77.900
164:  109  109  108          79.285     79.200
165:  110  110  109          80.690     80.700
166:  111  111  110          82.116     82.100
167:  112  112  113          83.565     83.500
168:  114  113  113          85.037     85.100
169:  115  114  114          86.531     86.600
170:  116  115  116          88.048     88.000
171:  117  116  117          89.590     89.400
172:  117  118  117          91.155     91.400
173:  118  119  118          92.744     92.700
174:  120  120  119          94.358     94.400
175:  121  121  120          95.996     96.100
176:  123  122  122          97.661     97.800
177:  124  123  123          99.350     99.400
178:  125  124  125         101.066    101.000
179:  125  126  125         102.809    102.900
180:  126  127  126         104.578    104.700
