#  lumResponse - average luminance response
#  Display ID: GENERIC
#  1 files
#    83.2000 #ff0000
#   249.0000 #00ff00
#    29.8000 #0000ff
   1      0.3160  #000000    1   1 
   2      0.3240  #000001    1   2    0.02500
   3      0.3350  #010000    1   3    0.03338
   4      0.3440  #010001    1   4    0.02651
   5      0.3760  #000100    1   5    0.08889
   6      0.3840  #000101    1   6    0.02105
   7      0.3960  #010100    1   7    0.03077
   8      0.4060  #010101    2   1    0.02494
   9      0.4110  #010102    2   2    0.01224
  10      0.4170  #020101    2   3    0.01449
  11      0.4200  #020102    2   4    0.00717
  12      0.4380  #010201    2   5    0.04196
  13      0.4400  #010202    2   6    0.00456
  14      0.4490  #020201    2   7    0.02025
  15      0.4500  #020202    3   1    0.00222
  16      0.4560  #020203    3   2    0.01325
  17      0.4640  #030202    3   3    0.01739
  18      0.4690  #030203    3   4    0.01072
  19      0.4830  #020302    3   5    0.02941
  20      0.4880  #020303    3   6    0.01030
  21      0.4950  #030302    3   7    0.01424
  22      0.4990  #030303    4   1    0.00805
  23      0.5040  #030304    4   2    0.00997
  24      0.5110  #040303    4   3    0.01379
  25      0.5160  #040304    4   4    0.00974
  26      0.5350  #030403    4   5    0.03616
  27      0.5400  #030404    4   6    0.00930
  28      0.5480  #040403    4   7    0.01471
  29      0.5520  #040404    5   1    0.00727
  30      0.5580  #040405    5   2    0.01081
  31      0.5680  #050404    5   3    0.01776
  32      0.5730  #050405    5   4    0.00876
  33      0.5940  #040504    5   5    0.03599
  34      0.5990  #040505    5   6    0.00838
  35      0.6090  #050504    5   7    0.01656
  36      0.6150  #050505    6   1    0.00980
  37      0.6200  #050506    6   2    0.00810
  38      0.6280  #060505    6   3    0.01282
  39      0.6340  #060506    6   4    0.00951
  40      0.6550  #050605    6   5    0.03258
  41      0.6600  #050606    6   6    0.00760
  42      0.6680  #060605    6   7    0.01205
  43      0.6750  #060606    7   1    0.01042
  44      0.6800  #060607    7   2    0.00738
  45      0.6920  #070606    7   3    0.01749
  46      0.6980  #070607    7   4    0.00863
  47      0.7160  #060706    7   5    0.02546
  48      0.7210  #060707    7   6    0.00696
  49      0.7300  #070706    7   7    0.01241
  50      0.7370  #070707    8   1    0.00954
  51      0.7460  #070708    8   2    0.01214
  52      0.7540  #080707    8   3    0.01067
  53      0.7580  #080708    8   4    0.00529
  54      0.7810  #070807    8   5    0.02989
  55      0.7920  #070808    8   6    0.01399
  56      0.8040  #080807    8   7    0.01504
  57      0.8100  #080808    9   1    0.00743
  58      0.8170  #080809    9   2    0.00860
  59      0.8310  #090808    9   3    0.01699
  60      0.8380  #090809    9   4    0.00839
  61      0.8580  #080908    9   5    0.02358
  62      0.8630  #080909    9   6    0.00581
  63      0.8770  #090908    9   7    0.01609
  64      0.8830  #090909   10   1    0.00682
  65      0.8890  #09090a   10   2    0.00677
  66      0.8970  #0a0909   10   3    0.00896
  67      0.9060  #0a090a   10   4    0.00998
  68      0.9250  #090a09   10   5    0.02075
  69      0.9330  #090a0a   10   6    0.00861
  70      0.9430  #0a0a09   10   7    0.01066
  71      0.9500  #0a0a0a   11   1    0.00740
  72      0.9570  #0a0a0b   11   2    0.00734
  73      0.9700  #0b0a0a   11   3    0.01349
  74      0.9790  #0b0a0b   11   4    0.00924
  75      1.0040  #0a0b0a   11   5    0.02521
  76      1.0130  #0a0b0b   11   6    0.00892
  77      1.0240  #0b0b0a   11   7    0.01080
  78      1.0320  #0b0b0b   12   1    0.00778
  79      1.0410  #0b0b0c   12   2    0.00868
  80      1.0530  #0c0b0b   12   3    0.01146
  81      1.0610  #0c0b0c   12   4    0.00757
  82      1.0840  #0b0c0b   12   5    0.02145
  83      1.0910  #0b0c0c   12   6    0.00644
  84      1.1040  #0c0c0b   12   7    0.01185
  85      1.1100  #0c0c0c   13   1    0.00542
  86      1.1150  #0c0c0d   13   2    0.00449
  87      1.1290  #0d0c0c   13   3    0.01248
  88      1.1400  #0d0c0d   13   4    0.00970
  89      1.1670  #0c0d0c   13   5    0.02341
  90      1.1760  #0c0d0d   13   6    0.00768
  91      1.1870  #0d0d0c   13   7    0.00931
  92      1.1910  #0d0d0d   14   1    0.00336
  93      1.2000  #0d0d0e   14   2    0.00753
  94      1.2060  #0e0d0d   14   3    0.00499
  95      1.2170  #0e0d0e   14   4    0.00908
  96      1.2420  #0d0e0d   14   5    0.02033
  97      1.2520  #0d0e0e   14   6    0.00802
  98      1.2610  #0e0e0d   14   7    0.00716
  99      1.2700  #0e0e0e   15   1    0.00711
 100      1.2770  #0e0e0f   15   2    0.00550
 101      1.2930  #0f0e0e   15   3    0.01245
 102      1.3010  #0f0e0f   15   4    0.00617
 103      1.3260  #0e0f0e   15   5    0.01903
 104      1.3330  #0e0f0f   15   6    0.00527
 105      1.3500  #0f0f0e   15   7    0.01267
 106      1.3570  #0f0f0f   16   1    0.00517
 107      1.3670  #0f0f10   16   2    0.00734
 108      1.3840  #100f0f   16   3    0.01236
 109      1.3940  #100f10   16   4    0.00720
 110      1.4170  #0f100f   16   5    0.01636
 111      1.4250  #0f1010   16   6    0.00563
 112      1.4460  #10100f   16   7    0.01463
 113      1.4530  #101010   17   1    0.00483
 114      1.4600  #101011   17   2    0.00481
 115      1.4910  #111010   17   3    0.02101
 116      1.4940  #111011   17   4    0.00201
 117      1.5050  #101110   17   5    0.00734
 118      1.5090  #101111   17   6    0.00265
 119      1.5370  #111110   17   7    0.01838
 120      1.5460  #111111   18   1    0.00584
 121      1.5540  #111112   18   2    0.00516
 122      1.5840  #121111   18   3    0.01912
 123      1.5960  #121112   18   4    0.00755
 124      1.6300  #111211   18   5    0.02108
 125      1.6420  #111212   18   6    0.00733
 126      1.6700  #121211   18   7    0.01691
 127      1.6810  #121212   19   1    0.00657
 128      1.6890  #121213   19   2    0.00475
 129      1.7230  #131212   19   3    0.01993
 130      1.7310  #131213   19   4    0.00463
 131      1.7730  #121312   19   5    0.02397
 132      1.7790  #121313   19   6    0.00338
 133      1.8100  #131312   19   7    0.01728
 134      1.8200  #131313   20   1    0.00551
 135      1.8400  #131314   20   2    0.01093
 136      1.8700  #141313   20   3    0.01617
 137      1.8800  #141314   20   4    0.00533
 138      1.9400  #131413   20   5    0.03141
 139      1.9600  #131414   20   6    0.01026
 140      1.9900  #141413   20   7    0.01519
 141      2.0100  #141414   21   1    0.01000
 142      2.0200  #141415   21   2    0.00496
 143      2.0600  #151414   21   3    0.01961
 144      2.0700  #151415   21   4    0.00484
 145      2.1200  #141514   21   5    0.02387
 146      2.1400  #141515   21   6    0.00939
 147      2.1700  #151514   21   7    0.01392
 148      2.1900  #151515   22   1    0.00917
 149      2.2000  #151516   22   2    0.00456
 150      2.2500  #161515   22   3    0.02247
 151      2.2700  #161516   22   4    0.00885
 152      2.3300  #151615   22   5    0.02609
 153      2.3500  #151616   22   6    0.00855
 154      2.4000  #161615   22   7    0.02105
 155      2.4200  #161616   23   1    0.00830
 156      2.4400  #161617   23   2    0.00823
 157      2.4800  #171616   23   3    0.01626
 158      2.5000  #171617   23   4    0.00803
 159      2.5600  #161716   23   5    0.02372
 160      2.5700  #161717   23   6    0.00390
 161      2.6200  #171716   23   7    0.01927
 162      2.6300  #171717   24   1    0.00381
 163      2.6500  #171718   24   2    0.00758
 164      2.7100  #181717   24   3    0.02239
 165      2.7200  #181718   24   4    0.00368
 166      2.7900  #171817   24   5    0.02541
 167      2.8100  #171818   24   6    0.00714
 168      2.8600  #181817   24   7    0.01764
 169      2.8800  #181818   25   1    0.00697
 170      2.8900  #181819   25   2    0.00347
 171      2.9600  #191818   25   3    0.02393
 172      2.9800  #191819   25   4    0.00673
 173      3.0800  #181918   25   5    0.03300
 174      3.1000  #181919   25   6    0.00647
 175      3.1600  #191918   25   7    0.01917
 176      3.1800  #191919   26   1    0.00631
 177      3.2000  #19191a   26   2    0.00627
 178      3.2500  #1a1919   26   3    0.01550
 179      3.2800  #1a191a   26   4    0.00919
 180      3.3700  #191a19   26   5    0.02707
 181      3.3900  #191a1a   26   6    0.00592
 182      3.4500  #1a1a19   26   7    0.01754
 183      3.4700  #1a1a1a   27   1    0.00578
 184      3.4900  #1a1a1b   27   2    0.00575
 185      3.5600  #1b1a1a   27   3    0.01986
 186      3.5900  #1b1a1b   27   4    0.00839
 187      3.6800  #1a1b1a   27   5    0.02476
 188      3.6900  #1a1b1b   27   6    0.00271
 189      3.7700  #1b1b1a   27   7    0.02145
 190      3.7900  #1b1b1b   28   1    0.00529
 191      3.8200  #1b1b1c   28   2    0.00788
 192      3.8900  #1c1b1b   28   3    0.01816
 193      3.9100  #1c1b1c   28   4    0.00513
 194      4.0200  #1b1c1b   28   5    0.02774
 195      4.0500  #1b1c1c   28   6    0.00743
 196      4.1000  #1c1c1b   28   7    0.01227
 197      4.1300  #1c1c1c   29   1    0.00729
 198      4.1500  #1c1c1d   29   2    0.00483
 199      4.2400  #1d1c1c   29   3    0.02145
 200      4.2600  #1d1c1d   29   4    0.00471
 201      4.3700  #1c1d1c   29   5    0.02549
 202      4.3900  #1c1d1d   29   6    0.00457
 203      4.5000  #1d1d1c   29   7    0.02475
 204      4.5100  #1d1d1d   30   1    0.00222
 205      4.5600  #1d1d1e   30   2    0.01103
 206      4.6100  #1e1d1d   30   3    0.01091
 207      4.6500  #1e1d1e   30   4    0.00864
 208      4.7800  #1d1e1d   30   5    0.02757
 209      4.8100  #1d1e1e   30   6    0.00626
 210      4.8800  #1e1e1d   30   7    0.01445
 211      4.9100  #1e1e1e   31   1    0.00613
 212      4.9400  #1e1e1f   31   2    0.00609
 213      5.0300  #1f1e1e   31   3    0.01805
 214      5.0500  #1f1e1f   31   4    0.00397
 215      5.1900  #1e1f1e   31   5    0.02734
 216      5.2200  #1e1f1f   31   6    0.00576
 217      5.3000  #1f1f1e   31   7    0.01521
 218      5.3400  #1f1f1f   32   1    0.00752
 219      5.3500  #1f1f20   32   2    0.00187
 220      5.4500  #201f1f   32   3    0.01852
 221      5.4900  #201f20   32   4    0.00731
 222      5.6200  #1f201f   32   5    0.02340
 223      5.6600  #1f2020   32   6    0.00709
 224      5.7400  #20201f   32   7    0.01404
 225      5.7700  #202020   33   1    0.00521
 226      5.8300  #202021   33   2    0.01034
