# LutGenerate 2.4 - 07/03/08 15:31:53 - #  Display ID: DELL_2408WFP_JU43683617VS
# Ambient = 0.10   Max. Luminance = 368.000   Luminance Ratio = 350.00
#  lumResponse vers. 1.6 - 07/03/08 15:31:18
#  iLdelay=1  avgN=1  ILlimit_plus=0.20 ILlimit_minus=-0.05  R=24.4% G=67.1% B=8.6%
 DV    R    G    B     target Lum+Lamb   uLR Lum+Lamb
  1:  019  020  020           1.051      1.042
  2:  021  020  021           1.110      1.108
  3:  020  021  021           1.171      1.162
  4:  022  021  022           1.233      1.232
  5:  021  022  022           1.298      1.295
  6:  023  022  022           1.365      1.370
  7:  022  023  022           1.434      1.438
  8:  023  023  024           1.505      1.503
  9:  024  023  024           1.578      1.554
 10:  024  024  023           1.654      1.667
 11:  025  024  024           1.732      1.729
 12:  024  025  024           1.812      1.818
 13:  025  025  026           1.894      1.890
 14:  025  026  025           1.979      1.980
 15:  026  026  027           2.066      2.070
 16:  027  026  027           2.155      2.140
 17:  026  027  027           2.247      2.230
 18:  028  027  027           2.342      2.360
 19:  027  028  027           2.439      2.470
 20:  028  028  027           2.539      2.540
 21:  029  028  029           2.641      2.640
 22:  028  029  028           2.746      2.740
 23:  029  029  030           2.854      2.850
 24:  030  029  030           2.964      2.920
 25:  029  030  030           3.077      3.060
 26:  031  030  030           3.194      3.230
 27:  030  031  030           3.312      3.350
 28:  031  031  030           3.434      3.450
 29:  032  031  032           3.559      3.550
 30:  031  032  032           3.687      3.690
 31:  032  032  033           3.818      3.790
 32:  032  033  033           3.952      3.950
 33:  034  033  033           4.089      4.090
 34:  034  034  033           4.230      4.250
 35:  035  034  035           4.373      4.340
 36:  035  035  036           4.520      4.520
 37:  035  036  035           4.670      4.690
 38:  037  036  036           4.824      4.810
 39:  036  037  037           4.981      4.970
 40:  038  037  038           5.142      5.100
 41:  038  038  039           5.306      5.310
 42:  038  039  039           5.474      5.470
 43:  040  039  039           5.645      5.640
 44:  040  040  039           5.821      5.850
 45:  041  040  041           6.000      5.980
 46:  041  041  040           6.182      6.180
 47:  041  042  041           6.369      6.420
 48:  042  042  043           6.560      6.550
 49:  042  043  042           6.754      6.760
 50:  044  043  043           6.953      6.980
 51:  043  044  044           7.156      7.130
 52:  045  044  045           7.363      7.370
 53:  045  045  044           7.574      7.600
 54:  046  045  046           7.790      7.720
 55:  046  046  047           8.010      8.000
 56:  046  047  046           8.234      8.240
 57:  048  047  047           8.463      8.460
 58:  048  048  047           8.697      8.720
 59:  049  048  049           8.935      8.890
 60:  049  049  049           9.178      9.180
 61:  049  050  049           9.426      9.480
 62:  050  050  051           9.678      9.650
 63:  050  051  051           9.936      9.940
 64:  052  051  052          10.198     10.200
 65:  052  052  053          10.466     10.440
 66:  052  053  052          10.739     10.740
 67:  054  053  053          11.017     11.010
 68:  054  054  053          11.300     11.340
 69:  054  055  054          11.589     11.680
 70:  055  055  056          11.883     11.850
 71:  055  056  056          12.183     12.200
 72:  057  056  056          12.489     12.490
 73:  057  057  056          12.800     12.830
 74:  058  057  057          13.117     13.020
 75:  058  058  059          13.440     13.390
 76:  058  059  058          13.769     13.740
 77:  060  059  060          14.104     14.070
 78:  060  060  060          14.445     14.420
 79:  060  061  060          14.792     14.790
 80:  062  061  061          15.146     15.170
 81:  062  062  061          15.506     15.550
 82:  063  062  063          15.873     15.770
 83:  063  063  064          16.247     16.230
 84:  063  064  064          16.627     16.650
 85:  065  064  065          17.014     16.970
 86:  066  065  065          17.408     17.430
 87:  066  066  065          17.809     17.800
 88:  066  067  066          18.217     18.300
 89:  068  067  067          18.632     18.600
 90:  068  068  067          19.055     19.100
 91:  068  069  068          19.486     19.600
 92:  070  069  069          19.924     19.900
 93:  070  070  069          20.369     20.400
 94:  070  071  070          20.823     20.900
 95:  072  071  072          21.284     21.300
 96:  072  072  072          21.754     21.800
 97:  072  073  072          22.231     22.200
 98:  074  073  073          22.717     22.600
 99:  074  074  075          23.211     23.200
100:  075  075  074          23.714     23.800
101:  075  076  075          24.226     24.300
102:  077  076  076          24.746     24.700
103:  077  077  077          25.276     25.200
104:  078  078  077          25.814     25.900
105:  080  079  079          26.362     26.400
106:  080  080  079          26.919     26.900
107:  080  081  081          27.485     27.500
108:  081  082  081          28.061     28.100
109:  083  082  082          28.647     28.600
110:  083  083  084          29.243     29.200
111:  084  084  083          29.848     29.800
112:  085  085  084          30.464     30.500
113:  085  086  085          31.091     31.100
114:  087  086  086          31.727     31.600
115:  088  087  088          32.375     32.400
116:  088  088  089          33.033     33.000
117:  089  089  090          33.703     33.700
118:  090  090  090          34.383     34.400
119:  090  091  090          35.075     35.000
120:  091  092  091          35.778     35.700
121:  092  093  092          36.493     36.600
122:  094  093  093          37.220     37.100
123:  095  094  095          37.958     38.000
124:  095  095  096          38.709     38.700
125:  096  096  096          39.473     39.400
126:  097  097  096          40.248     40.200
127:  098  098  097          41.037     41.100
128:  098  099  099          41.838     41.800
129:  099  100  100          42.653     42.700
130:  100  101  100          43.481     43.500
131:  101  102  101          44.322     44.300
132:  102  103  103          45.177     45.200
133:  103  104  103          46.046     46.000
134:  104  105  104          46.929     47.000
135:  105  106  105          47.826     47.900
136:  107  106  107          48.738     48.600
137:  108  107  107          49.665     49.600
138:  109  108  108          50.606     50.500
139:  110  109  110          51.563     51.600
140:  111  110  110          52.535     52.500
141:  112  111  111          53.523     53.600
142:  112  112  113          54.527     54.500
143:  113  113  114          55.546     55.500
144:  114  114  115          56.582     56.600
145:  115  115  114          57.635     57.600
146:  116  116  117          58.705     58.700
147:  117  117  117          59.791     59.800
148:  118  118  118          60.895     60.900
149:  119  119  120          62.016     62.100
150:  120  120  120          63.156     63.200
151:  121  121  120          64.313     64.300
152:  122  122  121          65.489     65.600
153:  122  123  123          66.683     66.600
154:  123  124  124          67.896     67.900
155:  124  125  124          69.129     69.100
156:  125  126  125          70.381     70.400
157:  126  127  127          71.653     71.700
158:  127  128  127          72.944     72.900
159:  129  129  128          74.257     74.400
160:  130  130  129          75.589     75.700
161:  131  131  130          76.943     76.900
162:  132  132  133          78.318     78.300
163:  134  133  133          79.715     79.700
164:  135  134  135          81.133     81.200
165:  136  135  135          82.574     82.300
166:  136  137  137          84.037     84.200
167:  137  138  137          85.523     85.500
168:  138  139  139          87.033     87.000
169:  140  140  139          88.566     88.600
170:  142  141  141          90.123     90.100
171:  143  142  142          91.704     91.600
172:  143  144  144          93.310     93.600
173:  144  145  144          94.940     95.000
174:  145  146  146          96.596     96.700
175:  147  147  147          98.278     98.300
176:  148  148  147          99.986     99.900
177:  149  149  149         101.721    101.700
178:  151  150  150         103.482    103.500
179:  152  151  152         105.271    105.400
180:  153  152  152         107.087    106.800
181:  153  154  153         108.931    108.900
182:  155  155  154         110.804    110.800
183:  156  156  156         112.706    112.700
184:  157  157  158         114.637    114.600
185:  159  158  158         116.598    116.600
186:  160  159  159         118.589    118.500
187:  160  161  160         120.611    120.900
188:  161  162  161         122.664    122.600
189:  162  163  162         124.748    124.600
190:  164  164  163         126.865    127.000
191:  165  165  165         129.014    129.000
192:  167  166  167         131.196    131.300
193:  167  168  167         133.412    133.600
194:  168  169  168         135.661    135.600
195:  169  170  169         137.945    137.900
196:  171  171  171         140.264    140.300
197:  172  172  172         142.619    142.600
198:  174  173  174         145.010    145.000
199:  175  174  175         147.437    147.200
200:  175  176  176         149.901    150.000
201:  176  177  176         152.403    152.200
202:  178  178  179         154.943    155.100
203:  179  179  180         157.522    157.400
204:  181  180  181         160.140    160.000
205:  181  182  181         162.798    162.800
206:  183  183  183         165.497    165.600
207:  184  184  185         168.236    168.100
208:  186  185  185         171.018    171.100
209:  186  187  186         173.841    174.100
210:  188  188  188         176.708    177.100
211:  190  189  190         179.618    180.100
212:  191  190  190         182.573    182.100
213:  191  192  191         185.572    185.100
214:  194  193  194         188.617    189.100
215:  194  195  194         191.708    192.100
216:  195  196  196         194.846    195.100
217:  197  197  197         198.032    198.100
218:  199  198  198         201.266    201.100
219:  200  199  200         204.549    204.100
220:  201  201  201         207.881    208.100
221:  203  202  203         211.265    211.100
222:  204  204  203         214.699    215.100
223:  205  205  206         218.185    218.100
224:  206  207  207         221.724    222.100
225:  208  208  207         225.317    225.100
226:  209  210  209         228.963    229.100
227:  211  211  212         232.665    233.100
228:  213  212  213         236.423    236.100
229:  214  214  213         240.237    240.100
230:  215  216  215         244.110    244.100
231:  217  217  218         248.040    248.100
232:  218  219  219         252.030    252.100
233:  220  220  219         256.080    255.100
234:  221  222  222         260.191    260.100
235:  223  223  222         264.364    264.100
236:  224  225  224         268.600    268.100
237:  226  226  225         272.899    273.100
238:  228  227  227         277.264    277.100
239:  228  229  228         281.694    282.100
240:  231  230  230         286.190    286.100
241:  231  232  231         290.755    291.100
242:  233  233  233         295.388    295.100
243:  235  234  234         300.090    299.100
244:  235  236  236         304.864    305.100
245:  238  237  238         309.709    310.100
246:  238  239  239         314.627    315.100
247:  241  240  241         319.619    320.100
248:  241  242  242         324.686    325.100
249:  244  243  243         329.828    330.100
250:  244  245  245         335.048    335.100
251:  246  247  246         340.347    340.100
252:  249  248  248         345.725    346.100
253:  250  250  249         351.183    351.100
254:  251  252  251         356.724    357.100
255:  253  253  253         362.348    362.100
256:  255  255  254         368.000    368.100
