# LutGenerate 2.4 - 02/05/07 15:40:11
#  Display ID: DELL3007WFPHC_YW2586B8G01L
# Ambient = 0.10   Max. Luminance = 285.00   Luminance Ratio = 350.00
#  lumResponse vers. 1.6 - 02/05/07 15:38:40
#  iLdelay=1  avgN=1  ILlimit_plus=0.20 ILlimit_minus=-0.05  R=29.5% G=62.8% B=7.7%
1:  019  019  018
2:  019  020  020
3:  020  021  020
4:  022  021  022
5:  023  022  022
6:  023  023  022
7:  023  024  023
8:  025  024  024
9:  025  025  024
10:  026  025  026
11:  026  026  027
12:  026  027  026
13:  028  027  027
14:  028  028  027
15:  029  028  029
16:  029  029  030
17:  029  030  029
18:  031  030  030
19:  031  031  030
20:  032  031  032
21:  032  032  031
22:  033  032  033
23:  033  033  033
24:  033  034  033
25:  034  034  035
26:  034  035  034
27:  035  035  036
28:  035  036  036
29:  037  036  036
30:  037  037  036
31:  038  037  038
32:  038  038  037
33:  039  038  039
34:  039  039  040
35:  039  040  039
36:  040  040  041
37:  040  041  041
38:  042  041  041
39:  041  042  042
40:  043  042  042
41:  043  043  042
42:  044  043  044
43:  044  044  043
44:  045  044  045
45:  045  045  044
46:  046  045  046
47:  046  046  046
48:  046  047  046
49:  047  047  048
50:  047  048  047
51:  048  048  049
52:  048  049  048
53:  049  049  050
54:  049  050  049
55:  050  050  051
56:  050  051  051
57:  052  051  051
58:  051  052  052
59:  053  052  052
60:  052  053  053
61:  054  053  053
62:  054  054  053
63:  055  054  055
64:  055  055  054
65:  056  055  056
66:  056  056  056
67:  056  057  056
68:  057  057  058
69:  057  058  057
70:  058  058  059
71:  058  059  058
72:  059  059  060
73:  059  060  060
74:  060  060  061
75:  060  061  061
76:  062  061  061
77:  061  062  062
78:  063  062  062
79:  062  063  063
80:  064  063  064
81:  064  064  063
82:  064  065  064
83:  065  065  066
84:  065  066  066
85:  067  066  067
86:  067  067  066
87:  067  068  067
88:  069  068  068
89:  069  069  068
90:  070  069  070
91:  070  070  071
92:  070  071  071
93:  072  071  071
94:  072  072  071
95:  072  073  072
96:  074  073  073
97:  074  074  074
98:  074  075  074
99:  076  075  075
100:  076  076  075
101:  077  076  076
102:  077  077  077
103:  077  078  078
104:  079  078  078
105:  079  079  078
106:  079  080  079
107:  081  080  080
108:  081  081  080
109:  081  082  081
110:  083  082  083
111:  083  083  084
112:  084  084  083
113:  084  085  084
114:  086  085  085
115:  086  086  086
116:  087  087  086
117:  088  087  087
118:  088  088  088
119:  088  089  089
120:  090  089  090
121:  091  090  090
122:  091  091  090
123:  091  092  091
124:  093  092  093
125:  094  093  093
126:  094  094  094
127:  094  095  095
128:  096  095  096
129:  096  096  097
130:  097  097  096
131:  097  098  098
132:  098  099  098
133:  100  099  100
134:  100  100  101
135:  101  101  101
136:  102  102  101
137:  102  103  102
138:  104  103  103
139:  105  104  104
140:  105  105  106
141:  106  106  106
142:  107  107  106
143:  107  108  108
144:  108  109  108
145:  109  110  109
146:  110  111  110
147:  111  112  111
148:  112  113  112
149:  113  114  113
150:  114  115  114
151:  115  116  115
152:  117  116  117
153:  118  117  118
154:  118  119  118
155:  119  120  119
156:  120  121  121
157:  121  122  122
158:  123  123  122
159:  124  124  124
160:  125  125  126
161:  126  126  127
162:  127  127  127
163:  128  128  127
164:  128  129  129
165:  129  130  129
166:  131  130  131
167:  132  131  132
168:  133  132  132
169:  133  133  134
170:  134  134  135
171:  135  135  135
172:  136  136  136
173:  137  137  136
174:  138  138  137
175:  139  139  138
176:  140  140  139
177:  140  141  141
178:  141  142  142
179:  142  143  143
180:  143  144  144
181:  144  145  145
182:  145  146  146
183:  146  147  147
184:  147  148  148
185:  148  149  149
186:  149  150  150
187:  150  151  151
188:  152  152  151
189:  153  153  152
190:  154  154  153
191:  155  155  154
192:  156  156  156
193:  157  157  158
194:  158  158  159
195:  160  159  159
196:  161  160  160
197:  162  161  162
198:  163  162  163
199:  163  164  163
200:  164  165  165
201:  166  166  165
202:  167  167  166
203:  168  168  168
204:  170  169  170
205:  170  171  171
206:  172  172  171
207:  173  173  172
208:  175  174  174
209:  175  176  175
210:  177  177  176
211:  178  178  179
212:  179  180  179
213:  181  181  180
214:  183  182  182
215:  183  184  183
216:  185  185  185
217:  187  186  187
218:  188  188  187
219:  190  189  190
220:  190  191  190
221:  192  192  192
222:  193  193  194
223:  195  194  195
224:  195  196  195
225:  197  197  196
226:  199  198  198
227:  199  200  199
228:  200  201  201
229:  202  202  203
230:  203  203  202
231:  205  204  204
232:  205  206  205
233:  208  207  208
234:  209  209  208
235:  210  210  210
236:  212  211  211
237:  212  213  213
238:  214  215  214
239:  216  216  215
240:  218  217  217
241:  219  219  219
242:  220  221  220
243:  222  223  222
244:  224  224  223
245:  226  226  226
246:  228  228  229
247:  230  230  231
248:  231  232  231
249:  234  234  233
250:  236  236  235
251:  239  238  238
252:  240  241  241
253:  244  243  244
254:  246  246  246
255:  249  250  250
256:  253  254  253
