# LutGenerate 2.4 - 01/09/07 20:15:58
#  Display ID: DELL_3007WFP_FK28569QG3TP
# Ambient = 0.10   Max. Luminance = 333.00   Luminance Ratio = 350.00
#  lumResponse vers. 1.6 - 01/09/07 20:14:51
#  iLdelay=1  avgN=1  ILlimit_plus=0.20 ILlimit_minus=-0.05  R=22.9% G=68.3% B=8.8%
1:  021  020  021
2:  022  021  022
3:  023  022  022
4:  023  023  022
5:  023  024  023
6:  025  024  025
7:  025  025  026
8:  025  026  025
9:  027  026  027
10:  027  027  027
11:  027  028  027
12:  029  028  029
13:  029  029  029
14:  029  030  029
15:  031  030  030
16:  031  031  030
17:  032  031  032
18:  032  032  032
19:  032  033  032
20:  033  033  034
21:  033  034  033
22:  035  034  035
23:  034  035  035
24:  036  035  036
25:  036  036  036
26:  036  037  036
27:  038  037  037
28:  037  038  038
29:  039  038  039
30:  039  039  038
31:  039  040  039
32:  040  040  041
33:  040  041  040
34:  042  041  042
35:  041  042  042
36:  043  042  043
37:  043  043  042
38:  044  043  044
39:  044  044  044
40:  044  045  044
41:  045  045  046
42:  045  046  045
43:  047  046  046
44:  046  047  046
45:  048  047  047
46:  047  048  048
47:  049  048  049
48:  049  049  048
49:  050  049  050
50:  050  050  049
51:  051  050  051
52:  051  051  051
53:  051  052  051
54:  052  052  053
55:  052  053  052
56:  054  053  053
57:  053  054  054
58:  055  054  055
59:  054  055  055
60:  056  055  056
61:  056  056  055
62:  057  056  057
63:  057  057  058
64:  057  058  057
65:  058  058  059
66:  058  059  058
67:  060  059  059
68:  059  060  060
69:  061  060  061
70:  060  061  061
71:  062  061  062
72:  062  062  061
73:  063  062  063
74:  063  063  063
75:  063  064  063
76:  064  064  065
77:  064  065  065
78:  066  065  066
79:  066  066  066
80:  066  067  066
81:  068  067  068
82:  068  068  067
83:  068  069  068
84:  070  069  069
85:  070  070  069
86:  071  070  071
87:  071  071  072
88:  071  072  072
89:  073  072  073
90:  073  073  074
91:  074  074  073
92:  075  074  075
93:  076  075  075
94:  075  076  076
95:  077  076  076
96:  077  077  076
97:  077  078  077
98:  079  078  079
99:  079  079  080
100:  079  080  080
101:  081  080  081
102:  081  081  082
103:  081  082  082
104:  082  083  082
105:  084  083  083
106:  084  084  084
107:  084  085  084
108:  085  086  085
109:  087  086  086
110:  087  087  086
111:  087  088  087
112:  089  088  088
113:  089  089  088
114:  089  090  089
115:  091  090  091
116:  091  091  091
117:  092  092  091
118:  092  093  092
119:  094  093  094
120:  094  094  095
121:  095  095  094
122:  095  096  095
123:  097  096  097
124:  098  097  097
125:  098  098  098
126:  098  099  099
127:  099  100  099
128:  101  100  100
129:  102  101  102
130:  102  102  103
131:  103  103  102
132:  103  104  104
133:  104  105  104
134:  105  106  105
135:  107  106  107
136:  108  107  107
137:  109  108  108
138:  109  109  110
139:  110  110  111
140:  111  111  112
141:  112  112  112
142:  113  113  113
143:  114  114  114
144:  115  115  115
145:  116  116  115
146:  117  117  118
147:  118  118  119
148:  119  119  120
149:  121  120  120
150:  122  121  121
151:  123  122  123
152:  123  124  123
153:  124  125  125
154:  126  126  125
155:  127  127  126
156:  127  128  128
157:  128  129  128
158:  130  129  130
159:  131  130  130
160:  131  131  132
161:  132  132  133
162:  133  133  132
163:  134  134  133
164:  134  135  135
165:  135  136  135
166:  136  137  136
167:  137  138  137
168:  138  139  138
169:  139  140  139
170:  141  140  141
171:  142  141  142
172:  143  142  143
173:  144  143  144
174:  145  144  145
175:  146  145  145
176:  147  146  146
177:  148  147  147
178:  149  148  148
179:  150  149  149
180:  151  150  150
181:  152  151  151
182:  153  152  152
183:  154  153  153
184:  155  154  155
185:  156  155  156
186:  157  156  157
187:  158  157  158
188:  159  158  159
189:  159  160  159
190:  161  160  161
191:  161  162  161
192:  162  163  162
193:  163  164  164
194:  164  165  165
195:  166  166  165
196:  167  167  167
197:  169  168  168
198:  170  169  170
199:  170  171  170
200:  171  172  171
201:  173  173  172
202:  174  174  175
203:  176  175  176
204:  176  177  176
205:  177  178  178
206:  179  179  179
207:  181  180  181
208:  181  182  181
209:  183  183  182
210:  185  184  184
211:  185  186  185
212:  187  187  187
213:  189  188  188
214:  189  190  190
215:  191  191  191
216:  192  192  192
217:  194  193  193
218:  195  194  195
219:  195  196  195
220:  196  197  196
221:  197  198  197
222:  198  199  199
223:  201  200  201
224:  201  201  201
225:  202  203  202
226:  203  204  203
227:  206  205  205
228:  207  206  207
229:  207  208  207
230:  209  209  209
231:  210  210  211
232:  211  212  211
233:  213  213  214
234:  215  214  214
235:  215  216  216
236:  218  217  217
237:  218  219  218
238:  220  220  221
239:  221  222  221
240:  223  223  222
241:  224  225  224
242:  227  226  227
243:  228  228  227
244:  230  229  230
245:  232  231  231
246:  232  233  233
247:  234  235  234
248:  237  236  237
249:  238  239  238
250:  240  240  241
251:  243  242  242
252:  244  245  244
253:  246  247  247
254:  249  249  249
255:  251  252  251
256:  254  254  253
