# LutGenerate 2.4 - 01/15/07 14:29:21
#  Display ID: DELL_3007WFP_FK28569QG3VM
# Ambient = 0.10   Max. Luminance = 365.00   Luminance Ratio = 350.00
#  lumResponse vers. 1.6 - 01/15/07 14:27:57
#  iLdelay=1  avgN=1  ILlimit_plus=0.20 ILlimit_minus=-0.05  R=22.9% G=68.8% B=8.3%
1:  021  021  022
2:  021  022  022
3:  022  023  022
4:  024  023  023
5:  024  024  023
6:  025  024  025
7:  025  025  026
8:  025  026  025
9:  027  026  027
10:  027  027  026
11:  028  027  028
12:  028  028  029
13:  028  029  028
14:  030  029  030
15:  030  030  029
16:  031  030  031
17:  031  031  031
18:  031  032  031
19:  032  032  032
20:  032  033  032
21:  033  033  034
22:  033  034  033
23:  034  034  035
24:  034  035  034
25:  036  035  035
26:  035  036  036
27:  037  036  037
28:  037  037  036
29:  038  037  038
30:  038  038  038
31:  038  039  038
32:  039  039  040
33:  039  040  039
34:  041  040  040
35:  040  041  040
36:  042  041  042
37:  041  042  042
38:  043  042  043
39:  042  043  043
40:  044  043  044
41:  044  044  043
42:  045  044  045
43:  045  045  044
44:  046  045  046
45:  046  046  045
46:  047  046  047
47:  047  047  046
48:  048  047  048
49:  048  048  047
50:  049  048  049
51:  049  049  049
52:  050  049  050
53:  050  050  050
54:  050  051  050
55:  051  051  052
56:  051  052  051
57:  052  052  053
58:  052  053  052
59:  053  053  054
60:  053  054  053
61:  055  054  054
62:  054  055  054
63:  056  055  055
64:  055  056  056
65:  057  056  057
66:  056  057  057
67:  058  057  058
68:  057  058  058
69:  059  058  059
70:  059  059  058
71:  060  059  060
72:  060  060  059
73:  061  060  061
74:  061  061  061
75:  061  062  061
76:  062  062  063
77:  062  063  062
78:  063  063  064
79:  063  064  063
80:  065  064  065
81:  065  065  064
82:  066  065  066
83:  066  066  067
84:  066  067  066
85:  068  067  068
86:  068  068  068
87:  068  069  068
88:  070  069  070
89:  070  070  069
90:  070  071  070
91:  072  071  071
92:  072  072  071
93:  073  072  073
94:  074  073  073
95:  074  074  073
96:  075  074  075
97:  075  075  076
98:  075  076  076
99:  077  076  077
100:  078  077  077
101:  077  078  078
102:  079  078  079
103:  080  079  079
104:  080  080  079
105:  080  081  080
106:  082  081  081
107:  081  082  082
108:  083  082  083
109:  083  083  083
110:  083  084  083
111:  085  084  084
112:  085  085  086
113:  085  086  086
114:  087  086  087
115:  087  087  088
116:  087  088  088
117:  088  089  088
118:  090  089  090
119:  090  090  090
120:  090  091  091
121:  091  092  091
122:  093  092  093
123:  093  093  094
124:  094  094  093
125:  094  095  094
126:  096  095  096
127:  097  096  096
128:  097  097  097
129:  097  098  097
130:  099  098  099
131:  100  099  100
132:  100  100  101
133:  101  101  100
134:  101  102  102
135:  102  103  102
136:  103  104  103
137:  105  104  105
138:  106  105  105
139:  106  106  107
140:  107  107  106
141:  107  108  108
142:  108  109  109
143:  109  110  110
144:  110  111  110
145:  111  112  112
146:  112  113  112
147:  113  114  113
148:  114  115  114
149:  115  116  116
150:  116  117  116
151:  117  118  118
152:  119  119  118
153:  120  120  120
154:  121  121  122
155:  123  122  122
156:  124  123  124
157:  125  124  125
158:  125  126  125
159:  126  127  126
160:  128  127  128
161:  129  128  128
162:  129  129  130
163:  130  130  129
164:  130  131  131
165:  131  132  131
166:  133  132  133
167:  134  133  134
168:  135  134  135
169:  136  135  135
170:  137  136  136
171:  137  137  137
172:  138  138  138
173:  139  139  138
174:  140  140  139
175:  140  141  141
176:  141  142  141
177:  142  143  143
178:  143  144  144
179:  144  145  144
180:  145  146  145
181:  146  147  146
182:  147  148  147
183:  148  149  148
184:  149  150  149
185:  150  151  151
186:  151  152  151
187:  152  153  153
188:  153  154  153
189:  154  155  154
190:  155  156  155
191:  156  157  156
192:  157  158  157
193:  158  159  159
194:  159  160  159
195:  161  161  160
196:  162  162  162
197:  163  163  164
198:  165  164  164
199:  166  165  166
200:  167  166  167
201:  167  168  167
202:  169  169  168
203:  170  170  170
204:  172  171  171
205:  173  172  172
206:  173  174  173
207:  175  175  174
208:  176  176  177
209:  178  177  177
210:  178  179  178
211:  180  180  179
212:  181  181  182
213:  183  182  183
214:  183  184  184
215:  186  185  185
216:  186  187  186
217:  187  188  188
218:  189  190  189
219:  191  191  190
220:  192  192  191
221:  194  193  193
222:  194  195  194
223:  195  196  195
224:  197  197  196
225:  198  198  197
226:  200  199  200
227:  200  201  200
228:  202  202  203
229:  204  203  203
230:  204  205  204
231:  206  206  206
232:  207  208  207
233:  208  209  209
234:  210  210  211
235:  211  212  211
236:  213  213  212
237:  214  215  214
238:  216  216  216
239:  218  217  218
240:  219  219  218
241:  221  220  221
242:  222  222  223
243:  224  224  225
244:  225  226  225
245:  227  228  228
246:  229  230  230
247:  231  232  231
248:  233  234  233
249:  235  236  235
250:  237  238  237
251:  241  240  240
252:  242  243  242
253:  245  245  245
254:  247  248  248
255:  250  251  251
256:  255  255  254
