# LutGenerate 2.4 - 01/09/07 14:41:44
#  Display ID: DELL_3007WFP_FK28569QG3WA
# Ambient = 0.10   Max. Luminance = 371.00   Luminance Ratio = 350.00
#  lumResponse vers. 1.6 - 01/09/07 13:09:33
#  iLdelay=1  avgN=1  ILlimit_plus=0.20 ILlimit_minus=-0.05  R=23.1% G=68.6% B=8.3%
1:  019  019  020
2:  020  020  019
3:  020  021  021
4:  021  022  021
5:  023  022  022
6:  023  023  022
7:  023  024  023
8:  025  024  024
9:  024  025  025
10:  026  025  026
11:  026  026  026
12:  026  027  026
13:  027  027  028
14:  027  028  027
15:  029  028  029
16:  029  029  028
17:  030  029  030
18:  030  030  030
19:  030  031  030
20:  031  031  032
21:  031  032  031
22:  033  032  032
23:  032  033  032
24:  034  033  033
25:  033  034  033
26:  035  034  034
27:  034  035  035
28:  036  035  036
29:  036  036  035
30:  037  036  037
31:  037  037  036
32:  038  037  038
33:  038  038  038
34:  038  039  038
35:  039  039  040
36:  039  040  039
37:  041  040  040
38:  040  041  040
39:  042  041  041
40:  041  042  042
41:  043  042  043
42:  042  043  043
43:  044  043  044
44:  043  044  044
45:  045  044  045
46:  045  045  044
47:  046  045  046
48:  046  046  045
49:  047  046  047
50:  047  047  046
51:  048  047  048
52:  048  048  047
53:  049  048  049
54:  049  049  048
55:  050  049  050
56:  050  050  049
57:  051  050  051
58:  051  051  050
59:  052  051  052
60:  052  052  052
61:  053  052  053
62:  053  053  053
63:  053  054  053
64:  054  054  055
65:  054  055  054
66:  055  055  056
67:  055  056  055
68:  057  056  056
69:  056  057  056
70:  058  057  057
71:  057  058  057
72:  059  058  058
73:  058  059  059
74:  060  059  060
75:  059  060  060
76:  061  060  061
77:  061  061  060
78:  062  061  062
79:  062  062  061
80:  063  062  063
81:  063  063  062
82:  064  063  064
83:  064  064  065
84:  064  065  064
85:  066  065  066
86:  066  066  065
87:  066  067  066
88:  067  067  068
89:  067  068  067
90:  069  068  069
91:  069  069  069
92:  069  070  069
93:  071  070  070
94:  071  071  070
95:  071  072  071
96:  073  072  072
97:  073  073  072
98:  073  074  073
99:  075  074  074
100:  075  075  074
101:  076  075  076
102:  076  076  077
103:  076  077  076
104:  078  077  078
105:  078  078  079
106:  078  079  078
107:  080  079  079
108:  080  080  079
109:  081  080  081
110:  081  081  082
111:  081  082  081
112:  083  082  083
113:  083  083  084
114:  083  084  083
115:  085  084  085
116:  085  085  086
117:  085  086  085
118:  087  086  087
119:  087  087  087
120:  088  088  087
121:  088  089  088
122:  090  089  090
123:  090  090  091
124:  090  091  090
125:  092  091  091
126:  093  092  092
127:  093  093  094
128:  093  094  094
129:  094  095  094
130:  096  095  096
131:  096  096  096
132:  097  097  096
133:  097  098  097
134:  099  098  099
135:  100  099  099
136:  100  100  101
137:  100  101  101
138:  101  102  101
139:  102  103  102
140:  104  103  104
141:  104  104  105
142:  105  105  106
143:  106  106  106
144:  107  107  106
145:  107  108  108
146:  108  109  108
147:  109  110  109
148:  110  111  110
149:  111  112  111
150:  112  113  112
151:  113  114  113
152:  114  115  114
153:  115  116  115
154:  116  117  116
155:  117  118  117
156:  118  119  118
157:  119  120  120
158:  121  121  120
159:  122  122  121
160:  123  123  124
161:  124  124  125
162:  126  125  125
163:  127  126  126
164:  128  127  127
165:  128  128  128
166:  129  129  128
167:  129  130  129
168:  130  131  130
169:  132  131  132
170:  133  132  133
171:  134  133  133
172:  135  134  134
173:  135  135  135
174:  136  136  137
175:  137  137  136
176:  138  138  137
177:  138  139  139
178:  140  140  139
179:  140  141  141
180:  141  142  142
181:  142  143  142
182:  143  144  143
183:  144  145  144
184:  145  146  145
185:  146  147  146
186:  147  148  148
187:  148  149  148
188:  149  150  150
189:  150  151  150
190:  151  152  151
191:  152  153  153
192:  153  154  153
193:  154  155  155
194:  156  156  155
195:  157  157  156
196:  158  158  159
197:  159  159  160
198:  160  160  161
199:  162  161  162
200:  163  162  163
201:  163  164  163
202:  164  165  164
203:  165  166  166
204:  167  167  167
205:  169  168  168
206:  170  169  170
207:  170  171  170
208:  171  172  172
209:  173  173  173
210:  175  174  174
211:  175  176  175
212:  177  177  176
213:  178  178  178
214:  179  180  179
215:  180  181  180
216:  182  182  182
217:  184  183  183
218:  185  185  185
219:  187  186  187
220:  187  188  187
221:  190  189  189
222:  190  191  190
223:  192  192  192
224:  193  193  193
225:  194  195  194
226:  195  196  196
227:  196  197  197
228:  198  198  199
229:  199  200  199
230:  200  201  201
231:  202  202  203
232:  204  203  204
233:  204  205  205
234:  206  206  206
235:  207  208  207
236:  210  209  209
237:  210  211  210
238:  212  212  211
239:  213  214  213
240:  216  215  215
241:  217  217  216
242:  218  219  218
243:  220  220  221
244:  222  222  222
245:  224  224  223
246:  226  226  225
247:  228  228  227
248:  230  230  229
249:  232  232  233
250:  234  235  234
251:  237  237  236
252:  240  239  239
253:  243  242  243
254:  245  246  246
255:  248  249  249
256:  255  254  254
