# LutGenerate 2.4 - 01/09/07 14:28:54
#  Display ID: DELL_3007WFP_FK28569SG485
# Ambient = 0.10   Max. Luminance = 358.00   Luminance Ratio = 350.00
#  lumResponse vers. 1.6 - 01/09/07 14:28:13
#  iLdelay=1  avgN=1  ILlimit_plus=0.20 ILlimit_minus=-0.05  R=23.3% G=68.2% B=8.5%
1:  016  015  015
2:  016  016  015
3:  016  017  016
4:  018  017  018
5:  018  018  019
6:  018  019  019
7:  019  020  019
8:  021  020  020
9:  021  021  020
10:  021  022  021
11:  023  022  022
12:  022  023  023
13:  024  023  024
14:  024  024  024
15:  024  025  024
16:  025  025  026
17:  025  026  025
18:  027  026  026
19:  026  027  026
20:  028  027  027
21:  027  028  028
22:  029  028  029
23:  029  029  028
24:  030  029  030
25:  030  030  029
26:  031  030  031
27:  031  031  030
28:  032  031  032
29:  032  032  031
30:  033  032  033
31:  033  033  032
32:  034  033  034
33:  033  034  034
34:  035  034  035
35:  034  035  035
36:  036  035  036
37:  035  036  036
38:  037  036  037
39:  036  037  037
40:  038  037  038
41:  038  038  037
42:  039  038  039
43:  039  039  038
44:  040  039  040
45:  040  040  039
46:  041  040  041
47:  041  041  040
48:  042  041  042
49:  042  042  041
50:  043  042  043
51:  043  043  042
52:  044  043  044
53:  044  044  043
54:  045  044  045
55:  045  045  044
56:  046  045  046
57:  046  046  045
58:  047  046  047
59:  046  047  047
60:  048  047  048
61:  047  048  048
62:  049  048  049
63:  048  049  049
64:  050  049  049
65:  049  050  050
66:  051  050  050
67:  050  051  051
68:  052  051  052
69:  051  052  052
70:  053  052  053
71:  052  053  053
72:  054  053  054
73:  053  054  054
74:  055  054  055
75:  054  055  055
76:  056  055  056
77:  055  056  056
78:  057  056  057
79:  057  057  056
80:  058  057  058
81:  058  058  057
82:  059  058  059
83:  059  059  058
84:  060  059  060
85:  060  060  060
86:  060  061  060
87:  061  061  062
88:  061  062  061
89:  062  062  063
90:  062  063  062
91:  064  063  063
92:  063  064  063
93:  065  064  064
94:  065  065  064
95:  066  065  066
96:  066  066  066
97:  066  067  067
98:  068  067  068
99:  068  068  067
100:  068  069  068
101:  070  069  070
102:  070  070  069
103:  070  071  070
104:  072  071  072
105:  072  072  071
106:  072  073  072
107:  074  073  074
108:  073  074  074
109:  075  074  075
110:  075  075  074
111:  075  076  075
112:  076  076  077
113:  076  077  076
114:  078  077  078
115:  078  078  078
116:  078  079  078
117:  080  079  079
118:  080  080  079
119:  080  081  080
120:  082  081  081
121:  082  082  081
122:  082  083  082
123:  084  083  083
124:  084  084  084
125:  084  085  084
126:  086  085  086
127:  086  086  086
128:  086  087  087
129:  087  088  087
130:  089  088  088
131:  089  089  090
132:  089  090  090
133:  090  091  090
134:  092  091  091
135:  092  092  091
136:  092  093  093
137:  093  094  093
138:  095  094  095
139:  096  095  095
140:  096  096  095
141:  096  097  096
142:  097  098  097
143:  099  098  098
144:  100  099  099
145:  101  100  100
146:  101  101  101
147:  102  102  101
148:  102  103  102
149:  103  104  103
150:  104  105  104
151:  105  106  105
152:  107  106  107
153:  108  107  107
154:  109  108  109
155:  110  109  110
156:  111  110  111
157:  112  111  112
158:  113  112  113
159:  114  113  114
160:  115  114  115
161:  115  116  115
162:  116  117  116
163:  117  118  118
164:  118  119  119
165:  120  120  119
166:  121  121  121
167:  123  122  122
168:  124  123  124
169:  125  124  125
170:  125  126  125
171:  126  127  126
172:  127  128  127
173:  128  129  128
174:  130  129  130
175:  131  130  131
176:  132  131  132
177:  133  132  133
178:  134  133  133
179:  135  134  134
180:  136  135  135
181:  137  136  136
182:  138  137  137
183:  139  138  139
184:  140  139  140
185:  141  140  140
186:  142  141  141
187:  143  142  143
188:  143  144  143
189:  144  145  144
190:  145  146  145
191:  146  147  147
192:  147  148  148
193:  149  149  148
194:  150  150  149
195:  151  151  152
196:  153  152  152
197:  154  153  154
198:  155  154  155
199:  155  156  155
200:  156  157  157
201:  158  158  157
202:  159  159  160
203:  161  160  160
204:  162  161  162
205:  162  163  162
206:  164  164  163
207:  165  165  166
208:  167  166  167
209:  167  168  167
210:  169  169  168
211:  170  170  171
212:  172  172  171
213:  173  173  172
214:  175  174  175
215:  175  176  175
216:  177  177  177
217:  179  178  178
218:  179  180  179
219:  181  181  180
220:  182  183  183
221:  185  184  184
222:  185  186  185
223:  187  188  187
224:  189  189  188
225:  191  190  190
226:  191  192  192
227:  194  193  193
228:  194  195  194
229:  196  196  195
230:  198  197  198
231:  198  199  199
232:  199  200  200
233:  202  201  201
234:  202  203  202
235:  204  204  205
236:  205  206  205
237:  207  208  207
238:  209  209  208
239:  211  210  211
240:  213  212  213
241:  214  214  213
242:  216  215  216
243:  217  218  217
244:  220  219  220
245:  220  221  221
246:  223  223  223
247:  226  225  225
248:  227  228  228
249:  230  230  229
250:  233  232  233
251:  234  235  234
252:  238  237  237
253:  240  241  240
254:  244  243  244
255:  248  247  247
256:  254  254  254
