#  lumResponse - average luminance response
#  Display ID: GENERIC
#  11 files
#    80.6730 #ff0000
#   240.5450 #00ff00
#    30.2640 #0000ff
   1      0.4385  #000000    1   1 
   2      0.4385  #000001    1   2   -0.00021
   3      0.4384  #010000    1   3   -0.00021
   4      0.4384  #010001    1   4    0.00000
   5      0.4383  #000100    1   5   -0.00021
   6      0.4385  #000101    1   6    0.00062
   7      0.4386  #010100    1   7    0.00021
   8      0.4385  #010101    2   1   -0.00021
   9      0.4386  #010102    2   2    0.00021
  10      0.4385  #020101    2   3   -0.00021
  11      0.4385  #020102    2   4    0.00000
  12      0.4392  #010201    2   5    0.00145
  13      0.4390  #010202    2   6   -0.00041
  14      0.4391  #020201    2   7    0.00021
  15      0.4391  #020202    3   1    0.00000
  16      0.4395  #020203    3   2    0.00083
  17      0.4394  #030202    3   3   -0.00021
  18      0.4394  #030203    3   4    0.00000
  19      0.4402  #020302    3   5    0.00186
  20      0.4402  #020303    3   6    0.00000
  21      0.4405  #030302    3   7    0.00083
  22      0.4400  #030303    4   1   -0.00124
  23      0.4407  #030304    4   2    0.00165
  24      0.4413  #040303    4   3    0.00124
  25      0.4412  #040304    4   4   -0.00021
  26      0.4416  #030403    4   5    0.00103
  27      0.4422  #030404    4   6    0.00123
  28      0.4425  #040403    4   7    0.00062
  29      0.4428  #040404    5   1    0.00082
  30      0.4431  #040405    5   2    0.00062
  31      0.4437  #050404    5   3    0.00144
  32      0.4439  #050405    5   4    0.00041
  33      0.4454  #040504    5   5    0.00327
  34      0.4461  #040505    5   6    0.00163
  35      0.4464  #050504    5   7    0.00061
  36      0.4468  #050505    6   1    0.00102
  37      0.4470  #050506    6   2    0.00041
  38      0.4483  #060505    6   3    0.00284
  39      0.4486  #060506    6   4    0.00081
  40      0.4509  #050605    6   5    0.00505
  41      0.4514  #050606    6   6    0.00101
  42      0.4523  #060605    6   7    0.00201
  43      0.4529  #060606    7   1    0.00141
  44      0.4535  #060607    7   2    0.00120
  45      0.4547  #070606    7   3    0.00280
  46      0.4553  #070607    7   4    0.00120
  47      0.4588  #060706    7   5    0.00776
  48      0.4595  #060707    7   6    0.00139
  49      0.4610  #070706    7   7    0.00336
  50      0.4617  #070707    8   1    0.00158
  51      0.4625  #070708    8   2    0.00177
  52      0.4645  #080707    8   3    0.00431
  53      0.4654  #080708    8   4    0.00176
  54      0.4697  #070807    8   5    0.00933
  55      0.4705  #070808    8   6    0.00174
  56      0.4723  #080807    8   7    0.00366
  57      0.4732  #080808    9   1    0.00192
  58      0.4745  #080809    9   2    0.00269
  59      0.4766  #090808    9   3    0.00459
  60      0.4780  #090809    9   4    0.00286
  61      0.4835  #080908    9   5    0.01153
  62      0.4848  #080909    9   6    0.00263
  63      0.4869  #090908    9   7    0.00430
  64      0.4884  #090909   10   1    0.00298
  65      0.4902  #09090a   10   2    0.00372
  66      0.4926  #0a0909   10   3    0.00499
  67      0.4941  #0a090a   10   4    0.00295
  68      0.5007  #090a09   10   5    0.01334
  69      0.5023  #090a0a   10   6    0.00308
  70      0.5044  #0a0a09   10   7    0.00415
  71      0.5061  #0a0a0a   11   1    0.00342
  72      0.5082  #0a0a0b   11   2    0.00412
  73      0.5115  #0b0a0a   11   3    0.00660
  74      0.5135  #0b0a0b   11   4    0.00390
  75      0.5214  #0a0b0a   11   5    0.01511
  76      0.5231  #0a0b0b   11   6    0.00331
  77      0.5265  #0b0b0a   11   7    0.00658
  78      0.5282  #0b0b0b   12   1    0.00310
  79      0.5305  #0b0b0c   12   2    0.00429
  80      0.5343  #0c0b0b   12   3    0.00717
  81      0.5362  #0c0b0c   12   4    0.00357
  82      0.5459  #0b0c0b   12   5    0.01798
  83      0.5480  #0b0c0c   12   6    0.00382
  84      0.5520  #0c0c0b   12   7    0.00727
  85      0.5543  #0c0c0c   13   1    0.00411
  86      0.5566  #0c0c0d   13   2    0.00426
  87      0.5613  #0d0c0c   13   3    0.00829
  88      0.5636  #0d0c0d   13   4    0.00420
  89      0.5751  #0c0d0c   13   5    0.02012
  90      0.5775  #0c0d0d   13   6    0.00426
  91      0.5821  #0d0d0c   13   7    0.00784
  92      0.5845  #0d0d0d   14   1    0.00421
  93      0.5875  #0d0d0e   14   2    0.00496
  94      0.5929  #0e0d0d   14   3    0.00924
  95      0.5958  #0e0d0e   14   4    0.00489
  96      0.6089  #0d0e0d   14   5    0.02173
  97      0.6121  #0d0e0e   14   6    0.00521
  98      0.6174  #0e0e0d   14   7    0.00858
  99      0.6206  #0e0e0e   15   1    0.00529
 100      0.6240  #0e0e0f   15   2    0.00541
 101      0.6305  #0f0e0e   15   3    0.01029
 102      0.6338  #0f0e0f   15   4    0.00532
 103      0.6496  #0e0f0e   15   5    0.02465
 104      0.6534  #0e0f0f   15   6    0.00572
 105      0.6596  #0f0f0e   15   7    0.00955
 106      0.6635  #0f0f0f   16   1    0.00591
 107      0.6677  #0f0f10   16   2    0.00628
 108      0.6753  #100f0f   16   3    0.01124
 109      0.6796  #100f10   16   4    0.00644
 110      0.6983  #0f100f   16   5    0.02705
 111      0.7027  #0f1010   16   6    0.00636
 112      0.7102  #10100f   16   7    0.01055
 113      0.7145  #101010   17   1    0.00613
 114      0.7193  #101011   17   2    0.00659
 115      0.7276  #111010   17   3    0.01156
 116      0.7324  #111011   17   4    0.00648
 117      0.7530  #101110   17   5    0.02779
 118      0.7577  #101111   17   6    0.00626
 119      0.7661  #111110   17   7    0.01098
 120      0.7708  #111111   18   1    0.00615
 121      0.7757  #111112   18   2    0.00635
 122      0.7845  #121111   18   3    0.01119
 123      0.7891  #121112   18   4    0.00589
 124      0.8110  #111211   18   5    0.02738
 125      0.8161  #111212   18   6    0.00626
 126      0.8251  #121211   18   7    0.01097
 127      0.8299  #121212   19   1    0.00582
 128      0.8351  #121213   19   2    0.00622
 129      0.8439  #131212   19   3    0.01050
 130      0.8492  #131213   19   4    0.00623
 131      0.8717  #121312   19   5    0.02620
 132      0.8769  #121313   19   6    0.00593
 133      0.8857  #131312   19   7    0.01001
 134      0.8909  #131313   20   1    0.00583
 135      0.8965  #131314   20   2    0.00621
 136      0.9060  #141313   20   3    0.01059
 137      0.9115  #141314   20   4    0.00600
 138      0.9353  #131413   20   5    0.02580
 139      0.9407  #131414   20   6    0.00582
 140      0.9504  #141413   20   7    0.01019
