# luminance for red (#ff0000), green (#00ff00) and blue (#0000ff)
# 11 files
#   r2g      b2g       Lmin      Lmax      red       grn       blu    FILE
# 0.33538  0.12581     0.439   358.273    80.673   240.545    30.264  Average
  0.33817  0.12407     0.424   358.000    81.500   241.000    29.900  uLR_DELL_3007WFP_FK28569QG3OC.txt
  0.31320  0.12800     0.456   371.000    78.300   250.000    32.000  uLR_DELL_3007WFP_FK28569QG3ON.txt
  0.32982  0.12588     0.450   349.000    75.200   228.000    28.700  uLR_DELL_3007WFP_FK28569QG3UF.txt
  0.33557  0.12964     0.431   388.000    84.900   253.000    32.800  uLR_DELL_3007WFP_FK28569QG3VN.txt
  0.33614  0.12088     0.449   371.000    83.700   249.000    30.100  uLR_DELL_3007WFP_FK28569QG3WA.txt
  0.34221  0.12500     0.452   359.000    83.500   244.000    30.500  uLR_DELL_3007WFP_FK28569QG3WV.txt
  0.34383  0.12596     0.432   345.000    80.800   235.000    29.600  uLR_DELL_3007WFP_FK28569QG3WX.txt
  0.33266  0.12339     0.434   356.000    82.500   248.000    30.600  uLR_DELL_3007WFP_FK28569QG3YK.txt
  0.33826  0.12739     0.431   351.000    77.800   230.000    29.300  uLR_DELL_3007WFP_FK28569QG3Z1.txt
  0.33362  0.12894     0.435   344.000    78.400   235.000    30.300  uLR_DELL_3007WFP_FK28569QG3Z3.txt
  0.34678  0.12489     0.430   349.000    80.800   233.000    29.100  uLR_DELL_3007WFP_FK28569SG3ZX.txt
