# LutGenerate 2.4 - 12/16/09 16:33:51 - #  Display ID: GENERIC
# Ambient = 0.10   Max. Luminance = 193.4260   Luminance Ratio = 350.00
#  lumResponse - average luminance response
#  2 files
 DV    R    G    B     target Lum+Lamb   uLR Lum+Lamb
  1:  018  018  018           0.553      0.553
  2:  019  020  019           0.588      0.593
  3:  021  020  020           0.625      0.626
  4:  021  021  020           0.662      0.661
  5:  021  022  021           0.701      0.703
  6:  023  022  023           0.742      0.733
  7:  023  023  024           0.784      0.780
  8:  024  024  023           0.827      0.829
  9:  025  025  025           0.872      0.874
 10:  025  026  025           0.918      0.933
 11:  026  026  026           0.965      0.962
 12:  026  027  026           1.014      1.020
 13:  028  027  028           1.065      1.062
 14:  028  028  029           1.117      1.107
 15:  028  029  028           1.170      1.173
 16:  030  029  030           1.226      1.231
 17:  029  030  029           1.282      1.287
 18:  031  030  031           1.341      1.337
 19:  031  031  032           1.401      1.392
 20:  031  032  031           1.463      1.470
 21:  032  032  033           1.526      1.526
 22:  032  033  032           1.591      1.608
 23:  033  033  033           1.658      1.655
 24:  034  033  033           1.726      1.702
 25:  034  034  033           1.797      1.794
 26:  035  034  035           1.869      1.872
 27:  034  035  035           1.943      1.938
 28:  036  035  035           2.019      2.015
 29:  035  036  036           2.096      2.098
 30:  038  037  037           2.176      2.169
 31:  037  038  038           2.257      2.262
 32:  039  038  039           2.341      2.339
 33:  039  039  038           2.426      2.425
 34:  040  039  040           2.514      2.486
 35:  040  040  040           2.603      2.603
 36:  040  041  040           2.695      2.700
 37:  042  041  041           2.789      2.787
 38:  042  042  041           2.885      2.888
 39:  042  043  042           2.982      2.964
 40:  043  044  043           3.083      3.114
 41:  045  044  044           3.185      3.191
 42:  044  045  045           3.290      3.283
 43:  045  046  046           3.396      3.399
 44:  047  046  047           3.506      3.480
 45:  047  047  047           3.617      3.611
 46:  047  048  047           3.731      3.753
 47:  049  048  049           3.847      3.856
 48:  050  049  049           3.966      3.969
 49:  049  050  050           4.087      4.085
 50:  051  050  051           4.211      4.172
 51:  051  051  052           4.337      4.335
 52:  051  052  051           4.465      4.464
 53:  053  052  053           4.597      4.601
 54:  053  053  052           4.730      4.744
 55:  054  053  054           4.867      4.843
 56:  054  054  055           5.006      5.009
 57:  055  056  055           5.148      5.188
 58:  056  056  057           5.293      5.289
 59:  056  057  056           5.441      5.436
 60:  058  057  057           5.591      5.584
 61:  057  058  058           5.744      5.732
 62:  059  058  059           5.901      5.840
 63:  059  059  060           6.060      6.049
 64:  059  060  059           6.222      6.211
 65:  060  061  061           6.387      6.391
 66:  062  061  062           6.555      6.539
 67:  062  062  062           6.727      6.734
 68:  062  063  062           6.901      6.936
 69:  064  063  063           7.079      7.095
 70:  063  064  064           7.260      7.261
 71:  064  065  065           7.444      7.450
 72:  066  065  066           7.632      7.559
 73:  067  066  067           7.823      7.843
 74:  068  067  067           8.017      8.029
 75:  067  068  068           8.215      8.213
 76:  069  068  069           8.417      8.382
 77:  069  069  069           8.621      8.608
 78:  069  070  069           8.830      8.843
 79:  071  070  071           9.042      9.047
 80:  071  071  070           9.258      9.261
 81:  072  071  072           9.478      9.406
 82:  072  072  072           9.701      9.686
 83:  074  073  073           9.928      9.922
 84:  075  074  074          10.160     10.176
 85:  074  075  075          10.395     10.387
 86:  076  075  076          10.634     10.620
 87:  076  076  075          10.877     10.869
 88:  077  076  077          11.124     11.059
 89:  077  077  077          11.376     11.365
 90:  077  078  077          11.631     11.708
 91:  078  078  078          11.891     11.858
 92:  079  079  078          12.156     12.140
 93:  079  080  079          12.424     12.468
 94:  081  080  080          12.697     12.682
 95:  080  081  081          12.975     12.961
 96:  082  081  082          13.257     13.264
 97:  082  082  081          13.544     13.572
 98:  082  083  082          13.836     13.809
 99:  084  083  084          14.132     14.083
100:  084  084  083          14.433     14.419
101:  085  085  084          14.739     14.784
102:  086  085  086          15.050     14.982
103:  086  086  086          15.365     15.377
104:  086  087  086          15.686     15.764
105:  087  087  088          16.012     16.023
106:  087  088  087          16.344     16.377
107:  089  088  089          16.680     16.701
108:  088  089  089          17.022     16.997
109:  090  089  090          17.369     17.345
110:  090  090  089          17.722     17.733
111:  090  091  090          18.080     18.027
112:  091  092  092          18.444     18.454
113:  093  092  093          18.814     18.732
114:  093  093  093          19.189     19.208
115:  093  094  093          19.570     19.687
116:  094  094  095          19.958     19.965
117:  094  095  094          20.351     20.397
118:  096  095  096          20.750     20.769
119:  096  096  095          21.155     21.180
120:  096  097  096          21.567     21.497
121:  098  097  098          21.985     21.882
122:  098  098  099          22.410     22.447
123:  098  099  098          22.840     22.884
124:  100  099  099          23.278     23.285
125:  099  100  100          23.722     23.690
126:  101  101  100          24.173     24.188
127:  101  102  101          24.631     24.780
128:  103  102  103          25.095     25.099
129:  104  103  103          25.567     25.549
130:  104  104  103          26.046     26.045
131:  104  105  104          26.532     26.667
132:  105  105  106          27.025     26.984
133:  105  106  106          27.526     27.527
134:  107  106  107          28.034     27.950
135:  107  107  108          28.550     28.571
136:  107  108  107          29.073     29.049
137:  109  108  109          29.604     29.450
138:  110  110  111          30.143     30.168
139:  110  111  111          30.690     30.730
140:  112  111  112          31.246     31.179
141:  112  112  113          31.809     31.814
142:  112  113  113          32.381     32.371
143:  114  113  114          32.961     32.822
144:  115  114  114          33.550     33.583
145:  115  115  114          34.147     34.146
146:  116  116  116          34.753     34.746
147:  116  117  116          35.368     35.346
148:  118  117  118          35.992     35.851
149:  119  118  119          36.625     36.639
150:  120  119  120          37.267     37.213
151:  120  120  121          37.919     37.892
152:  121  121  120          38.580     38.596
153:  122  122  123          39.251     39.254
154:  123  123  122          39.931     39.973
155:  123  124  123          40.621     40.651
156:  124  125  124          41.321     41.444
157:  126  125  126          42.032     42.014
158:  126  126  127          42.752     42.718
159:  127  127  128          43.483     43.520
160:  129  128  129          44.224     44.252
161:  130  129  130          44.976     44.872
162:  131  130  131          45.739     45.700
163:  132  131  131          46.513     46.517
164:  132  132  133          47.298     47.308
165:  133  133  133          48.094     48.133
166:  135  134  135          48.901     48.907
167:  136  135  135          49.720     49.720
168:  136  136  137          50.550     50.517
169:  138  137  138          51.393     51.405
170:  138  139  138          52.247     52.318
171:  140  140  139          53.113     53.154
172:  141  141  140          53.992     54.019
173:  141  142  142          54.883     54.868
174:  142  143  143          55.786     55.810
175:  143  144  143          56.703     56.679
176:  144  145  144          57.632     57.672
177:  147  146  146          58.574     58.567
178:  147  148  147          59.530     59.662
179:  148  149  148          60.499     60.665
180:  150  149  150          61.481     61.348
181:  151  150  151          62.478     62.441
182:  152  151  151          63.488     63.453
183:  152  153  152          64.513     64.579
184:  153  154  153          65.552     65.564
185:  154  155  154          66.605     66.724
186:  156  156  156          67.673     67.713
187:  157  157  156          68.756     68.764
188:  159  158  158          69.854     69.819
189:  160  159  160          70.967     71.008
190:  161  160  160          72.096     72.088
191:  162  161  161          73.240     73.298
192:  162  162  163          74.401     74.355
193:  163  163  164          75.577     75.484
194:  165  165  164          76.770     76.721
195:  166  166  165          77.979     77.972
196:  167  167  166          79.205     79.262
197:  168  168  167          80.448     80.407
198:  169  169  168          81.708     81.730
199:  171  170  171          82.986     83.028
200:  172  171  171          84.281     84.233
201:  173  172  172          85.594     85.569
202:  174  173  174          86.925     86.902
203:  174  175  174          88.274     88.272
204:  177  176  176          89.642     89.679
205:  178  177  177          91.029     91.099
206:  179  178  178          92.434     92.528
207:  180  179  179          93.859     93.939
208:  181  180  180          95.304     95.299
209:  181  182  181          96.768     96.932
210:  184  183  184          98.253     98.285
211:  185  184  185          99.757     99.739
212:  186  185  186         101.283    101.217
213:  187  186  187         102.829    102.664
214:  188  188  187         104.396    104.444
215:  189  189  190         105.984    105.916
216:  191  190  190         107.595    107.595
217:  192  191  192         109.227    109.200
218:  193  193  192         110.881    110.897
219:  195  194  195         112.558    112.345
220:  195  196  195         114.258    114.369
221:  196  197  197         115.981    116.037
222:  198  198  198         117.727    117.675
223:  200  199  200         119.497    119.527
224:  201  201  200         121.291    121.375
225:  203  202  203         123.109    122.875
226:  203  204  203         124.952    124.918
227:  205  205  206         126.820    126.862
228:  206  207  207         128.713    128.724
229:  208  208  208         130.632    130.592
230:  210  209  210         132.577    132.620
231:  212  211  211         134.548    134.601
232:  213  213  213         136.545    136.619
233:  215  214  215         138.570    138.476
234:  215  216  216         140.622    140.666
235:  218  217  218         142.702    142.751
236:  220  219  220         144.809    144.840
237:  221  221  222         146.945    146.973
238:  223  222  223         149.110    148.875
239:  224  224  223         151.304    151.290
240:  225  226  226         153.528    153.571
241:  228  227  228         155.781    155.836
242:  230  229  229         158.065    158.004
243:  231  231  232         160.380    160.263
244:  232  233  232         162.725    162.924
245:  235  234  234         165.102    165.188
246:  235  236  235         167.511    167.456
247:  238  238  238         169.953    169.858
248:  239  240  239         172.427    172.709
249:  242  241  241         174.934    175.005
250:  244  243  243         177.475    177.539
251:  244  245  245         180.049    180.015
252:  246  247  247         182.659    182.617
253:  249  249  250         185.303    185.265
254:  251  251  250         187.983    188.055
255:  252  253  252         190.698    190.863
256:  254  255  255         193.426    193.395
