# LutGenerate 2.4 - 10/29/09 11:13:18 - #  Display ID: GENERIC
# Ambient = 0.15   Max. Luminance = 279.4575   Luminance Ratio = 350.00
#  lumResponse - average luminance response
#  8 files
 DV    R    G    B     target Lum+Lamb   uLR Lum+Lamb
  1:  017  016  016           0.798      0.799
  2:  018  017  018           0.846      0.867
  3:  016  017  016           0.895      0.891
  4:  019  018  018           0.945      0.953
  5:  017  018  018           0.997      0.967
  6:  020  019  020           1.051      1.051
  7:  021  020  021           1.107      1.145
  8:  020  020  021           1.165      1.164
  9:  020  021  021           1.224      1.188
 10:  022  022  022           1.285      1.289
 11:  023  022  023           1.348      1.398
 12:  024  023  023           1.413      1.417
 13:  022  023  022           1.480      1.446
 14:  025  024  025           1.549      1.566
 15:  024  024  023           1.620      1.617
 16:  026  025  025           1.692      1.744
 17:  024  025  025           1.767      1.769
 18:  027  026  027           1.844      1.912
 19:  027  026  026           1.923      1.934
 20:  026  026  026           2.005      1.967
 21:  028  027  028           2.088      2.126
 22:  027  027  028           2.174      2.160
 23:  027  028  027           2.261      2.191
 24:  029  028  028           2.352      2.351
 25:  028  028  029           2.444      2.384
 26:  030  029  030           2.539      2.541
 27:  030  030  030           2.636      2.578
 28:  032  031  032           2.735      2.745
 29:  031  031  031           2.837      2.801
 30:  033  032  032           2.942      2.951
 31:  031  032  032           3.049      2.982
 32:  034  033  033           3.158      3.162
 33:  033  033  033           3.271      3.192
 34:  035  034  034           3.385      3.390
 35:  034  034  034           3.503      3.421
 36:  035  036  036           3.623      3.626
 37:  037  036  037           3.746      3.805
 38:  036  037  036           3.871      3.865
 39:  039  038  039           4.000      4.056
 40:  037  038  037           4.131      4.126
 41:  040  039  039           4.265      4.313
 42:  038  039  039           4.402      4.347
 43:  041  040  041           4.543      4.542
 44:  040  040  040           4.686      4.617
 45:  042  041  042           4.832      4.832
 46:  041  042  042           4.981      4.860
 47:  043  042  043           5.134      5.140
 48:  044  043  044           5.290      5.395
 49:  043  044  044           5.449      5.438
 50:  046  045  045           5.611      5.715
 51:  045  045  046           5.777      5.761
 52:  047  046  046           5.946      6.053
 53:  045  046  046           6.118      6.103
 54:  048  047  048           6.294      6.355
 55:  047  047  047           6.474      6.442
 56:  049  048  048           6.657      6.703
 57:  048  048  049           6.843      6.749
 58:  050  049  049           7.034      7.082
 59:  049  050  050           7.228      7.127
 60:  052  051  051           7.426      7.445
 61:  050  051  050           7.628      7.502
 62:  052  052  053           7.834      7.834
 63:  054  053  053           8.044      8.193
 64:  052  053  053           8.257      8.245
 65:  055  054  055           8.475      8.548
 66:  054  054  053           8.697      8.649
 67:  056  055  055           8.923      8.957
 68:  055  056  056           9.154      9.013
 69:  057  056  056           9.389      9.405
 70:  056  056  057           9.628      9.467
 71:  057  057  058           9.871      9.856
 72:  060  059  059          10.120     10.245
 73:  058  059  059          10.372     10.310
 74:  061  060  061          10.630     10.657
 75:  059  060  059          10.892     10.787
 76:  062  061  062          11.158     11.163
 77:  061  061  061          11.430     11.332
 78:  063  062  062          11.707     11.725
 79:  062  062  063          11.988     11.802
 80:  064  063  063          12.275     12.300
 81:  064  064  064          12.566     12.385
 82:  065  064  065          12.863     12.863
 83:  065  065  065          13.166     13.030
 84:  067  066  066          13.473     13.484
 85:  065  066  066          13.786     13.571
 86:  068  067  067          14.104     14.126
 87:  066  067  066          14.428     14.229
 88:  069  068  069          14.758     14.746
 89:  068  068  068          15.093     14.923
 90:  070  069  069          15.435     15.441
 91:  069  069  070          15.782     15.538
 92:  071  071  070          16.135     16.153
 93:  070  070  070          16.494     16.266
 94:  072  071  072          16.859     16.859
 95:  071  072  071          17.231     17.042
