# LutGenerate 2.4 - 01/01/09 16:24:04 - #  Display ID: PX191_426F0221K0184
# Ambient = 0.10   Max. Luminance = 263.500   Luminance Ratio = 350.00
#  lumResponse vers. 1.8 - 01/01/09 15:32:06
#  iLdelay=1  avgN=1  ILlimit_plus=0.20 ILlimit_minus=-0.05  R=24.6% G=65.8% B=9.5%
 DV    R    G    B     target Lum+Lamb   uLR Lum+Lamb
  1:  023  024  023           0.753      0.757
  2:  025  025  026           0.798      0.800
  3:  027  026  027           0.845      0.843
  4:  027  028  028           0.893      0.897
  5:  029  029  028           0.943      0.944
  6:  030  030  029           0.994      0.992
  7:  031  031  030           1.048      1.043
  8:  031  032  032           1.103      1.102
  9:  033  033  032           1.159      1.152
 10:  034  034  034           1.218      1.215
 11:  034  035  035           1.278      1.278
 12:  036  036  036           1.340      1.343
 13:  037  037  037           1.404      1.399
 14:  038  038  037           1.470      1.468
 15:  038  039  039           1.538      1.544
 16:  039  040  039           1.607      1.604
 17:  040  041  041           1.679      1.693
 18:  042  041  042           1.753      1.753
 19:  042  042  043           1.828      1.825
 20:  043  043  042           1.906      1.906
 21:  043  044  043           1.986      1.989
 22:  045  044  045           2.068      2.065
 23:  045  045  045           2.152      2.150
 24:  045  046  046           2.238      2.239
 25:  047  046  047           2.327      2.308
 26:  048  047  047           2.417      2.417
 27:  048  048  047           2.510      2.516
 28:  049  048  049           2.606      2.579
 29:  050  049  049           2.703      2.704
 30:  050  050  049           2.803      2.811
 31:  050  051  050           2.906      2.912
 32:  052  051  051           3.011      3.016
 33:  052  052  052           3.118      3.129
 34:  052  053  052           3.228      3.259
 35:  054  053  053           3.341      3.339
 36:  054  054  053           3.456      3.445
 37:  054  055  054           3.573      3.580
 38:  056  055  055           3.694      3.695
 39:  056  056  055           3.817      3.818
 40:  057  056  057           3.942      3.914
 41:  057  057  058           4.071      4.069
 42:  057  058  058           4.202      4.205
 43:  059  058  059           4.337      4.316
 44:  059  059  059           4.474      4.464
 45:  059  060  059           4.614      4.607
 46:  061  060  061           4.757      4.751
 47:  061  061  061           4.903      4.898
 48:  061  062  061           5.052      5.051
 49:  063  062  063           5.204      5.197
 50:  063  063  063           5.360      5.351
 51:  063  064  064           5.518      5.532
 52:  065  064  065           5.680      5.689
 53:  065  065  064           5.845      5.854
 54:  066  065  066           6.014      5.993
 55:  066  066  066           6.186      6.194
 56:  066  067  066           6.361      6.410
 57:  067  067  068           6.540      6.546
 58:  067  068  067           6.722      6.733
 59:  069  068  068           6.908      6.908
 60:  068  069  069           7.097      7.100
 61:  070  069  070           7.291      7.295
