# LutGenerate 2.4 - 01/01/09 16:25:01 - #  Display ID: PX212M_422S0221K0084
# Ambient = 0.10   Max. Luminance = 202.370   Luminance Ratio = 350.00
#  lumResponse vers. 1.8 - 01/01/09 16:17:04
#  iLdelay=1  avgN=1  ILlimit_plus=0.20 ILlimit_minus=-0.05  R=22.5% G=67.9% B=9.6%
 DV    R    G    B     target Lum+Lamb   uLR Lum+Lamb
  1:  018  018  017           0.578      0.577
  2:  020  019  020           0.615      0.615
  3:  021  021  020           0.653      0.660
  4:  021  022  022           0.692      0.694
  5:  022  023  022           0.732      0.733
  6:  024  024  023           0.774      0.775
  7:  025  025  025           0.818      0.813
  8:  026  025  026           0.862      0.869
  9:  027  027  026           0.909      0.913
 10:  027  028  028           0.956      0.962
 11:  028  028  028           1.006      0.988
 12:  030  029  029           1.056      1.057
 13:  031  030  030           1.109      1.110
 14:  031  031  030           1.163      1.161
 15:  031  032  032           1.218      1.221
 16:  032  033  032           1.275      1.286
 17:  033  034  033           1.334      1.343
 18:  035  034  034           1.394      1.397
 19:  034  035  035           1.456      1.456
 20:  036  035  036           1.520      1.520
 21:  037  036  036           1.586      1.580
 22:  037  037  036           1.653      1.660
 23:  037  038  038           1.722      1.734
 24:  038  038  038           1.793      1.779
 25:  039  039  040           1.866      1.856
 26:  039  040  040           1.940      1.935
 27:  040  040  041           2.017      1.990
 28:  041  041  042           2.095      2.109
 29:  042  041  042           2.176      2.176
 30:  042  042  042           2.258      2.260
 31:  043  043  042           2.342      2.344
 32:  043  044  043           2.429      2.434
 33:  044  044  043           2.517      2.507
 34:  045  045  044           2.608      2.636
 35:  046  045  045           2.700      2.711
 36:  046  046  045           2.795      2.817
 37:  047  046  046           2.892      2.853
 38:  047  047  048           2.991      2.981
 39:  047  048  048           3.092      3.093
 40:  049  048  049           3.196      3.166
 41:  049  049  049           3.301      3.296
 42:  050  049  049           3.410      3.393
 43:  050  050  049           3.520      3.526
 44:  051  050  051           3.633      3.582
 45:  051  051  052           3.748      3.757
 46:  052  051  052           3.866      3.867
 47:  052  052  052           3.986      4.008
 48:  052  053  053           4.109      4.155
 49:  053  053  054           4.234      4.218
 50:  053  054  054           4.362      4.376
 51:  055  054  054           4.492      4.477
 52:  055  055  054           4.625      4.626
 53:  055  056  055           4.761      4.775
 54:  056  056  055           4.900      4.884
 55:  057  057  056           5.041      5.094
 56:  057  057  058           5.185      5.182
 57:  057  058  058           5.332      5.337
 58:  059  058  058           5.482      5.478
 59:  058  059  058           5.634      5.643
 60:  060  059  059           5.790      5.793
 61:  060  060  059           5.948      5.973
 62:  061  060  060           6.110      6.047
 63:  061  061  062           6.275      6.304
 64:  061  062  061           6.443      6.440
 65:  062  062  062           6.613      6.631
 66:  062  063  063           6.788      6.829
 67:  064  063  063           6.965      6.993
 68:  064  064  063           7.146      7.157
 69:  065  064  065           7.330      7.228
 70:  065  065  066           7.517      7.534
 71:  066  065  066           7.708      7.693
 72:  067  066  066           7.902      7.911
 73:  066  067  067           8.099      8.129
 74:  068  067  067           8.301      8.301
 75:  068  068  067           8.506      8.514
 76:  068  069  068           8.714      8.826
 77:  069  069  070           8.926      8.903
 78:  069  070  070           9.142      9.153
 79:  071  070  070           9.362      9.324
 80:  071  071  071           9.585      9.588
 81:  071  072  071           9.813      9.828
 82:  072  072  073          10.044     10.079
 83:  072  073  073          10.280     10.332
 84:  074  073  073          10.519     10.515
 85:  074  074  073          10.763     10.768
 86:  074  075  074          11.010     11.104
 87:  076  075  075          11.262     11.302
 88:  076  076  075          11.519     11.559
 89:  077  076  076          11.779     11.667
 90:  077  077  078          12.044     12.016
 91:  077  078  078          12.313     12.293
 92:  079  078  078          12.587     12.487
 93:  079  079  080          12.866     12.832
 94:  080  080  079          13.149     13.186
 95:  080  081  080          13.437     13.573
 96:  081  081  082          13.729     13.695
 97:  081  082  082          14.027     13.982
 98:  082  082  082          14.329     14.194
 99:  084  083  083          14.636     14.686
100:  084  084  083          14.948     14.964
101:  084  085  085          15.265     15.380
102:  086  085  085          15.588     15.594
103:  086  086  085          15.915     15.908
104:  087  087  086          16.248     16.301
105:  087  088  087          16.586     16.614
106:  089  088  089          16.930     16.932
107:  089  089  089          17.279     17.280
108:  089  090  089          17.634     17.637
109:  090  090  091          17.994     17.997
110:  090  091  090          18.360     18.349
111:  092  091  092          18.732     18.710
112:  093  092  093          19.110     19.055
113:  093  093  094          19.493     19.526
114:  093  094  094          19.883     19.885
115:  094  094  095          20.279     20.139
116:  096  095  095          20.681     20.711
117:  096  096  095          21.089     21.063
118:  097  097  097          21.504     21.535
119:  098  097  098          21.925     21.929
120:  098  098  099          22.352     22.286
121:  099  099  100          22.786     22.768
122:  100  100  099          23.227     23.279
123:  101  101  101          23.675     23.769
124:  101  102  101          24.129     24.143
125:  102  102  103          24.591     24.545
126:  103  103  104          25.059     25.047
127:  104  104  103          25.535     25.545
128:  104  105  105          26.018     26.046
129:  106  105  106          26.508     26.489
130:  106  106  107          27.006     26.886
131:  108  107  107          27.511     27.572
132:  108  108  108          28.024     28.081
133:  108  109  108          28.544     28.522
134:  109  110  110          29.073     29.090
135:  110  111  110          29.609     29.827
136:  112  111  111          30.153     30.118
137:  112  112  112          30.706     30.672
138:  113  113  114          31.267     31.238
139:  114  114  113          31.836     31.829
140:  115  115  115          32.413     32.378
141:  115  116  116          33.000     32.927
142:  116  117  117          33.595     33.667
143:  117  118  118          34.198     34.235
144:  119  119  118          34.811     34.979
145:  120  119  120          35.433     35.416
146:  120  120  121          36.064     35.894
147:  122  121  121          36.704     36.758
148:  123  122  122          37.353     37.353
149:  123  123  124          38.012     37.963
150:  124  124  124          38.681     38.727
151:  125  125  126          39.360     39.356
152:  126  126  125          40.048     40.010
153:  127  127  128          40.747     40.767
154:  128  128  127          41.456     41.415
155:  129  129  130          42.175     42.197
156:  130  130  129          42.904     42.860
157:  131  131  132          43.644     43.650
158:  132  132  133          44.395     44.459
159:  133  133  134          45.157     45.177
160:  134  134  133          45.930     45.876
161:  135  135  136          46.714     46.646
162:  137  136  136          47.509     47.469
163:  138  137  137          48.315     48.319
164:  139  138  138          49.134     48.993
165:  139  140  139          49.964     49.974
166:  141  141  140          50.806     51.012
167:  141  142  142          51.660     51.688
168:  143  143  143          52.526     52.553
169:  144  144  143          53.404     53.433
170:  144  145  145          54.296     54.266
171:  146  146  145          55.199     55.211
172:  147  147  148          56.116     56.120
173:  148  148  149          57.046     57.044
174:  150  149  149          57.989     58.036
175:  151  150  151          58.946     58.799
176:  152  151  152          59.916     59.965
177:  153  153  152          60.899     61.108
178:  153  154  154          61.897     61.895
179:  154  155  155          62.909     62.963
180:  156  156  155          63.935     63.996
