# LutGenerate 2.4 - 12/08/08 13:56:28 - #  Display ID: SHARP_LC65D64U_NA
# Ambient = 0.25   Max. Luminance = 415.390   Luminance Ratio = 350.00
#  lumResponse vers. 1.8 - 12/08/08 13:53:35
#  iLdelay=1  avgN=1  ILlimit_plus=0.20 ILlimit_minus=-0.05  R=18.6% G=68.0% B=13.4%
 DV    R    G    B     target Lum+Lamb   uLR Lum+Lamb
  1:  035  036  035           1.187      1.184
  2:  037  036  037           1.251      1.242
  3:  037  037  037           1.318      1.317
  4:  037  038  038           1.387      1.386
  5:  039  039  038           1.458      1.451
  6:  039  040  039           1.531      1.558
  7:  041  040  040           1.607      1.608
  8:  041  041  040           1.685      1.678
  9:  042  041  042           1.766      1.748
 10:  043  042  042           1.848      1.850
 11:  043  043  043           1.934      1.942
 12:  044  043  044           2.021      2.030
 13:  044  044  045           2.112      2.120
 14:  045  044  045           2.205      2.223
 15:  045  045  045           2.300      2.292
 16:  046  046  045           2.398      2.409
 17:  047  046  046           2.499      2.497
 18:  046  047  047           2.602      2.601
 19:  048  047  048           2.709      2.681
 20:  048  048  048           2.818      2.814
 21:  049  048  049           2.930      2.922
 22:  049  049  049           3.044      3.054
 23:  050  049  050           3.162      3.167
 24:  049  050  049           3.283      3.263
 25:  050  050  051           3.407      3.423
 26:  051  051  051           3.534      3.534
 27:  052  051  052           3.664      3.652
 28:  052  052  051           3.797      3.806
 29:  053  052  052           3.933      3.953
 30:  053  053  052           4.073      4.082
 31:  053  053  054           4.216      4.228
 32:  053  054  053           4.363      4.345
 33:  053  054  054           4.513      4.513
 34:  055  054  055           4.666      4.697
 35:  054  055  054           4.823      4.796
 36:  055  055  055           4.983      4.948
 37:  056  055  056           5.148      5.196
 38:  055  056  056           5.316      5.323
 39:  057  056  056           5.487      5.510
 40:  057  056  057           5.663      5.551
 41:  056  057  056           5.842      5.825
 42:  057  057  057           6.025      5.987
 43:  058  057  058           6.213      6.231
 44:  057  058  058           6.404      6.416
 45:  059  058  059           6.600      6.628
 46:  058  059  058           6.800      6.812
 47:  059  059  060           7.004      7.016
 48:  059  060  059           7.212      7.258
 49:  060  060  060           7.425      7.476
 50:  061  060  060           7.642      7.634
 51:  060  061  060           7.864      7.907
 52:  061  061  060           8.090      8.087
 53:  062  061  061           8.321      8.428
 54:  062  061  062           8.557      8.575
 55:  061  062  061           8.797      8.738
 56:  062  062  062           9.043      9.041
 57:  062  062  063           9.293      9.325
 58:  062  063  062           9.549      9.538
 59:  062  063  063           9.809      9.929
 60:  063  063  064          10.075     10.101
 61:  063  064  063          10.346     10.410
 62:  063  064  064          10.622     10.539
 63:  064  064  064          10.904     10.724
 64:  065  064  064          11.192     11.123
 65:  064  065  064          11.485     11.471
 66:  064  065  065          11.783     11.915
 67:  065  065  066          12.088     12.079
 68:  066  065  066          12.398     12.405
 69:  065  066  065          12.714     12.693
 70:  066  066  066          13.037     12.933
 71:  067  066  067          13.365     13.354
 72:  066  067  067          13.700     13.674
 73:  067  067  066          14.041     13.929
 74:  067  067  068          14.388     14.228
 75:  068  067  068          14.742     14.681
 76:  067  068  068          15.103     15.124
 77:  068  068  068          15.470     15.371
 78:  069  068  069          15.844     15.940
 79:  068  069  068          16.225     16.371
 80:  069  069  068          16.613     16.615
 81:  070  069  069          17.009     16.895
 82:  069  070  069          17.411     17.382
 83:  069  070  070          17.821     17.996
 84:  070  070  071          18.238     18.262
 85:  071  070  070          18.663     18.598
 86:  070  071  070          19.096     19.005
 87:  071  071  072          19.536     19.549
 88:  071  072  071          19.985     19.946
 89:  072  072  071          20.441     20.494
 90:  072  072  072          20.906     20.883
 91:  073  072  073          21.379     21.338
 92:  073  073  072          21.860     21.871
 93:  074  073  074          22.350     22.264
 94:  073  074  073          22.849     22.798
 95:  075  074  074          23.356     23.361
 96:  074  075  074          23.873     23.878
 97:  075  075  074          24.398     24.443
 98:  074  075  075          24.933     24.911
 99:  076  075  075          25.477     25.514
100:  075  076  075          26.031     25.990
101:  076  076  076          26.594     26.600
102:  076  077  076          27.167     27.133
103:  077  077  076          27.750     27.754
104:  077  077  077          28.343     28.188
105:  077  078  077          28.947     29.056
106:  078  078  079          29.561     29.614
107:  079  078  079          30.185     29.937
108:  078  079  078          30.821     30.546
109:  079  079  079          31.467     31.302
110:  079  080  079          32.124     32.088
111:  079  080  080          32.792     32.805
112:  081  080  080          33.472     33.471
113:  080  081  080          34.163     34.081
114:  081  081  081          34.866     34.631
115:  082  081  082          35.582     35.439
116:  081  082  082          36.309     36.259
117:  082  082  083          37.048     36.923
118:  082  083  083          37.800     37.707
119:  083  083  084          38.565     38.517
120:  083  084  084          39.342     39.282
121:  084  084  085          40.133     39.909
122:  084  085  084          40.937     41.147
123:  085  085  086          41.754     41.832
124:  086  085  086          42.585     42.459
125:  086  086  085          43.429     43.520
126:  086  087  086          44.288     44.322
