#  lumResponse - average luminance response
#  Display ID: GENERIC
#  1 files
#    78.1690 #ff0000
#   285.1100 #00ff00
#    56.0470 #0000ff
   1      0.1330  #000000    1   1 
   2      0.1360  #000001    1   2    0.02230
   3      0.1360  #010000    1   3    0.00000
   4      0.1330  #010001    1   4   -0.02230
   5      0.1380  #000100    1   5    0.03690
   6      0.1370  #000101    1   6   -0.00727
   7      0.1400  #010100    1   7    0.02166
   8      0.1410  #010101    2   1    0.00712
   9      0.1400  #010102    2   2   -0.00712
  10      0.1350  #020101    2   3   -0.03636
  11      0.1340  #020102    2   4   -0.00743
  12      0.1300  #010201    2   5   -0.03030
  13      0.1370  #010202    2   6    0.05243
  14      0.1340  #020201    2   7   -0.02214
  15      0.1530  #020202    3   1    0.13240
  16      0.1390  #020203    3   2   -0.09589
  17      0.1400  #030202    3   3    0.00717
  18      0.1350  #030203    3   4   -0.03636
  19      0.1370  #020302    3   5    0.01471
  20      0.1370  #020303    3   6    0.00000
  21      0.1360  #030302    3   7   -0.00733
  22      0.1400  #030303    4   1    0.02899
  23      0.1380  #030304    4   2   -0.01439
  24      0.1330  #040303    4   3   -0.03690
  25      0.1390  #040304    4   4    0.04412
  26      0.1580  #030403    4   5    0.12795
  27      0.1480  #030404    4   6   -0.06536
  28      0.1470  #040403    4   7   -0.00678
  29      0.1470  #040404    5   1    0.00000
  30      0.1390  #040405    5   2   -0.05594
  31      0.1470  #050404    5   3    0.05594
  32      0.1510  #050405    5   4    0.02685
  33      0.1530  #040504    5   5    0.01316
  34      0.1470  #040505    5   6   -0.04000
  35      0.1560  #050504    5   7    0.05941
  36      0.1480  #050505    6   1   -0.05263
  37      0.1500  #050506    6   2    0.01342
  38      0.1560  #060505    6   3    0.03922
  39      0.1600  #060506    6   4    0.02532
  40      0.1580  #050605    6   5   -0.01258
  41      0.1680  #050606    6   6    0.06135
  42      0.1570  #060605    6   7   -0.06769
  43      0.1640  #060606    7   1    0.04361
  44      0.1660  #060607    7   2    0.01212
  45      0.1660  #070606    7   3    0.00000
  46      0.1670  #070607    7   4    0.00601
  47      0.1660  #060706    7   5   -0.00601
  48      0.1680  #060707    7   6    0.01198
  49      0.1690  #070706    7   7    0.00593
  50      0.1810  #070707    8   1    0.06857
  51      0.1720  #070708    8   2   -0.05099
  52      0.1720  #080707    8   3    0.00000
  53      0.1740  #080708    8   4    0.01156
  54      0.1780  #070807    8   5    0.02273
  55      0.1780  #070808    8   6    0.00000
  56      0.1750  #080807    8   7   -0.01700
  57      0.1730  #080808    9   1   -0.01149
  58      0.1830  #080809    9   2    0.05618
  59      0.1930  #090808    9   3    0.05319
  60      0.1810  #090809    9   4   -0.06417
  61      0.1790  #080908    9   5   -0.01111
  62      0.1880  #080909    9   6    0.04905
  63      0.1940  #090908    9   7    0.03141
  64      0.2030  #090909   10   1    0.04534
  65      0.1900  #09090a   10   2   -0.06616
  66      0.1920  #0a0909   10   3    0.01047
  67      0.1960  #0a090a   10   4    0.02062
  68      0.2010  #090a09   10   5    0.02519
  69      0.1980  #090a0a   10   6   -0.01504
  70      0.2030  #0a0a09   10   7    0.02494
  71      0.2050  #0a0a0a   11   1    0.00980
  72      0.2080  #0a0a0b   11   2    0.01453
  73      0.2030  #0b0a0a   11   3   -0.02433
  74      0.2080  #0b0a0b   11   4    0.02433
  75      0.2020  #0a0b0a   11   5   -0.02927
  76      0.2210  #0a0b0b   11   6    0.08983
  77      0.2150  #0b0b0a   11   7   -0.02752
  78      0.2130  #0b0b0b   12   1   -0.00935
  79      0.2130  #0b0b0c   12   2    0.00000
  80      0.2230  #0c0b0b   12   3    0.04587
  81      0.2270  #0c0b0c   12   4    0.01778
  82      0.2160  #0b0c0b   12   5   -0.04966
  83      0.2280  #0b0c0c   12   6    0.05405
  84      0.2260  #0c0c0b   12   7   -0.00881
  85      0.2260  #0c0c0c   13   1    0.00000
  86      0.2280  #0c0c0d   13   2    0.00881
  87      0.2320  #0d0c0c   13   3    0.01739
  88      0.2340  #0d0c0d   13   4    0.00858
  89      0.2390  #0c0d0c   13   5    0.02114
  90      0.2440  #0c0d0d   13   6    0.02070
  91      0.2410  #0d0d0c   13   7   -0.01237
  92      0.2460  #0d0d0d   14   1    0.02053
  93      0.2440  #0d0d0e   14   2   -0.00816
  94      0.2690  #0e0d0d   14   3    0.09747
  95      0.2530  #0e0d0e   14   4   -0.06130
  96      0.2510  #0d0e0d   14   5   -0.00794
  97      0.2620  #0d0e0e   14   6    0.04288
  98      0.2600  #0e0e0d   14   7   -0.00766
  99      0.2630  #0e0e0e   15   1    0.01147
 100      0.2640  #0e0e0f   15   2    0.00380
 101      0.2590  #0f0e0e   15   3   -0.01912
 102      0.2660  #0f0e0f   15   4    0.02667
 103      0.2650  #0e0f0e   15   5   -0.00377
 104      0.2780  #0e0f0f   15   6    0.04788
 105      0.2790  #0f0f0e   15   7    0.00359
 106      0.2820  #0f0f0f   16   1    0.01070
 107      0.2950  #0f0f10   16   2    0.04506
 108      0.2820  #100f0f   16   3   -0.04506
 109      0.2990  #100f10   16   4    0.05852
 110      0.2860  #0f100f   16   5   -0.04444
 111      0.3000  #0f1010   16   6    0.04778
 112      0.2860  #10100f   16   7   -0.04778
 113      0.3100  #101010   17   1    0.08054
 114      0.3040  #101011   17   2   -0.01954
 115      0.3020  #111010   17   3   -0.00660
 116      0.3090  #111011   17   4    0.02291
 117      0.3060  #101110   17   5   -0.00976
 118      0.3130  #101111   17   6    0.02262
 119      0.3140  #111110   17   7    0.00319
 120      0.3180  #111111   18   1    0.01266
 121      0.3210  #111112   18   2    0.00939
 122      0.3120  #121111   18   3   -0.02844
 123      0.3310  #121112   18   4    0.05910
 124      0.3160  #111211   18   5   -0.04637
 125      0.3250  #111212   18   6    0.02808
 126      0.3260  #121211   18   7    0.00307
 127      0.3330  #121212   19   1    0.02124
 128      0.3330  #121213   19   2    0.00000
 129      0.3280  #131212   19   3   -0.01513
 130      0.3440  #131213   19   4    0.04762
 131      0.3400  #121312   19   5   -0.01170
 132      0.3300  #121313   19   6   -0.02985
 133      0.3340  #131312   19   7    0.01205
 134      0.3300  #131313   20   1   -0.01205
 135      0.3400  #131314   20   2    0.02985
 136      0.3390  #141313   20   3   -0.00295
 137      0.3420  #141314   20   4    0.00881
 138      0.3470  #131413   20   5    0.01451
 139      0.3510  #131414   20   6    0.01146
 140      0.3530  #141413   20   7    0.00568
 141      0.3530  #141414   21   1    0.00000
 142      0.3610  #141415   21   2    0.02241
 143      0.3640  #151414   21   3    0.00828
 144      0.3670  #151415   21   4    0.00821
 145      0.3540  #141514   21   5   -0.03606
 146      0.3720  #141515   21   6    0.04959
 147      0.3610  #151514   21   7   -0.03001
 148      0.3550  #151515   22   1   -0.01676
 149      0.3660  #151516   22   2    0.03051
 150      0.3660  #161515   22   3    0.00000
 151      0.3630  #161516   22   4   -0.00823
 152      0.3860  #151615   22   5    0.06142
 153      0.3880  #151616   22   6    0.00517
 154      0.3850  #161615   22   7   -0.00776
 155      0.3950  #161616   23   1    0.02564
 156      0.4050  #161617   23   2    0.02500
 157      0.4000  #171616   23   3   -0.01242
 158      0.4040  #171617   23   4    0.00995
 159      0.4010  #161716   23   5   -0.00745
 160      0.4110  #161717   23   6    0.02463
 161      0.4020  #171716   23   7   -0.02214
 162      0.4070  #171717   24   1    0.01236
 163      0.4340  #171718   24   2    0.06421
 164      0.4190  #181717   24   3   -0.03517
 165      0.4200  #181718   24   4    0.00238
 166      0.4140  #171817   24   5   -0.01439
 167      0.4100  #171818   24   6   -0.00971
 168      0.4250  #181817   24   7    0.03593
 169      0.4230  #181818   25   1   -0.00472
 170      0.4360  #181819   25   2    0.03027
 171      0.4290  #191818   25   3   -0.01618
 172      0.4340  #191819   25   4    0.01159
 173      0.4320  #181918   25   5   -0.00462
 174      0.4450  #181919   25   6    0.02965
 175      0.4300  #191918   25   7   -0.03429
 176      0.4430  #191919   26   1    0.02978
 177      0.4520  #19191a   26   2    0.02011
 178      0.4440  #1a1919   26   3   -0.01786
 179      0.4540  #1a191a   26   4    0.02227
 180      0.4500  #191a19   26   5   -0.00885
 181      0.4570  #191a1a   26   6    0.01544
 182      0.4620  #1a1a19   26   7    0.01088
 183      0.4690  #1a1a1a   27   1    0.01504
 184      0.4710  #1a1a1b   27   2    0.00426
 185      0.4670  #1b1a1a   27   3   -0.00853
 186      0.4730  #1b1a1b   27   4    0.01277
 187      0.4970  #1a1b1a   27   5    0.04948
 188      0.4990  #1a1b1b   27   6    0.00402
 189      0.4980  #1b1b1a   27   7   -0.00201
 190      0.5040  #1b1b1b   28   1    0.01198
 191      0.5140  #1b1b1c   28   2    0.01965
 192      0.5140  #1c1b1b   28   3    0.00000
 193      0.5190  #1c1b1c   28   4    0.00968
 194      0.5220  #1b1c1b   28   5    0.00576
 195      0.5300  #1b1c1c   28   6    0.01521
 196      0.5250  #1c1c1b   28   7   -0.00948
 197      0.5300  #1c1c1c   29   1    0.00948
 198      0.5380  #1c1c1d   29   2    0.01498
 199      0.5440  #1d1c1c   29   3    0.01109
 200      0.5500  #1d1c1d   29   4    0.01097
 201      0.5720  #1c1d1c   29   5    0.03922
 202      0.5790  #1c1d1d   29   6    0.01216
