# LutGenerate 2.0 - 07/03/03
#  Display ID: DELL_1900FP_AG41
# Ambient = 0.10   Max. Luminence = 225.00   Luminence Ratio = 250.00
#  lumResponse vers. 1.5b - 07/03/03
#  iLdelay=1  avgN=1  ILlimit=0.50  R=22.9% G=66.5% B=10.5%
1:  027  027  028
2:  027  028  028
3:  029  028  029
4:  030  029  029
5:  029  030  030
6:  031  030  031
7:  031  031  031
8:  031  032  032
9:  033  032  033
10:  033  033  033
11:  033  034  033
12:  035  034  034
13:  035  035  034
14:  036  035  036
15:  037  036  036
16:  036  037  037
17:  038  037  038
18:  038  038  038
19:  038  039  038
20:  039  039  040
21:  039  040  039
22:  041  040  041
23:  041  041  040
24:  042  041  042
25:  042  042  041
26:  043  042  043
27:  043  043  043
28:  043  044  043
29:  044  044  045
30:  044  045  044
31:  045  045  046
32:  045  046  045
33:  047  046  046
34:  046  047  046
35:  048  047  047
36:  047  048  047
37:  049  048  048
38:  048  049  048
39:  050  049  049
40:  049  050  050
41:  051  050  050
42:  050  051  051
43:  052  051  051
44:  051  052  052
45:  053  052  053
46:  053  053  052
47:  054  053  054
48:  054  054  053
49:  055  054  055
50:  055  055  055
51:  056  055  056
52:  056  056  056
53:  056  057  056
54:  057  057  058
55:  057  058  057
56:  058  058  059
57:  058  059  058
58:  060  059  059
59:  059  060  059
60:  061  060  060
61:  060  061  061
62:  062  061  062
63:  062  062  061
64:  063  062  063
65:  063  063  063
66:  063  064  063
67:  065  064  064
68:  064  065  065
69:  066  065  066
70:  066  066  066
71:  066  067  066
72:  068  067  067
73:  068  068  067
74:  068  069  068
75:  069  069  070
76:  069  070  070
77:  071  070  071
78:  071  071  071
79:  071  072  071
80:  073  072  073
81:  073  073  073
82:  073  074  073
83:  075  074  075
84:  075  075  075
85:  075  076  075
86:  077  076  077
87:  077  077  078
88:  077  078  078
89:  079  078  079
90:  080  079  079
91:  080  080  079
92:  080  081  080
93:  082  081  081
94:  082  082  082
95:  082  083  083
96:  083  084  083
97:  085  084  085
98:  085  085  085
99:  086  086  085
100:  086  087  086
101:  088  087  087
102:  088  088  087
103:  088  089  089
104:  089  090  089
105:  091  090  090
106:  091  091  091
107:  091  092  092
108:  092  093  092
109:  094  093  094
110:  095  094  095
111:  095  095  096
112:  095  096  096
113:  096  097  096
114:  098  097  098
115:  098  098  099
116:  099  099  098
117:  100  100  101
118:  101  101  100
119:  102  102  101
120:  102  103  102
121:  104  103  104
122:  104  104  105
123:  105  105  105
124:  105  106  106
125:  106  107  106
126:  108  107  108
127:  109  108  108
128:  109  109  110
129:  110  110  111
130:  110  111  111
131:  111  112  112
132:  112  113  112
133:  114  113  114
134:  115  114  115
135:  116  115  115
136:  116  116  117
137:  117  117  116
138:  117  118  118
139:  118  119  118
140:  119  120  119
141:  121  120  121
142:  122  121  121
143:  123  122  122
144:  123  123  124
145:  124  124  123
146:  125  125  124
147:  126  126  125
148:  126  127  127
149:  127  128  127
150:  128  129  128
151:  130  129  130
152:  131  130  131
153:  132  131  132
154:  133  132  132
155:  133  133  134
156:  134  134  134
157:  135  135  134
158:  136  136  135
159:  136  137  137
160:  137  138  137
161:  138  139  138
162:  139  140  139
163:  141  140  141
164:  142  141  142
165:  143  142  143
166:  144  143  144
167:  145  144  145
168:  146  145  146
169:  147  146  146
170:  148  147  147
171:  149  148  148
172:  150  149  149
173:  151  150  150
174:  152  151  151
175:  153  152  152
176:  154  153  153
177:  155  154  154
178:  156  155  155
179:  157  156  156
180:  158  157  157
181:  159  158  159
182:  160  159  160
183:  161  160  160
184:  162  161  162
185:  163  162  163
186:  164  163  164
187:  164  165  164
188:  165  166  165
189:  166  167  166
190:  167  168  168
191:  169  169  168
192:  170  170  170
193:  171  171  171
194:  172  172  173
195:  174  173  173
196:  175  174  174
197:  176  175  176
198:  176  177  176
199:  177  178  177
200:  178  179  179
201:  180  180  179
202:  181  181  181
203:  182  182  183
204:  184  183  183
205:  185  184  185
206:  185  186  185
207:  186  187  187
208:  188  188  187
209:  188  189  189
210:  190  190  190
211:  191  191  192
212:  193  192  193
213:  193  194  193
214:  195  195  195
215:  197  196  196
216:  197  198  197
217:  199  199  198
218:  200  200  201
219:  202  201  202
220:  202  203  203
221:  204  204  205
222:  206  205  206
223:  206  207  207
224:  208  208  209
225:  210  209  210
226:  211  211  210
227:  213  212  212
228:  213  214  213
229:  215  215  215
230:  217  216  217
231:  217  218  218
232:  220  219  219
233:  221  220  221
234:  222  222  223
235:  224  223  224
236:  225  226  225
237:  227  227  227
238:  229  229  228
239:  230  230  230
240:  232  232  232
241:  234  233  234
242:  235  235  236
243:  237  237  237
244:  239  238  238
245:  240  240  241
246:  241  242  242
247:  243  244  243
248:  245  245  245
249:  246  246  245
250:  247  248  247
251:  248  249  248
252:  250  250  250
253:  252  251  251
254:  252  253  252
255:  253  254  253
256:  255  255  254
