#  lumResponse - average luminance response
#  Display ID: GENERIC
#  20 files
#    58.1600 #ff0000
#   169.4600 #00ff00
#    27.3650 #0000ff
   1      0.2760  #000000    1   1 
   2      0.2760  #000001    1   2   -0.00018
   3      0.2760  #010000    1   3    0.00000
   4      0.2760  #010001    1   4    0.00000
   5      0.2767  #000100    1   5    0.00271
   6      0.2768  #000101    1   6    0.00018
   7      0.2767  #010100    1   7   -0.00018
   8      0.2767  #010101    2   1   -0.00018
   9      0.2768  #010102    2   2    0.00054
  10      0.2767  #020101    2   3   -0.00036
  11      0.2767  #020102    2   4    0.00000
  12      0.2771  #010201    2   5    0.00144
  13      0.2772  #010202    2   6    0.00018
  14      0.2772  #020201    2   7    0.00000
  15      0.2771  #020202    3   1   -0.00018
  16      0.2775  #020203    3   2    0.00144
  17      0.2773  #030202    3   3   -0.00054
  18      0.2774  #030203    3   4    0.00018
  19      0.2803  #020302    3   5    0.01022
  20      0.2806  #020303    3   6    0.00125
  21      0.2803  #030302    3   7   -0.00107
  22      0.2807  #030303    4   1    0.00125
  23      0.2808  #030304    4   2    0.00053
  24      0.2807  #040303    4   3   -0.00053
  25      0.2808  #040304    4   4    0.00053
  26      0.2812  #030403    4   5    0.00142
  27      0.2809  #030404    4   6   -0.00089
  28      0.2812  #040403    4   7    0.00071
  29      0.2815  #040404    5   1    0.00124
  30      0.2814  #040405    5   2   -0.00018
  31      0.2817  #050404    5   3    0.00071
  32      0.2818  #050405    5   4    0.00035
  33      0.2819  #040504    5   5    0.00053
  34      0.2821  #040505    5   6    0.00053
  35      0.2823  #050504    5   7    0.00071
  36      0.2823  #050505    6   1    0.00035
  37      0.2828  #050506    6   2    0.00159
  38      0.2824  #060505    6   3   -0.00124
  39      0.2829  #060506    6   4    0.00159
  40      0.2842  #050605    6   5    0.00458
  41      0.2847  #050606    6   6    0.00176
  42      0.2845  #060605    6   7   -0.00053
  43      0.2848  #060606    7   1    0.00070
  44      0.2851  #060607    7   2    0.00123
  45      0.2850  #070606    7   3   -0.00035
  46      0.2853  #070607    7   4    0.00105
  47      0.2858  #060706    7   5    0.00175
  48      0.2859  #060707    7   6    0.00035
  49      0.2858  #070706    7   7   -0.00052
  50      0.2862  #070707    8   1    0.00140
  51      0.2867  #070708    8   2    0.00192
  52      0.2864  #080707    8   3   -0.00105
  53      0.2868  #080708    8   4    0.00157
  54      0.2885  #070807    8   5    0.00574
  55      0.2892  #070808    8   6    0.00225
  56      0.2886  #080807    8   7   -0.00173
  57      0.2894  #080808    9   1    0.00259
  58      0.2896  #080809    9   2    0.00052
  59      0.2897  #090808    9   3    0.00035
  60      0.2899  #090809    9   4    0.00069
  61      0.2904  #080908    9   5    0.00207
  62      0.2908  #080909    9   6    0.00103
  63      0.2908  #090908    9   7    0.00017
  64      0.2909  #090909   10   1    0.00052
  65      0.2918  #09090a   10   2    0.00292
  66      0.2913  #0a0909   10   3   -0.00171
  67      0.2920  #0a090a   10   4    0.00223
  68      0.2941  #090a09   10   5    0.00734
  69      0.2949  #090a0a   10   6    0.00255
  70      0.2944  #0a0a09   10   7   -0.00136
  71      0.2950  #0a0a0a   11   1    0.00187
  72      0.2954  #0a0a0b   11   2    0.00152
  73      0.2955  #0b0a0a   11   3    0.00034
  74      0.2958  #0b0a0b   11   4    0.00085
  75      0.2966  #0a0b0a   11   5    0.00270
  76      0.2970  #0a0b0b   11   6    0.00152
  77      0.2969  #0b0b0a   11   7   -0.00034
  78      0.2973  #0b0b0b   12   1    0.00101
  79      0.2982  #0b0b0c   12   2    0.00302
  80      0.2989  #0c0b0b   12   3    0.00235
  81      0.2999  #0c0b0c   12   4    0.00334
  82      0.3013  #0b0c0b   12   5    0.00466
  83      0.3020  #0b0c0c   12   6    0.00232
  84      0.3026  #0c0c0b   12   7    0.00232
  85      0.3035  #0c0c0c   13   1    0.00297
  86      0.3040  #0c0c0d   13   2    0.00132
  87      0.3041  #0d0c0c   13   3    0.00033
  88      0.3045  #0d0c0d   13   4    0.00131
  89      0.3055  #0c0d0c   13   5    0.00328
  90      0.3058  #0c0d0d   13   6    0.00115
  91      0.3058  #0d0d0c   13   7    0.00000
  92      0.3063  #0d0d0d   14   1    0.00147
  93      0.3073  #0d0d0e   14   2    0.00342
  94      0.3074  #0e0d0d   14   3    0.00016
  95      0.3083  #0e0d0e   14   4    0.00292
  96      0.3108  #0d0e0d   14   5    0.00840
  97      0.3118  #0d0e0e   14   6    0.00305
  98      0.3119  #0e0e0d   14   7    0.00032
  99      0.3130  #0e0e0e   15   1    0.00352
 100      0.3133  #0e0e0f   15   2    0.00096
 101      0.3137  #0f0e0e   15   3    0.00128
 102      0.3139  #0f0e0f   15   4    0.00064
 103      0.3152  #0e0f0e   15   5    0.00413
 104      0.3156  #0e0f0f   15   6    0.00143
 105      0.3158  #0f0f0e   15   7    0.00032
 106      0.3162  #0f0f0f   16   1    0.00127
 107      0.3174  #0f0f10   16   2    0.00379
 108      0.3175  #100f0f   16   3    0.00032
 109      0.3188  #100f10   16   4    0.00424
 110      0.3216  #0f100f   16   5    0.00859
 111      0.3226  #0f1010   16   6    0.00342
 112      0.3228  #10100f   16   7    0.00062
 113      0.3241  #101010   17   1    0.00371
 114      0.3246  #101011   17   2    0.00170
 115      0.3246  #111010   17   3    0.00015
 116      0.3253  #111011   17   4    0.00215
 117      0.3268  #101110   17   5    0.00445
 118      0.3273  #101111   17   6    0.00168
 119      0.3275  #111110   17   7    0.00046
 120      0.3281  #111111   18   1    0.00183
 121      0.3294  #111112   18   2    0.00395
 122      0.3297  #121111   18   3    0.00076
 123      0.3312  #121112   18   4    0.00454
 124      0.3345  #111211   18   5    0.00992
 125      0.3357  #111212   18   6    0.00373
 126      0.3361  #121211   18   7    0.00104
 127      0.3376  #121212   19   1    0.00445
 128      0.3382  #121213   19   2    0.00178
 129      0.3384  #131212   19   3    0.00074
 130      0.3390  #131213   19   4    0.00177
 131      0.3407  #121312   19   5    0.00486
 132      0.3413  #121313   19   6    0.00191
 133      0.3416  #131312   19   7    0.00073
 134      0.3421  #131313   20   1    0.00146
 135      0.3434  #131314   20   2    0.00408
 136      0.3439  #141313   20   3    0.00145
 137      0.3453  #141314   20   4    0.00377
 138      0.3495  #131413   20   5    0.01238
 139      0.3509  #131414   20   6    0.00371
 140      0.3513  #141413   20   7    0.00128
 141      0.3528  #141414   21   1    0.00426
 142      0.3545  #141415   21   2    0.00467
 143      0.3551  #151414   21   3    0.00183
 144      0.3569  #151415   21   4    0.00492
 145      0.3609  #141514   21   5    0.01129
 146      0.3625  #141515   21   6    0.00442
 147      0.3632  #151514   21   7    0.00207
 148      0.3650  #151515   22   1    0.00467
 149      0.3655  #151516   22   2    0.00137
 150      0.3659  #161515   22   3    0.00123
 151      0.3666  #161516   22   4    0.00177
 152      0.3688  #151615   22   5    0.00612
 153      0.3694  #151616   22   6    0.00163
 154      0.3700  #161615   22   7    0.00162
 155      0.3706  #161616   23   1    0.00162
 156      0.3727  #161617   23   2    0.00552
 157      0.3731  #171616   23   3    0.00134
 158      0.3750  #171617   23   4    0.00508
 159      0.3801  #161716   23   5    0.01351
 160      0.3820  #161717   23   6    0.00485
 161      0.3826  #171716   23   7    0.00144
 162      0.3845  #171717   24   1    0.00495
 163      0.3865  #171718   24   2    0.00519
 164      0.3871  #181717   24   3    0.00155
 165      0.3892  #181718   24   4    0.00554
 166      0.3949  #171817   24   5    0.01441
 167      0.3968  #171818   24   6    0.00493
 168      0.3974  #181817   24   7    0.00164
 169      0.3995  #181818   25   1    0.00514
 170      0.4006  #181819   25   2    0.00275
 171      0.4010  #191818   25   3    0.00087
 172      0.4020  #191819   25   4    0.00262
 173      0.4045  #181918   25   5    0.00632
 174      0.4057  #181919   25   6    0.00284
 175      0.4062  #191918   25   7    0.00123
 176      0.4072  #191919   26   1    0.00246
 177      0.4095  #19191a   26   2    0.00563
 178      0.4103  #1a1919   26   3    0.00183
 179      0.4126  #1a191a   26   4    0.00571
 180      0.4189  #191a19   26   5    0.01503
 181      0.4212  #191a1a   26   6    0.00559
 182      0.4221  #1a1a19   26   7    0.00213
 183      0.4245  #1a1a1a   27   1    0.00579
 184      0.4257  #1a1a1b   27   2    0.00271
 185      0.4263  #1b1a1a   27   3    0.00129
 186      0.4274  #1b1a1b   27   4    0.00269
 187      0.4306  #1a1b1a   27   5    0.00758
 188      0.4317  #1a1b1b   27   6    0.00255
 189      0.4324  #1b1b1a   27   7    0.00162
 190      0.4336  #1b1b1b   28   1    0.00266
 191      0.4362  #1b1b1c   28   2    0.00598
 192      0.4383  #1c1b1b   28   3    0.00469
 193      0.4409  #1c1b1c   28   4    0.00592
 194      0.4470  #1b1c1b   28   5    0.01374
 195      0.4495  #1b1c1c   28   6    0.00569
