# luminance for red (#ff0000), green (#00ff00) and blue (#0000ff)
# 20 files
#   r2g      b2g       Lmin      Lmax      red       grn       blu    FILE
# 0.34321  0.16148     0.276   253.550    58.160   169.460    27.365  Average
  0.31173  0.15531     0.336   260.000    55.800   179.000    27.800  uLR_DELL_1900FP_A9JN.txt
  0.33558  0.17239     0.223   246.000    54.700   163.000    28.100  uLR_DELL_1900FP_AAJN.txt
  0.34154  0.16511     0.246   229.000    51.300   150.200    24.800  uLR_DELL_1900FP_AG3Z.txt
  0.34430  0.15839     0.223   225.000    51.300   149.000    23.600  uLR_DELL_1900FP_AG41.txt
  0.35336  0.16003     0.317   230.000    54.100   153.100    24.500  uLR_DELL_1900FP_AG43_a.txt
  0.33765  0.16267     0.251   231.000    52.100   154.300    25.100  uLR_DELL_1900FP_AG9E.txt
  0.35221  0.15299     0.354   233.000    54.100   153.600    23.500  uLR_DELL_1900FP_AM0L.txt
  0.35767  0.15092     0.385   248.000    58.300   163.000    24.600  uLR_DELL_1900FP_AQCB.txt
  0.34678  0.16199     0.266   256.000    59.300   171.000    27.700  uLR_DELL_1900FP_AQCG.txt
  0.34362  0.16117     0.245   280.000    64.600   188.000    30.300  uLR_DELL_1900FP_AR5E.txt
  0.35026  0.15926     0.259   282.000    66.200   189.000    30.100  uLR_DELL_1900FP_AR7D.txt
  0.35776  0.16273     0.231   243.000    57.600   161.000    26.200  uLR_DELL_1900FP_ARF0.txt
  0.34852  0.16686     0.269   252.000    58.900   169.000    28.200  uLR_DELL_1900FP_ARQ0.txt
  0.33389  0.16000     0.293   266.000    60.100   180.000    28.800  uLR_DELL_1900FP_ARQ1.txt
  0.33034  0.16629     0.270   263.000    58.800   178.000    29.600  uLR_DELL_1900FP_ARW5.txt
  0.35503  0.15820     0.318   284.000    67.100   189.000    29.900  uLR_DELL_1900FP_ARW7.txt
  0.35056  0.15833     0.257   268.000    63.100   180.000    28.500  uLR_DELL_1900FP_ARW8.txt
  0.34360  0.16628     0.228   256.000    59.100   172.000    28.600  uLR_DELL_1900FP_ATR5.txt
  0.33886  0.16571     0.301   261.000    59.300   175.000    29.000  uLR_DELL_1900FP_ATT7.txt
  0.33372  0.16512     0.248   258.000    57.400   172.000    28.400  uLR_DELL_1900FP_ATTG.txt
