#  lumResponse vers. 1.5b - 05/07/03
#  Display ID: DELL_1900FP_AAJN
#  iLdelay = 1   avgN = 1   ILlimit = 0.50
1  54.7  #ff0000
2  163.0  #00ff00
3  28.1  #0000ff
4  0.223  #000000
5  0.223  #000001
6  0.223  #010000
7  0.223  #010001
8  0.223  #000100
9  0.223  #000101
10  0.223  #010100
11  0.223  #010101
12  0.223  #010102
13  0.223  #020101
14  0.223  #020102
15  0.223  #010201
16  0.223  #010202
17  0.223  #020201
18  0.223  #020202
19  0.224  #020203
20  0.223  #030202
21  0.224  #030203
22  0.227  #020302
23  0.227  #020303
24  0.227  #030302
25  0.227  #030303
26  0.227  #030304
27  0.227  #040303
28  0.227  #040304
29  0.227  #030403
30  0.227  #030404
31  0.227  #040403
32  0.227  #040404
33  0.227  #040405
34  0.227  #050404
35  0.227  #050405
36  0.227  #040504
37  0.227  #040505
38  0.227  #050504
39  0.227  #050505
40  0.228  #050506
41  0.227  #060505
42  0.228  #060506
43  0.229  #050605
44  0.229  #050606
45  0.229  #060605
46  0.229  #060606
47  0.229  #060607
48  0.229  #070606
49  0.229  #070607
50  0.229  #060706
51  0.229  #060707
52  0.229  #070706
53  0.229  #070707
54  0.23  #070708
55  0.229  #080707
56  0.23  #080708
57  0.232  #070807
58  0.232  #070808
59  0.232  #080807
60  0.232  #080808
61  0.232  #080809
62  0.232  #090808
63  0.232  #090809
64  0.232  #080908
65  0.232  #080909
66  0.232  #090908
67  0.232  #090909
68  0.233  #09090a
69  0.232  #0a0909
70  0.233  #0a090a
71  0.235  #090a09
72  0.235  #090a0a
73  0.235  #0a0a09
74  0.235  #0a0a0a
75  0.235  #0a0a0b
76  0.235  #0b0a0a
77  0.235  #0b0a0b
78  0.235  #0a0b0a
79  0.235  #0a0b0b
80  0.235  #0b0b0a
81  0.235  #0b0b0b
82  0.236  #0b0b0c
83  0.237  #0c0b0b
84  0.238  #0c0b0c
85  0.239  #0b0c0b
86  0.239  #0b0c0c
87  0.24  #0c0c0b
88  0.241  #0c0c0c
89  0.241  #0c0c0d
90  0.241  #0d0c0c
91  0.241  #0d0c0d
92  0.241  #0c0d0c
93  0.241  #0c0d0d
94  0.241  #0d0d0c
95  0.241  #0d0d0d
96  0.242  #0d0d0e
97  0.242  #0e0d0d
98  0.243  #0e0d0e
99  0.245  #0d0e0d
100  0.246  #0d0e0e
101  0.245  #0e0e0d
102  0.246  #0e0e0e
103  0.247  #0e0e0f
104  0.246  #0f0e0e
105  0.246  #0f0e0f
106  0.246  #0e0f0e
107  0.246  #0e0f0f
108  0.246  #0f0f0e
109  0.246  #0f0f0f
110  0.248  #0f0f10
111  0.247  #100f0f
112  0.248  #100f10
113  0.251  #0f100f
114  0.252  #0f1010
115  0.251  #10100f
116  0.253  #101010
117  0.253  #101011
118  0.253  #111010
119  0.253  #111011
120  0.253  #101110
121  0.253  #101111
122  0.253  #111110
123  0.253  #111111
124  0.254  #111112
125  0.254  #121111
126  0.255  #121112
127  0.258  #111211
128  0.26  #111212
129  0.259  #121211
130  0.261  #121212
131  0.261  #121213
132  0.261  #131212
133  0.261  #131213
134  0.261  #121312
135  0.261  #121313
136  0.261  #131312
137  0.261  #131313
138  0.262  #131314
139  0.262  #141313
140  0.263  #141314
141  0.267  #131413
142  0.268  #131414
143  0.268  #141413
144  0.27  #141414
145  0.271  #141415
146  0.271  #151414
147  0.273  #151415
148  0.277  #141514
149  0.279  #141515
150  0.278  #151514
