#  lumResponse vers. 1.5b - 04/29/03
#  Display ID: DELL_1900FP_AM0L
#  iLdelay = 1   avgN = 1   ILlimit = 0.50
1  54.1  #ff0000
2  153.6  #00ff00
3  23.5  #0000ff
4  0.354  #000000
5  0.354  #000001
6  0.354  #010000
7  0.354  #010001
8  0.354  #000100
9  0.354  #000101
10  0.354  #010100
11  0.354  #010101
12  0.354  #010102
13  0.354  #020101
14  0.354  #020102
15  0.354  #010201
16  0.354  #010202
17  0.354  #020201
18  0.354  #020202
19  0.355  #020203
20  0.354  #030202
21  0.355  #030203
22  0.359  #020302
23  0.359  #020303
24  0.359  #030302
25  0.359  #030303
26  0.359  #030304
27  0.359  #040303
28  0.359  #040304
29  0.359  #030403
30  0.359  #030404
31  0.358  #040403
32  0.359  #040404
33  0.359  #040405
34  0.359  #050404
35  0.359  #050405
36  0.359  #040504
37  0.359  #040505
38  0.359  #050504
39  0.359  #050505
40  0.36  #050506
41  0.359  #060505
42  0.36  #060506
43  0.361  #050605
44  0.362  #050606
45  0.363  #060605
46  0.36  #060606
47  0.364  #060607
48  0.36  #070606
49  0.362  #070607
50  0.362  #060706
51  0.362  #060707
52  0.361  #070706
53  0.362  #070707
54  0.362  #070708
55  0.362  #080707
56  0.362  #080708
57  0.364  #070807
58  0.365  #070808
59  0.364  #080807
60  0.365  #080808
61  0.365  #080809
62  0.365  #090808
63  0.365  #090809
64  0.364  #080908
65  0.365  #080909
66  0.365  #090908
67  0.365  #090909
68  0.366  #09090a
69  0.365  #0a0909
70  0.365  #0a090a
71  0.368  #090a09
72  0.368  #090a0a
73  0.368  #0a0a09
74  0.368  #0a0a0a
75  0.368  #0a0a0b
76  0.369  #0b0a0a
77  0.369  #0b0a0b
78  0.368  #0a0b0a
79  0.368  #0a0b0b
80  0.368  #0b0b0a
81  0.368  #0b0b0b
82  0.369  #0b0b0c
83  0.371  #0c0b0b
84  0.371  #0c0b0c
85  0.372  #0b0c0b
86  0.373  #0b0c0c
87  0.374  #0c0c0b
88  0.375  #0c0c0c
89  0.375  #0c0c0d
90  0.375  #0d0c0c
91  0.375  #0d0c0d
92  0.375  #0c0d0c
93  0.375  #0c0d0d
94  0.374  #0d0d0c
95  0.375  #0d0d0d
96  0.375  #0d0d0e
97  0.375  #0e0d0d
98  0.376  #0e0d0e
99  0.379  #0d0e0d
100  0.38  #0d0e0e
101  0.38  #0e0e0d
102  0.381  #0e0e0e
103  0.381  #0e0e0f
104  0.381  #0f0e0e
105  0.381  #0f0e0f
106  0.381  #0e0f0e
107  0.381  #0e0f0f
108  0.381  #0f0f0e
109  0.381  #0f0f0f
110  0.382  #0f0f10
111  0.382  #100f0f
112  0.383  #100f10
113  0.385  #0f100f
114  0.387  #0f1010
115  0.387  #10100f
116  0.388  #101010
117  0.388  #101011
118  0.388  #111010
119  0.388  #111011
120  0.388  #101110
121  0.388  #101111
122  0.388  #111110
123  0.387  #111111
124  0.389  #111112
125  0.389  #121111
126  0.39  #121112
127  0.394  #111211
128  0.395  #111212
129  0.395  #121211
130  0.396  #121212
131  0.396  #121213
132  0.396  #131212
133  0.396  #131213
134  0.396  #121312
135  0.396  #121313
136  0.396  #131312
137  0.396  #131313
138  0.398  #131314
139  0.398  #141313
140  0.399  #141314
141  0.404  #131413
142  0.405  #131414
143  0.405  #141413
144  0.406  #141414
145  0.408  #141415
146  0.408  #151414
147  0.41  #151415
148  0.414  #141514
149  0.416  #141515
150  0.416  #151514
151  0.418  #151515
152  0.418  #151516
153  0.418  #161515
154  0.418  #161516
155  0.418  #151615
156  0.418  #151616
157  0.418  #161615
158  0.418  #161616
159  0.42  #161617
160  0.42  #171616
161  0.422  #171617
162  0.427  #161716
163  0.429  #161717
164  0.429  #171716
165  0.431  #171717
166  0.433  #171718
167  0.433  #181717
168  0.435  #181718
169  0.441  #171817
170  0.443  #171818
171  0.444  #181817
172  0.446  #181818
173  0.446  #181819
174  0.446  #191818
175  0.446  #191819
176  0.446  #181918
177  0.446  #181919
178  0.446  #191918
179  0.446  #191919
180  0.448  #19191a
181  0.448  #1a1919
182  0.451  #1a191a
183  0.457  #191a19
184  0.46  #191a1a
185  0.46  #1a1a19
186  0.463  #1a1a1a
187  0.463  #1a1a1b
188  0.463  #1b1a1a
189  0.463  #1b1a1b
190  0.463  #1a1b1a
191  0.462  #1a1b1b
192  0.462  #1b1b1a
193  0.463  #1b1b1b
194  0.465  #1b1b1c
195  0.467  #1c1b1b
196  0.469  #1c1b1c
197  0.476  #1b1c1b
198  0.478  #1b1c1c
199  0.48  #1c1c1b
200  0.482  #1c1c1c
201  0.484  #1c1c1d
202  0.486  #1d1c1c
203  0.488  #1d1c1d
204  0.497  #1c1d1c
205  0.499  #1c1d1d
206  0.501  #1d1d1c
207  0.503  #1d1d1d
208  0.503  #1d1d1e
209  0.503  #1e1d1d
210  0.503  #1e1d1e
211  0.503  #1d1e1d
212  0.503  #1d1e1e
213  0.503  #1e1e1d
214  0.503  #1e1e1e
215  0.506  #1e1e1f
216  0.507  #1f1e1e
217  0.511  #1f1e1f
218  0.52  #1e1f1e
219  0.523  #1e1f1f
220  0.524  #1f1f1e
221  0.527  #1f1f1f
222  0.531  #1f1f20
223  0.532  #201f1f
224  0.536  #201f20
225  0.546  #1f201f
226  0.549  #1f2020
227  0.551  #20201f
228  0.554  #202020
229  0.558  #202021
230  0.56  #212020
231  0.564  #212021
232  0.574  #202120
233  0.578  #202121
234  0.58  #212120
235  0.584  #212121
236  0.584  #212122
237  0.584  #222121
238  0.584  #222122
239  0.584  #212221
240  0.584  #212222
241  0.584  #222221
242  0.584  #222222
243  0.588  #222223
244  0.59  #232222
245  0.595  #232223
246  0.606  #222322
247  0.61  #222323
248  0.612  #232322
249  0.616  #232323
250  0.621  #232324
251  0.623  #242323
252  0.628  #242324
253  0.641  #232423
254  0.646  #232424
255  0.648  #242423
256  0.653  #242424
257  0.653  #242425
258  0.653  #252424
259  0.653  #252425
260  0.653  #242524
261  0.653  #242525
262  0.653  #252524
263  0.653  #252525
264  0.658  #252526
265  0.663  #262525
266  0.668  #262526
267  0.68  #252625
268  0.685  #252626
269  0.69  #262625
270  0.695  #262626
271  0.699  #262627
