#  lumResponse vers. 1.5b - 04/29/03
#  Display ID: DELL_1900FP_AQCB
#  iLdelay = 1   avgN = 1   ILlimit = 0.50
1  58.3  #ff0000
2  163.0  #00ff00
3  24.6  #0000ff
4  0.385  #000000
5  0.385  #000001
6  0.385  #010000
7  0.385  #010001
8  0.385  #000100
9  0.385  #000101
10  0.385  #010100
11  0.385  #010101
12  0.385  #010102
13  0.385  #020101
14  0.385  #020102
15  0.385  #010201
16  0.385  #010202
17  0.385  #020201
18  0.386  #020202
19  0.386  #020203
20  0.386  #030202
21  0.385  #030203
22  0.389  #020302
23  0.39  #020303
24  0.389  #030302
25  0.39  #030303
26  0.39  #030304
27  0.39  #040303
28  0.39  #040304
29  0.39  #030403
30  0.39  #030404
31  0.39  #040403
32  0.39  #040404
33  0.391  #040405
34  0.39  #050404
35  0.39  #050405
36  0.39  #040504
37  0.39  #040505
38  0.39  #050504
39  0.39  #050505
40  0.391  #050506
41  0.39  #060505
42  0.39  #060506
43  0.392  #050605
44  0.392  #050606
45  0.392  #060605
46  0.392  #060606
47  0.392  #060607
48  0.393  #070606
49  0.393  #070607
50  0.393  #060706
51  0.393  #060707
52  0.393  #070706
53  0.393  #070707
54  0.393  #070708
55  0.393  #080707
56  0.393  #080708
57  0.395  #070807
58  0.396  #070808
59  0.395  #080807
60  0.395  #080808
61  0.395  #080809
62  0.396  #090808
63  0.396  #090809
64  0.396  #080908
65  0.396  #080909
66  0.396  #090908
67  0.396  #090909
68  0.396  #09090a
69  0.396  #0a0909
70  0.396  #0a090a
71  0.398  #090a09
72  0.399  #090a0a
73  0.398  #0a0a09
74  0.399  #0a0a0a
75  0.399  #0a0a0b
76  0.399  #0b0a0a
77  0.399  #0b0a0b
78  0.399  #0a0b0a
79  0.399  #0a0b0b
80  0.399  #0b0b0a
81  0.399  #0b0b0b
82  0.4  #0b0b0c
83  0.401  #0c0b0b
84  0.402  #0c0b0c
85  0.402  #0b0c0b
86  0.403  #0b0c0c
87  0.404  #0c0c0b
88  0.405  #0c0c0c
89  0.405  #0c0c0d
90  0.405  #0d0c0c
91  0.405  #0d0c0d
92  0.405  #0c0d0c
93  0.405  #0c0d0d
94  0.405  #0d0d0c
95  0.405  #0d0d0d
96  0.406  #0d0d0e
97  0.406  #0e0d0d
98  0.406  #0e0d0e
99  0.409  #0d0e0d
100  0.409  #0d0e0e
101  0.409  #0e0e0d
102  0.41  #0e0e0e
103  0.41  #0e0e0f
104  0.41  #0f0e0e
105  0.41  #0f0e0f
106  0.41  #0e0f0e
107  0.41  #0e0f0f
108  0.41  #0f0f0e
109  0.41  #0f0f0f
110  0.411  #0f0f10
111  0.411  #100f0f
112  0.412  #100f10
113  0.414  #0f100f
114  0.415  #0f1010
115  0.415  #10100f
116  0.416  #101010
117  0.416  #101011
118  0.416  #111010
119  0.416  #111011
120  0.416  #101110
121  0.416  #101111
122  0.416  #111110
123  0.416  #111111
124  0.417  #111112
125  0.417  #121111
126  0.418  #121112
127  0.421  #111211
128  0.421  #111212
129  0.422  #121211
130  0.423  #121212
131  0.423  #121213
132  0.423  #131212
133  0.423  #131213
134  0.423  #121312
135  0.423  #121313
136  0.423  #131312
137  0.423  #131313
138  0.424  #131314
139  0.425  #141313
140  0.425  #141314
141  0.429  #131413
142  0.429  #131414
143  0.43  #141413
144  0.43  #141414
145  0.432  #141415
146  0.432  #151414
147  0.433  #151415
148  0.437  #141514
149  0.438  #141515
150  0.438  #151514
151  0.439  #151515
152  0.439  #151516
153  0.439  #161515
154  0.439  #161516
155  0.439  #151615
156  0.439  #151616
157  0.439  #161615
158  0.439  #161616
159  0.44  #161617
160  0.44  #171616
161  0.442  #171617
162  0.445  #161716
163  0.446  #161717
164  0.447  #171716
165  0.448  #171717
166  0.449  #171718
167  0.45  #181717
168  0.451  #181718
169  0.455  #171817
170  0.457  #171818
171  0.457  #181817
172  0.458  #181818
173  0.459  #181819
174  0.459  #191818
175  0.458  #191819
176  0.458  #181918
177  0.459  #181919
178  0.459  #191918
179  0.459  #191919
180  0.46  #19191a
181  0.461  #1a1919
182  0.462  #1a191a
183  0.467  #191a19
184  0.468  #191a1a
