#  lumResponse vers. 1.5b - 05/08/03
#  Display ID: DELL_1900FP_ARF0
#  iLdelay = 1   avgN = 1   ILlimit = 0.50
1  57.6  #ff0000
2  161.0  #00ff00
3  26.2  #0000ff
4  0.231  #000000
5  0.231  #000001
6  0.231  #010000
7  0.23  #010001
8  0.231  #000100
9  0.23  #000101
10  0.231  #010100
11  0.23  #010101
12  0.231  #010102
13  0.23  #020101
14  0.231  #020102
15  0.23  #010201
16  0.231  #010202
17  0.231  #020201
18  0.23  #020202
19  0.231  #020203
20  0.23  #030202
21  0.231  #030203
22  0.233  #020302
23  0.233  #020303
24  0.233  #030302
25  0.233  #030303
26  0.233  #030304
27  0.234  #040303
28  0.233  #040304
29  0.233  #030403
30  0.233  #030404
31  0.233  #040403
32  0.233  #040404
33  0.233  #040405
34  0.233  #050404
35  0.233  #050405
36  0.233  #040504
37  0.233  #040505
38  0.233  #050504
39  0.233  #050505
40  0.234  #050506
41  0.233  #060505
42  0.234  #060506
43  0.235  #050605
44  0.235  #050606
45  0.235  #060605
46  0.235  #060606
47  0.235  #060607
48  0.235  #070606
49  0.235  #070607
50  0.235  #060706
51  0.235  #060707
52  0.235  #070706
53  0.235  #070707
54  0.235  #070708
55  0.235  #080707
56  0.235  #080708
57  0.236  #070807
58  0.237  #070808
59  0.236  #080807
60  0.237  #080808
61  0.237  #080809
62  0.237  #090808
63  0.237  #090809
64  0.237  #080908
65  0.237  #080909
66  0.237  #090908
67  0.237  #090909
68  0.237  #09090a
69  0.237  #0a0909
70  0.237  #0a090a
71  0.238  #090a09
72  0.239  #090a0a
73  0.239  #0a0a09
74  0.239  #0a0a0a
75  0.239  #0a0a0b
76  0.239  #0b0a0a
77  0.239  #0b0a0b
78  0.239  #0a0b0a
79  0.239  #0a0b0b
80  0.239  #0b0b0a
81  0.239  #0b0b0b
82  0.24  #0b0b0c
83  0.24  #0c0b0b
84  0.241  #0c0b0c
85  0.241  #0b0c0b
86  0.242  #0b0c0c
87  0.242  #0c0c0b
88  0.243  #0c0c0c
89  0.243  #0c0c0d
90  0.243  #0d0c0c
91  0.243  #0d0c0d
92  0.243  #0c0d0c
93  0.243  #0c0d0d
94  0.243  #0d0d0c
95  0.243  #0d0d0d
96  0.244  #0d0d0e
97  0.243  #0e0d0d
98  0.244  #0e0d0e
99  0.246  #0d0e0d
100  0.246  #0d0e0e
101  0.246  #0e0e0d
102  0.247  #0e0e0e
103  0.247  #0e0e0f
104  0.247  #0f0e0e
105  0.247  #0f0e0f
106  0.247  #0e0f0e
107  0.247  #0e0f0f
108  0.247  #0f0f0e
109  0.247  #0f0f0f
110  0.247  #0f0f10
111  0.247  #100f0f
112  0.248  #100f10
113  0.25  #0f100f
114  0.25  #0f1010
115  0.25  #10100f
116  0.251  #101010
117  0.251  #101011
118  0.251  #111010
119  0.251  #111011
120  0.251  #101110
121  0.251  #101111
122  0.251  #111110
123  0.251  #111111
124  0.252  #111112
125  0.252  #121111
126  0.253  #121112
127  0.254  #111211
128  0.255  #111212
129  0.255  #121211
130  0.256  #121212
131  0.256  #121213
132  0.256  #131212
133  0.256  #131213
134  0.256  #121312
135  0.256  #121313
136  0.256  #131312
137  0.256  #131313
138  0.257  #131314
139  0.257  #141313
140  0.258  #141314
141  0.26  #131413
142  0.261  #131414
143  0.261  #141413
144  0.262  #141414
145  0.263  #141415
146  0.263  #151414
147  0.264  #151415
148  0.266  #141514
149  0.267  #141515
150  0.268  #151514
151  0.269  #151515
152  0.268  #151516
153  0.268  #161515
154  0.268  #161516
155  0.268  #151615
156  0.268  #151616
157  0.268  #161615
158  0.268  #161616
159  0.269  #161617
160  0.27  #171616
161  0.271  #171617
162  0.274  #161716
163  0.275  #161717
164  0.275  #171716
165  0.276  #171717
166  0.277  #171718
167  0.277  #181717
168  0.278  #181718
169  0.282  #171817
170  0.283  #171818
171  0.283  #181817
172  0.284  #181818
173  0.284  #181819
174  0.284  #191818
175  0.284  #191819
176  0.284  #181918
177  0.284  #181919
178  0.284  #191918
179  0.284  #191919
