#  lumResponse vers. 1.5b - 05/08/03
#  Display ID: DELL_1900FP_ARQ0
#  iLdelay = 1   avgN = 1   ILlimit = 0.50
1  58.9  #ff0000
2  169.0  #00ff00
3  28.2  #0000ff
4  0.269  #000000
5  0.268  #000001
6  0.268  #010000
7  0.268  #010001
8  0.269  #000100
9  0.268  #000101
10  0.268  #010100
11  0.268  #010101
12  0.269  #010102
13  0.269  #020101
14  0.268  #020102
15  0.268  #010201
16  0.268  #010202
17  0.268  #020201
18  0.268  #020202
19  0.268  #020203
20  0.268  #030202
21  0.268  #030203
22  0.271  #020302
23  0.272  #020303
24  0.271  #030302
25  0.272  #030303
26  0.272  #030304
27  0.272  #040303
28  0.272  #040304
29  0.273  #030403
30  0.272  #030404
31  0.272  #040403
32  0.272  #040404
33  0.272  #040405
34  0.272  #050404
35  0.272  #050405
36  0.272  #040504
37  0.272  #040505
38  0.272  #050504
39  0.271  #050505
40  0.272  #050506
41  0.271  #060505
42  0.272  #060506
43  0.273  #050605
44  0.274  #050606
45  0.273  #060605
46  0.273  #060606
47  0.273  #060607
48  0.274  #070606
49  0.274  #070607
50  0.274  #060706
51  0.274  #060707
52  0.273  #070706
53  0.274  #070707
54  0.274  #070708
55  0.273  #080707
56  0.274  #080708
57  0.275  #070807
58  0.276  #070808
59  0.275  #080807
60  0.276  #080808
61  0.276  #080809
62  0.276  #090808
63  0.276  #090809
64  0.276  #080908
65  0.276  #080909
66  0.276  #090908
67  0.276  #090909
68  0.276  #09090a
69  0.276  #0a0909
70  0.276  #0a090a
71  0.278  #090a09
72  0.279  #090a0a
73  0.278  #0a0a09
74  0.279  #0a0a0a
75  0.279  #0a0a0b
76  0.279  #0b0a0a
77  0.279  #0b0a0b
78  0.279  #0a0b0a
79  0.279  #0a0b0b
80  0.279  #0b0b0a
81  0.279  #0b0b0b
82  0.28  #0b0b0c
83  0.28  #0c0b0b
84  0.281  #0c0b0c
85  0.282  #0b0c0b
86  0.282  #0b0c0c
87  0.283  #0c0c0b
88  0.284  #0c0c0c
89  0.284  #0c0c0d
90  0.284  #0d0c0c
91  0.284  #0d0c0d
92  0.284  #0c0d0c
