#  lumResponse vers. 1.5b - 05/09/03
#  Display ID: DELL_1900FP_ARW7
#  iLdelay = 1   avgN = 1   ILlimit = 0.50
1  67.1  #ff0000
2  189.0  #00ff00
3  29.9  #0000ff
4  0.318  #000000
5  0.318  #000001
6  0.318  #010000
7  0.318  #010001
8  0.318  #000100
9  0.318  #000101
10  0.318  #010100
11  0.318  #010101
12  0.318  #010102
13  0.317  #020101
14  0.318  #020102
15  0.318  #010201
16  0.318  #010202
17  0.318  #020201
18  0.318  #020202
19  0.318  #020203
20  0.318  #030202
21  0.318  #030203
22  0.321  #020302
23  0.322  #020303
24  0.322  #030302
25  0.322  #030303
26  0.322  #030304
27  0.322  #040303
28  0.322  #040304
29  0.322  #030403
30  0.322  #030404
31  0.322  #040403
32  0.322  #040404
33  0.322  #040405
34  0.322  #050404
35  0.322  #050405
36  0.322  #040504
37  0.322  #040505
38  0.322  #050504
39  0.322  #050505
40  0.322  #050506
41  0.322  #060505
42  0.322  #060506
43  0.324  #050605
44  0.324  #050606
45  0.323  #060605
46  0.324  #060606
47  0.324  #060607
48  0.324  #070606
49  0.324  #070607
50  0.324  #060706
51  0.324  #060707
52  0.324  #070706
53  0.324  #070707
54  0.324  #070708
55  0.324  #080707
56  0.324  #080708
57  0.326  #070807
58  0.326  #070808
59  0.325  #080807
60  0.326  #080808
61  0.326  #080809
62  0.326  #090808
63  0.325  #090809
64  0.325  #080908
65  0.325  #080909
66  0.325  #090908
67  0.325  #090909
68  0.326  #09090a
69  0.325  #0a0909
70  0.326  #0a090a
71  0.328  #090a09
72  0.328  #090a0a
73  0.328  #0a0a09
74  0.328  #0a0a0a
75  0.328  #0a0a0b
76  0.328  #0b0a0a
77  0.328  #0b0a0b
78  0.328  #0a0b0a
79  0.329  #0a0b0b
80  0.329  #0b0b0a
81  0.329  #0b0b0b
82  0.329  #0b0b0c
83  0.33  #0c0b0b
84  0.331  #0c0b0c
85  0.331  #0b0c0b
86  0.332  #0b0c0c
87  0.333  #0c0c0b
88  0.334  #0c0c0c
89  0.334  #0c0c0d
90  0.334  #0d0c0c
91  0.334  #0d0c0d
92  0.334  #0c0d0c
93  0.334  #0c0d0d
94  0.334  #0d0d0c
95  0.334  #0d0d0d
96  0.335  #0d0d0e
97  0.335  #0e0d0d
98  0.335  #0e0d0e
99  0.338  #0d0e0d
100  0.338  #0d0e0e
101  0.338  #0e0e0d
102  0.339  #0e0e0e
103  0.339  #0e0e0f
104  0.339  #0f0e0e
105  0.338  #0f0e0f
106  0.339  #0e0f0e
107  0.339  #0e0f0f
108  0.339  #0f0f0e
109  0.339  #0f0f0f
110  0.34  #0f0f10
111  0.34  #100f0f
112  0.341  #100f10
113  0.343  #0f100f
114  0.344  #0f1010
115  0.344  #10100f
116  0.345  #101010
117  0.345  #101011
118  0.345  #111010
119  0.345  #111011
120  0.345  #101110
121  0.345  #101111
122  0.345  #111110
123  0.345  #111111
124  0.346  #111112
125  0.346  #121111
126  0.347  #121112
127  0.349  #111211
128  0.35  #111212
129  0.351  #121211
130  0.352  #121212
131  0.351  #121213
132  0.352  #131212
133  0.352  #131213
134  0.352  #121312
135  0.352  #121313
136  0.352  #131312
137  0.351  #131313
138  0.352  #131314
139  0.353  #141313
140  0.354  #141314
141  0.357  #131413
142  0.358  #131414
143  0.358  #141413
144  0.359  #141414
145  0.36  #141415
146  0.361  #151414
147  0.362  #151415
148  0.365  #141514
149  0.366  #141515
150  0.366  #151514
151  0.367  #151515
152  0.367  #151516
153  0.367  #161515
154  0.367  #161516
155  0.367  #151615
156  0.367  #151616
157  0.367  #161615
158  0.367  #161616
159  0.369  #161617
160  0.369  #171616
161  0.37  #171617
162  0.374  #161716
163  0.376  #161717
164  0.376  #171716
165  0.377  #171717
166  0.379  #171718
167  0.379  #181717
168  0.38  #181718
169  0.384  #171817
170  0.386  #171818
171  0.386  #181817
172  0.388  #181818
173  0.388  #181819
174  0.388  #191818
