#  lumResponse vers. 1.5b - 04/30/03
#  Display ID: DELL_1900FP_ATTG
#  iLdelay = 1   avgN = 1   ILlimit = 0.50
1  57.4  #ff0000
2  172.0  #00ff00
3  28.4  #0000ff
4  0.248  #000000
5  0.248  #000001
6  0.248  #010000
7  0.248  #010001
8  0.248  #000100
9  0.248  #000101
10  0.248  #010100
11  0.248  #010101
12  0.248  #010102
13  0.248  #020101
14  0.248  #020102
15  0.248  #010201
16  0.248  #010202
17  0.248  #020201
18  0.248  #020202
19  0.248  #020203
20  0.248  #030202
21  0.248  #030203
22  0.252  #020302
23  0.252  #020303
24  0.252  #030302
25  0.252  #030303
26  0.252  #030304
27  0.252  #040303
28  0.252  #040304
29  0.252  #030403
30  0.252  #030404
31  0.252  #040403
32  0.252  #040404
33  0.252  #040405
34  0.252  #050404
35  0.252  #050405
36  0.252  #040504
37  0.252  #040505
38  0.252  #050504
39  0.252  #050505
40  0.252  #050506
41  0.252  #060505
42  0.252  #060506
43  0.253  #050605
44  0.254  #050606
45  0.254  #060605
46  0.254  #060606
47  0.254  #060607
48  0.254  #070606
49  0.254  #070607
50  0.254  #060706
51  0.254  #060707
52  0.254  #070706
53  0.254  #070707
54  0.254  #070708
55  0.254  #080707
56  0.254  #080708
57  0.255  #070807
58  0.256  #070808
59  0.255  #080807
60  0.256  #080808
61  0.256  #080809
62  0.256  #090808
63  0.256  #090809
64  0.256  #080908
65  0.256  #080909
66  0.256  #090908
67  0.256  #090909
68  0.257  #09090a
69  0.256  #0a0909
70  0.257  #0a090a
71  0.258  #090a09
72  0.259  #090a0a
73  0.258  #0a0a09
74  0.259  #0a0a0a
75  0.259  #0a0a0b
76  0.259  #0b0a0a
77  0.259  #0b0a0b
78  0.259  #0a0b0a
79  0.259  #0a0b0b
80  0.258  #0b0b0a
81  0.259  #0b0b0b
82  0.26  #0b0b0c
83  0.261  #0c0b0b
84  0.261  #0c0b0c
85  0.262  #0b0c0b
86  0.262  #0b0c0c
87  0.263  #0c0c0b
88  0.264  #0c0c0c
89  0.264  #0c0c0d
90  0.264  #0d0c0c
91  0.264  #0d0c0d
92  0.264  #0c0d0c
93  0.264  #0c0d0d
94  0.264  #0d0d0c
95  0.264  #0d0d0d
96  0.265  #0d0d0e
97  0.265  #0e0d0d
98  0.265  #0e0d0e
99  0.267  #0d0e0d
100  0.268  #0d0e0e
101  0.268  #0e0e0d
102  0.269  #0e0e0e
