# LutGenerate 2.2 - 03/18/04
#  Display ID: DELL_1901FP_ADQK
# Ambient = 0.10   Max. Luminence = 216.00   Luminence Ratio = 350.00
#  lumResponse vers. 1.5b - 01/16/04
#  iLdelay=1  avgN=1  ILlimit=0.50  R=27.8% G=63.5% B=8.7%
1:  016  017  016
2:  018  017  018
3:  018  018  019
4:  018  019  019
5:  020  019  020
6:  020  020  021
7:  020  021  021
8:  022  021  021
9:  021  022  022
10:  023  022  022
11:  022  023  023
12:  024  023  023
13:  023  024  024
14:  024  024  025
15:  024  025  024
16:  025  025  024
17:  026  025  025
18:  025  026  026
19:  026  026  027
20:  027  026  027
21:  027  027  026
22:  028  027  027
23:  027  028  027
24:  028  028  028
25:  029  028  029
26:  028  029  029
27:  029  029  030
28:  029  030  029
29:  030  030  029
30:  031  030  030
31:  030  031  030
32:  031  031  030
33:  032  031  032
34:  031  032  031
35:  032  032  032
36:  032  033  032
37:  033  033  034
38:  033  034  033
39:  034  034  033
40:  035  034  035
41:  035  035  034
42:  036  035  036
43:  035  036  036
44:  037  036  036
45:  036  037  037
46:  037  037  038
47:  037  038  038
48:  038  038  039
49:  038  039  038
50:  039  039  039
51:  039  040  039
52:  040  040  041
53:  040  041  040
54:  041  041  042
55:  041  042  041
56:  043  042  042
57:  042  043  043
58:  044  043  043
59:  043  044  044
60:  044  044  045
61:  044  045  045
62:  045  045  046
63:  045  046  045
64:  047  046  046
65:  046  047  047
66:  048  047  047
67:  047  048  048
68:  049  048  049
69:  049  049  048
70:  050  049  050
71:  050  050  050
72:  050  051  051
73:  051  051  052
74:  051  052  052
75:  053  052  052
76:  053  053  052
77:  054  053  054
78:  054  054  054
79:  054  055  054
80:  056  055  055
81:  055  056  056
82:  057  056  057
83:  057  057  057
84:  057  058  057
85:  059  058  058
86:  059  059  058
87:  060  059  060
88:  060  060  061
89:  060  061  061
90:  062  061  062
91:  062  062  062
92:  062  063  062
93:  064  063  063
94:  064  064  063
95:  064  065  064
96:  066  065  065
97:  066  066  065
98:  066  067  066
99:  067  067  068
100:  067  068  068
101:  068  069  068
102:  070  069  069
103:  070  070  069
104:  070  071  070
105:  072  071  071
106:  072  072  071
107:  072  073  073
108:  074  073  073
109:  074  074  075
110:  075  075  074
111:  075  076  075
112:  077  076  076
113:  077  077  078
114:  078  078  077
115:  078  079  078
116:  080  079  079
117:  081  080  080
118:  081  081  080
119:  081  082  082
120:  082  083  082
121:  083  084  083
122:  084  085  084
123:  086  085  085
124:  086  086  085
125:  086  087  087
126:  087  088  087
127:  089  088  088
128:  090  089  089
129:  090  090  091
130:  091  091  092
131:  092  092  091
132:  092  093  093
133:  094  093  094
134:  095  094  094
135:  096  095  095
136:  096  096  097
137:  097  097  097
138:  098  098  097
139:  099  099  098
140:  100  100  099
141:  100  101  101
142:  101  102  101
143:  102  103  103
144:  103  104  103
145:  104  105  104
146:  105  106  105
147:  106  107  106
148:  107  108  107
149:  108  109  108
150:  109  110  109
151:  110  111  110
152:  111  112  111
153:  112  113  112
154:  113  114  113
155:  114  115  115
156:  115  116  115
157:  116  117  117
158:  117  118  118
159:  118  119  119
160:  120  120  119
161:  121  121  120
162:  122  122  123
163:  123  123  122
164:  124  124  124
165:  125  125  126
166:  127  126  126
167:  128  127  128
168:  129  128  129
169:  129  130  129
170:  130  131  130
171:  131  132  132
172:  133  133  132
173:  134  134  134
174:  135  135  136
175:  137  136  136
176:  138  137  138
177:  139  138  138
178:  139  140  139
179:  140  141  141
180:  142  142  141
181:  143  143  142
182:  144  144  144
183:  146  145  145
184:  147  146  147
185:  147  148  147
186:  149  149  148
187:  150  150  150
188:  152  151  151
189:  153  152  152
190:  153  154  153
191:  155  155  154
192:  156  156  157
193:  158  157  157
194:  158  159  158
195:  160  160  159
196:  161  161  161
197:  163  162  163
198:  163  164  164
199:  165  165  166
200:  167  166  167
201:  167  168  167
202:  169  169  170
203:  171  170  171
204:  171  172  172
205:  173  173  172
206:  174  174  175
207:  176  175  176
208:  176  177  177
209:  179  178  178
210:  180  179  179
211:  180  181  181
212:  182  182  183
213:  184  183  184
214:  185  185  185
215:  187  186  187
216:  188  188  187
217:  190  189  189
218:  190  191  190
219:  192  192  193
220:  193  194  193
221:  196  195  196
222:  197  197  196
223:  198  199  198
224:  200  200  201
225:  201  202  202
226:  203  203  204
227:  206  205  205
228:  207  207  207
229:  208  209  209
230:  211  210  211
231:  213  212  212
232:  214  214  214
233:  215  216  216
234:  217  218  217
235:  219  219  220
236:  222  221  221
237:  222  223  223
238:  225  225  225
239:  227  226  226
240:  228  229  228
241:  230  230  229
242:  232  232  231
243:  234  233  234
244:  235  236  236
245:  237  238  238
246:  239  240  239
247:  241  241  242
248:  242  243  243
249:  244  245  244
250:  247  246  246
251:  248  248  247
252:  249  250  249
253:  251  251  251
254:  253  252  253
255:  253  254  253
256:  254  255  255
