# LutGenerate 2.2 - 03/14/05
#  Display ID: FP1905-4A5ABYU
# Ambient = 0.30   Max. Luminence = 260.00   Luminence Ratio = 350.00
#  lumResponse vers. 1.5c - 03/11/05
#  iLdelay=1  avgN=1  ILlimit=0.50  R=19.5% G=72.2% B=8.4%
1:  013  012  012
2:  013  013  014
3:  013  014  013
4:  015  014  015
5:  015  015  014
6:  016  015  016
7:  016  016  015
8:  016  016  017
9:  016  017  016
10:  018  017  017
11:  017  018  017
12:  018  018  017
13:  019  018  019
14:  018  019  018
15:  019  019  018
16:  020  019  019
17:  020  019  020
18:  019  020  019
19:  020  020  021
20:  021  020  021
21:  020  021  020
22:  021  021  020
23:  022  021  021
24:  022  021  022
25:  021  022  021
26:  022  022  022
27:  023  022  022
28:  023  022  023
29:  022  023  022
30:  023  023  023
31:  024  023  023
32:  024  023  024
33:  023  024  023
34:  024  024  024
35:  025  024  024
36:  025  024  025
37:  024  025  025
38:  025  025  025
39:  026  025  026
40:  025  026  025
41:  025  026  026
42:  026  026  026
43:  027  026  027
44:  026  027  026
45:  026  027  027
46:  027  027  028
47:  028  027  028
48:  027  028  027
49:  028  028  028
50:  029  028  028
51:  028  029  028
52:  029  029  028
53:  030  029  029
54:  029  030  029
55:  030  030  029
56:  031  030  030
57:  031  030  031
58:  030  031  031
59:  031  031  032
60:  032  031  032
61:  031  032  032
62:  032  032  033
63:  032  033  032
64:  034  033  034
65:  033  034  034
66:  035  034  034
67:  034  035  035
68:  036  035  036
69:  035  036  036
70:  037  036  037
71:  037  037  036
72:  038  037  038
73:  038  038  038
74:  038  039  038
75:  040  039  039
76:  039  040  039
77:  041  040  041
78:  041  041  041
79:  041  042  041
80:  043  042  042
81:  042  043  043
82:  044  043  044
83:  044  044  044
84:  044  045  044
85:  046  045  046
86:  046  046  045
87:  046  047  046
88:  048  047  047
89:  048  048  047
90:  048  049  048
91:  050  049  049
92:  051  050  050
93:  051  051  050
94:  051  052  051
95:  053  052  052
96:  053  053  052
97:  053  054  053
98:  055  054  054
99:  056  055  055
100:  056  056  056
101:  056  057  056
102:  057  058  057
103:  059  058  059
104:  059  059  059
105:  060  060  059
106:  060  061  061
107:  062  061  062
108:  063  062  063
109:  064  063  063
110:  064  064  064
111:  065  065  066
112:  065  066  066
113:  066  067  066
114:  068  067  068
115:  069  068  069
116:  070  069  069
117:  070  070  071
118:  071  071  070
119:  071  072  072
120:  072  073  072
121:  074  073  073
122:  075  074  074
123:  075  075  076
124:  075  076  076
125:  076  077  076
126:  077  078  077
127:  078  079  078
128:  080  079  079
129:  080  080  081
130:  082  081  081
131:  083  082  083
132:  083  083  084
133:  084  084  085
134:  085  085  085
135:  086  086  085
136:  087  087  087
137:  088  088  088
138:  089  089  089
139:  090  090  089
140:  091  091  090
141:  092  092  091
142:  093  093  092
143:  094  094  093
144:  095  095  094
145:  096  096  097
146:  098  097  097
147:  099  098  098
148:  099  099  100
149:  100  100  100
150:  101  101  100
151:  102  102  102
152:  103  103  102
153:  104  104  103
154:  105  105  104
155:  106  106  105
156:  107  107  106
157:  108  108  107
158:  109  109  109
159:  110  110  109
160:  111  111  112
161:  112  112  113
162:  114  113  114
163:  114  115  114
164:  115  116  115
165:  116  117  117
166:  118  118  117
167:  119  119  118
168:  120  120  120
169:  121  121  122
170:  123  122  123
171:  124  123  124
172:  124  125  124
173:  125  126  125
174:  126  127  126
175:  128  128  127
176:  130  129  130
177:  131  130  131
178:  131  132  131
179:  133  133  132
180:  134  134  135
181:  136  135  135
182:  137  136  137
183:  137  138  137
184:  138  139  138
185:  140  140  139
186:  141  141  141
187:  143  142  143
188:  143  144  143
189:  144  145  145
190:  147  146  146
191:  147  148  147
192:  148  149  149
193:  150  150  151
194:  152  151  151
195:  152  153  152
196:  154  154  153
197:  156  155  155
198:  156  157  156
199:  157  158  158
200:  159  159  160
201:  160  160  161
202:  162  162  162
203:  164  163  164
204:  165  164  164
205:  166  166  165
206:  168  167  167
207:  168  169  168
208:  169  170  170
209:  172  171  172
210:  172  173  172
211:  174  174  173
212:  176  175  175
213:  176  177  176
214:  179  178  179
215:  179  180  179
216:  182  181  181
217:  182  183  182
218:  184  184  183
219:  186  185  186
220:  187  187  186
221:  189  188  189
222:  189  190  190
223:  192  191  192
224:  193  193  194
225:  194  195  194
226:  197  196  197
227:  198  198  197
228:  199  200  199
229:  202  201  202
230:  203  203  202
231:  206  205  205
232:  206  207  206
233:  208  209  208
234:  209  210  210
235:  211  212  211
236:  213  214  213
237:  215  216  215
238:  217  217  218
239:  218  219  218
240:  220  221  220
241:  222  222  223
242:  223  224  223
243:  226  227  226
244:  228  229  228
245:  231  230  230
246:  232  233  232
247:  235  234  234
248:  236  236  236
249:  239  238  239
250:  239  240  240
251:  242  242  243
252:  244  244  245
253:  245  246  245
254:  248  247  247
255:  248  249  248
256:  250  251  250
