# LutGenerate 2.2 - 02/24/05
#  Display ID: FP1905-4A5-ABYU
# Ambient = 0.30   Max. Luminence = 265.00   Luminence Ratio = 350.00
#  lumResponse vers. 1.5c - 02/24/05
#  iLdelay=1  avgN=1  ILlimit=0.50  R=19.4% G=72.2% B=8.4%
1:  012  013  012
2:  014  013  014
3:  014  014  015
4:  014  015  014
5:  016  015  015
6:  015  016  015
7:  016  016  017
8:  016  017  016
9:  018  017  017
10:  017  018  017
11:  018  018  017
12:  019  018  019
13:  018  019  018
14:  019  019  018
15:  020  019  020
16:  019  020  019
17:  019  020  020
18:  021  020  020
19:  021  020  021
20:  020  021  020
21:  021  021  022
22:  022  021  022
23:  021  022  021
24:  022  022  021
25:  023  022  022
26:  023  022  023
27:  022  023  022
28:  023  023  023
29:  024  023  024
30:  023  024  023
31:  023  024  024
32:  024  024  025
33:  025  024  025
34:  024  025  024
35:  025  025  024
36:  025  025  026
37:  026  025  026
38:  025  026  025
39:  026  026  026
40:  027  026  026
41:  026  027  026
42:  026  027  027
43:  027  027  028
44:  028  027  028
45:  027  028  027
46:  028  028  028
47:  029  028  028
48:  028  029  028
49:  029  029  028
50:  030  029  030
51:  029  030  029
52:  030  030  030
53:  031  030  030
54:  030  031  030
55:  031  031  030
56:  032  031  031
57:  031  032  031
58:  032  032  031
59:  032  032  033
60:  033  033  033
61:  033  034  033
62:  034  034  034
63:  034  035  034
64:  035  035  036
65:  035  036  035
66:  037  036  036
67:  036  037  036
68:  038  037  037
69:  037  038  038
70:  039  038  039
71:  039  039  038
72:  039  040  039
73:  041  040  040
74:  040  041  041
75:  042  041  042
76:  042  042  043
77:  042  043  042
78:  044  043  044
79:  044  044  043
80:  044  045  044
81:  046  045  045
82:  045  046  046
83:  047  046  047
84:  047  047  048
85:  047  048  048
86:  048  049  048
87:  050  049  049
88:  050  050  051
89:  050  051  051
90:  052  051  052
91:  052  052  053
92:  052  053  053
93:  053  054  053
94:  055  054  054
95:  055  055  056
96:  056  056  055
97:  056  057  056
98:  058  057  058
99:  058  058  059
100:  059  059  058
101:  059  060  059
102:  060  061  060
103:  062  061  062
104:  062  062  063
105:  063  063  062
106:  064  064  063
107:  064  065  064
108:  065  066  065
109:  067  066  066
110:  068  067  068
111:  068  068  067
112:  068  069  069
113:  069  070  069
114:  070  071  070
115:  072  071  071
116:  073  072  072
117:  073  073  073
118:  073  074  074
119:  074  075  074
120:  075  076  075
121:  077  076  077
122:  078  077  077
123:  079  078  078
124:  079  079  079
125:  080  080  079
126:  080  081  081
127:  082  082  081
128:  082  083  083
129:  083  084  084
130:  084  085  084
131:  085  086  085
132:  086  087  086
133:  087  088  087
134:  088  089  088
135:  090  089  090
136:  091  090  090
137:  091  092  091
138:  092  093  092
139:  093  094  093
140:  094  095  094
141:  095  096  095
142:  096  097  096
143:  097  098  097
144:  098  099  098
145:  099  100  099
146:  100  101  100
147:  101  102  101
148:  103  102  102
149:  104  103  104
150:  105  104  105
151:  106  105  105
152:  107  106  107
153:  108  107  108
154:  108  109  108
155:  109  110  109
156:  110  111  110
157:  111  112  111
158:  112  113  112
159:  114  114  113
160:  115  115  115
161:  116  116  117
162:  117  117  118
163:  119  118  118
164:  119  120  119
165:  121  120  121
166:  121  122  121
167:  122  123  122
168:  123  124  123
169:  125  125  124
170:  126  126  126
171:  127  127  128
172:  128  128  128
173:  129  130  129
174:  130  131  131
175:  132  132  133
176:  134  133  133
177:  135  134  135
178:  136  135  136
179:  136  137  136
180:  137  138  138
181:  139  139  139
182:  141  140  140
183:  142  141  141
184:  142  143  142
185:  143  144  144
186:  146  145  146
187:  146  147  146
188:  147  148  148
189:  149  149  150
190:  151  150  150
191:  151  152  151
192:  152  153  153
193:  154  154  155
194:  156  155  156
195:  156  157  156
196:  158  158  158
197:  160  159  159
198:  160  161  160
199:  162  162  163
200:  164  163  164
201:  164  165  164
202:  166  166  167
203:  168  167  168
204:  168  169  168
205:  170  170  170
206:  172  171  172
207:  172  173  172
208:  174  174  175
209:  176  175  176
210:  177  177  176
211:  179  178  179
212:  179  180  179
213:  181  181  182
214:  182  183  182
215:  184  184  184
216:  186  185  186
217:  187  187  186
218:  189  188  189
219:  189  190  190
220:  192  191  191
221:  192  193  193
222:  194  195  194
223:  197  196  196
224:  197  198  198
225:  200  199  200
226:  202  201  201
227:  202  203  203
228:  204  205  204
229:  207  206  206
230:  208  208  207
231:  209  210  209
232:  211  212  211
233:  213  214  213
234:  215  216  215
235:  217  217  218
236:  219  219  218
237:  220  221  220
238:  222  223  222
239:  223  224  224
240:  226  226  226
241:  228  228  228
242:  230  230  229
243:  233  232  233
244:  234  234  234
245:  235  236  236
246:  238  238  239
247:  239  240  239
248:  242  242  242
249:  243  244  243
250:  245  246  245
251:  246  247  247
252:  248  249  248
253:  250  251  250
254:  251  252  252
255:  253  253  254
256:  254  255  255
