#  lumResponse - average luminance response
#  Display ID: GENERIC
#  6 files
#    59.9000 #ff0000
#   175.3670 #00ff00
#    24.5000 #0000ff
   1      0.2613  #000000    1   1 
   2      0.2615  #000001    1   2    0.00064
   3      0.2613  #010000    1   3   -0.00064
   4      0.2615  #010001    1   4    0.00064
   5      0.2615  #000100    1   5    0.00000
   6      0.2615  #000101    1   6    0.00000
   7      0.2617  #010100    1   7    0.00064
   8      0.2613  #010101    2   1   -0.00127
   9      0.2655  #010102    2   2    0.01582
  10      0.2735  #020101    2   3    0.02968
  11      0.2777  #020102    2   4    0.01512
  12      0.2872  #010201    2   5    0.03364
  13      0.2917  #010202    2   6    0.01555
  14      0.2998  #020201    2   7    0.02761
  15      0.3047  #020202    3   1    0.01599
  16      0.3057  #020203    3   2    0.00328
  17      0.3073  #030202    3   3    0.00544
  18      0.3083  #030203    3   4    0.00325
  19      0.3108  #020302    3   5    0.00808
  20      0.3118  #020303    3   6    0.00321
  21      0.3135  #030302    3   7    0.00533
  22      0.3145  #030303    4   1    0.00318
  23      0.3157  #030304    4   2    0.00370
  24      0.3173  #040303    4   3    0.00527
  25      0.3185  #040304    4   4    0.00367
  26      0.3218  #030403    4   5    0.01041
  27      0.3230  #030404    4   6    0.00362
  28      0.3245  #040403    4   7    0.00463
  29      0.3258  #040404    5   1    0.00410
  30      0.3270  #040405    5   2    0.00357
  31      0.3297  #050404    5   3    0.00812
  32      0.3305  #050405    5   4    0.00252
  33      0.3340  #040504    5   5    0.01053
  34      0.3355  #040505    5   6    0.00448
  35      0.3378  #050504    5   7    0.00693
  36      0.3393  #050505    6   1    0.00443
  37      0.3407  #050506    6   2    0.00392
  38      0.3433  #060505    6   3    0.00780
  39      0.3447  #060506    6   4    0.00388
  40      0.3487  #050605    6   5    0.01154
  41      0.3502  #050606    6   6    0.00429
  42      0.3528  #060605    6   7    0.00759
  43      0.3543  #060606    7   1    0.00424
  44      0.3560  #060607    7   2    0.00469
  45      0.3588  #070606    7   3    0.00793
  46      0.3608  #070607    7   4    0.00556
  47      0.3658  #060706    7   5    0.01376
  48      0.3675  #060707    7   6    0.00455
  49      0.3700  #070706    7   7    0.00678
  50      0.3723  #070707    8   1    0.00629
  51      0.3740  #070708    8   2    0.00447
  52      0.3778  #080707    8   3    0.01020
  53      0.3800  #080708    8   4    0.00572
  54      0.3857  #070807    8   5    0.01480
  55      0.3877  #070808    8   6    0.00517
  56      0.3912  #080807    8   7    0.00899
  57      0.3935  #080808    9   1    0.00595
  58      0.3962  #080809    9   2    0.00675
  59      0.4000  #090808    9   3    0.00963
  60      0.4028  #090809    9   4    0.00706
  61      0.4100  #080908    9   5    0.01763
  62      0.4125  #080909    9   6    0.00608
  63      0.4168  #090908    9   7    0.01045
  64      0.4192  #090909   10   1    0.00558
  65      0.4223  #09090a   10   2    0.00753
  66      0.4268  #0a0909   10   3    0.01060
  67      0.4298  #0a090a   10   4    0.00700
  68      0.4383  #090a09   10   5    0.01958
  69      0.4413  #090a0a   10   6    0.00682
  70      0.4462  #0a0a09   10   7    0.01089
  71      0.4490  #0a0a0a   11   1    0.00633
  72      0.4522  #0a0a0b   11   2    0.00703
  73      0.4588  #0b0a0a   11   3    0.01464
  74      0.4622  #0b0a0b   11   4    0.00724
  75      0.4718  #0a0b0a   11   5    0.02070
  76      0.4747  #0a0b0b   11   6    0.00599
  77      0.4818  #0b0b0a   11   7    0.01499
  78      0.4850  #0b0b0b   12   1    0.00655
  79      0.4890  #0b0b0c   12   2    0.00821
