# LutGenerate 2.4 - 03/27/07 11:42:34
#  Display ID: DELL_1907FPV_CC38867GACHC
# Ambient = 0.20   Max. Luminance = 235.00   Luminance Ratio = 350.00
#  lumResponse vers. 1.5d - 09/29/06
#  iLdelay=1  avgN=1  ILlimit=0.50  R=19.6% G=72.8% B=7.6%
1:  010  011  011
2:  011  012  011
3:  012  013  012
4:  014  013  014
5:  015  014  015
6:  015  015  016
7:  016  016  015
8:  016  017  016
9:  018  017  018
10:  019  018  018
11:  019  019  018
12:  019  020  019
13:  021  020  021
14:  021  021  022
15:  021  022  022
16:  023  022  023
17:  024  023  023
18:  023  024  024
19:  025  024  025
20:  025  025  026
21:  025  026  025
22:  027  026  027
23:  027  027  028
24:  027  028  027
25:  029  028  028
26:  028  029  028
27:  030  029  030
28:  030  030  030
29:  031  030  031
30:  031  031  030
31:  032  031  032
32:  032  032  031
33:  032  033  032
34:  033  033  034
35:  033  034  033
36:  035  034  035
37:  035  035  034
38:  035  036  035
39:  036  036  037
40:  036  037  036
41:  038  037  037
42:  037  038  038
43:  039  038  039
44:  039  039  039
45:  039  040  039
46:  040  040  041
47:  040  041  040
48:  042  041  042
49:  042  042  041
50:  043  042  043
51:  043  043  043
52:  043  044  043
53:  044  044  045
54:  044  045  044
55:  046  045  045
56:  045  046  046
57:  047  046  047
58:  047  047  046
59:  048  047  048
60:  048  048  048
61:  048  049  048
62:  050  049  049
63:  049  050  050
64:  051  050  051
65:  051  051  050
66:  051  052  051
67:  053  052  053
68:  053  053  052
69:  053  054  053
70:  054  054  055
71:  054  055  054
72:  056  055  056
73:  056  056  055
74:  056  057  056
75:  058  057  057
76:  057  058  058
77:  059  058  059
78:  059  059  059
79:  059  060  059
80:  061  060  060
81:  060  061  061
82:  062  061  062
83:  062  062  063
84:  062  063  062
85:  064  063  063
86:  064  064  063
87:  065  064  065
88:  065  065  064
89:  065  066  065
90:  067  066  066
91:  066  067  067
92:  068  067  068
93:  068  068  068
94:  068  069  068
95:  070  069  070
96:  070  070  069
97:  070  071  070
98:  072  071  071
99:  072  072  071
100:  072  073  072
101:  074  073  074
102:  074  074  073
103:  074  075  074
104:  076  075  076
105:  076  076  076
106:  076  077  076
107:  077  078  077
108:  079  078  079
109:  079  079  079
110:  079  080  079
111:  080  081  080
112:  082  081  082
113:  082  082  082
114:  082  083  083
115:  083  084  083
116:  085  084  084
117:  086  085  085
118:  086  086  085
119:  087  087  086
120:  087  088  087
121:  089  088  088
122:  090  089  089
123:  091  090  090
124:  090  091  091
125:  092  091  091
126:  092  092  091
127:  092  093  092
128:  094  093  093
129:  094  094  095
130:  094  095  094
131:  095  096  095
132:  097  096  097
133:  097  097  098
134:  098  098  097
135:  098  099  098
136:  100  099  100
137:  101  100  100
138:  101  101  102
139:  102  102  101
140:  102  103  102
141:  103  104  104
142:  104  105  104
143:  106  105  106
144:  107  106  107
145:  107  107  108
146:  108  108  109
147:  109  109  108
148:  109  110  110
149:  110  111  110
150:  111  112  111
151:  112  113  112
152:  113  114  113
153:  114  115  114
154:  116  115  116
155:  117  116  117
156:  118  117  118
157:  119  118  118
158:  120  119  119
159:  120  120  121
160:  121  121  121
161:  122  122  121
162:  123  123  123
163:  124  124  124
164:  124  125  125
165:  125  126  126
166:  126  127  126
167:  127  128  127
168:  130  129  130
169:  130  131  130
170:  131  132  132
171:  133  133  133
172:  134  134  135
173:  136  135  136
174:  136  137  136
175:  138  138  137
176:  140  139  139
177:  140  141  140
178:  141  142  142
179:  144  143  143
180:  144  145  144
181:  145  146  146
182:  147  147  148
183:  148  149  148
184:  150  150  149
185:  152  151  151
186:  152  153  152
187:  153  154  154
188:  156  155  156
189:  156  157  157
190:  159  158  158
191:  159  160  159
192:  161  161  161
193:  163  162  163
194:  163  164  163
195:  166  165  165
196:  166  167  166
197:  168  168  167
198:  170  169  170
199:  170  171  170
200:  172  172  173
201:  174  173  174
202:  174  175  175
203:  177  176  176
204:  177  178  177
205:  179  179  179
206:  180  181  180
207:  182  182  182
208:  184  183  184
209:  184  185  185
210:  187  186  186
211:  187  188  187
212:  189  189  188
213:  191  190  191
214:  191  192  191
215:  194  193  193
216:  194  195  194
217:  196  196  195
218:  198  197  197
219:  198  199  198
220:  200  200  201
221:  202  201  201
222:  203  203  202
223:  205  204  205
224:  205  206  206
225:  208  207  207
226:  208  209  208
227:  210  210  209
228:  212  211  212
229:  212  213  212
230:  215  214  214
231:  215  216  215
232:  218  217  217
233:  219  219  218
234:  220  221  220
235:  223  222  223
236:  224  224  224
237:  225  226  225
238:  227  228  227
239:  229  229  228
240:  230  231  231
241:  232  233  232
242:  234  235  234
243:  237  236  236
244:  238  238  238
245:  239  240  239
246:  242  241  241
247:  242  243  242
248:  244  244  244
249:  245  246  245
250:  246  247  246
251:  248  248  248
252:  250  249  250
253:  250  251  251
254:  252  252  253
255:  253  254  253
256:  255  255  254
