# LutGenerate 2.2 - 10/07/05
#  Display ID: DELL_2001FP_C064657T2NUL
# Ambient = 0.25   Max. Luminence = 244.00   Luminence Ratio = 300.00
#  lumResponse vers. 1.5d - 10/07/05
#  iLdelay=1  avgN=1  ILlimit=0.50  R=22.6% G=70.2% B=7.2%
1:  002  002  003
2:  006  005  006
3:  008  007  008
4:  008  009  008
5:  009  010  009
6:  010  011  010
7:  011  012  011
8:  012  013  012
9:  014  014  014
10:  014  015  015
11:  015  016  015
12:  017  016  017
13:  018  017  017
14:  018  018  017
15:  018  019  018
16:  020  019  020
17:  021  020  021
18:  022  021  022
19:  023  022  022
20:  023  023  023
21:  023  024  024
22:  024  025  024
23:  026  025  025
24:  026  026  025
25:  027  027  027
26:  027  028  027
27:  029  028  029
28:  029  029  029
29:  029  030  029
30:  031  030  031
31:  031  031  031
32:  031  032  031
33:  033  032  032
34:  033  033  033
35:  034  034  035
36:  034  035  035
37:  036  035  036
38:  036  036  037
39:  036  037  037
40:  037  038  037
41:  039  038  038
42:  039  039  038
43:  039  040  039
44:  040  041  040
45:  041  042  041
46:  043  042  042
47:  043  043  042
48:  043  044  043
49:  045  044  045
50:  046  045  045
51:  046  046  045
52:  046  047  046
53:  047  048  047
54:  048  049  048
55:  050  049  049
56:  050  050  049
57:  050  051  050
58:  052  051  052
59:  052  052  052
60:  052  053  053
61:  053  054  054
62:  054  055  054
63:  056  055  056
64:  056  056  057
65:  057  057  056
66:  057  058  057
67:  059  058  059
68:  059  059  060
69:  059  060  060
70:  061  061  061
71:  061  062  062
72:  062  063  062
73:  064  063  064
74:  064  064  064
75:  064  065  065
76:  065  066  065
77:  067  066  067
78:  067  067  067
79:  069  068  068
80:  068  069  069
81:  070  069  070
82:  070  070  071
83:  070  071  070
84:  072  071  071
85:  071  072  072
86:  073  072  073
87:  073  073  074
88:  073  074  073
89:  075  074  075
90:  076  075  076
91:  076  076  075
92:  076  077  076
93:  078  077  077
94:  077  078  078
95:  079  078  079
96:  079  079  079
97:  079  080  079
98:  081  080  081
99:  082  081  082
100:  082  082  081
101:  082  083  082
102:  084  083  083
103:  083  084  084
104:  085  084  085
105:  085  085  086
106:  085  086  085
107:  087  086  087
108:  087  087  086
109:  088  088  087
110:  088  089  088
111:  090  089  090
112:  090  090  089
113:  090  091  090
114:  092  091  091
115:  092  092  092
116:  092  093  092
117:  094  093  094
118:  095  094  095
119:  096  095  095
120:  097  096  096
121:  097  097  096
122:  098  097  097
123:  098  098  097
124:  098  099  098
125:  100  099  099
126:  101  100  100
127:  100  101  101
128:  102  102  102
129:  102  103  103
130:  103  104  103
131:  105  104  105
132:  105  105  105
133:  105  106  105
134:  106  107  106
135:  107  108  107
136:  108  109  108
137:  109  110  109
138:  111  110  111
139:  112  111  111
140:  112  112  111
141:  112  113  113
142:  113  114  113
143:  115  115  114
144:  116  116  115
145:  116  117  116
146:  117  118  117
147:  119  118  119
148:  120  119  119
149:  121  120  120
150:  122  121  122
151:  122  123  122
152:  124  123  123
153:  125  124  125
154:  126  125  126
155:  127  126  126
156:  128  127  127
157:  129  129  128
158:  130  130  129
159:  131  131  131
160:  132  132  131
161:  133  133  133
162:  135  134  135
163:  135  136  135
164:  136  137  136
165:  137  138  137
166:  139  138  139
167:  140  139  140
168:  141  140  141
169:  141  142  141
170:  143  143  142
171:  144  144  143
172:  145  145  144
173:  146  146  147
174:  147  147  147
175:  148  148  149
176:  149  150  149
177:  150  151  150
178:  151  152  151
179:  152  153  152
180:  153  154  153
181:  156  155  155
182:  157  156  157
183:  158  157  157
184:  159  158  159
185:  160  159  160
186:  160  161  160
187:  162  162  163
188:  163  163  164
189:  165  164  164
190:  166  165  166
191:  167  166  167
192:  168  167  168
193:  169  169  169
194:  171  170  170
195:  172  171  172
196:  173  172  173
197:  173  174  173
198:  174  175  174
199:  177  176  176
200:  178  177  177
201:  178  179  178
202:  179  180  179
203:  181  181  180
204:  182  183  182
205:  183  184  184
206:  185  185  185
207:  187  186  186
208:  188  187  188
209:  190  189  189
210:  191  190  191
211:  191  192  191
212:  193  193  192
213:  195  194  194
214:  196  196  196
215:  198  197  198
216:  198  199  198
217:  200  200  200
218:  202  201  202
219:  204  203  203
220:  205  204  205
221:  206  206  205
222:  207  207  208
223:  208  209  208
224:  210  210  210
225:  212  211  212
226:  212  213  212
227:  213  214  213
228:  215  215  215
229:  216  217  217
230:  218  218  218
231:  220  219  220
232:  220  221  220
233:  222  222  221
234:  223  224  223
235:  225  225  226
236:  227  226  227
237:  227  228  228
238:  229  230  229
239:  232  231  231
240:  232  233  232
241:  233  234  233
242:  235  235  234
243:  237  237  236
244:  239  238  238
245:  239  240  239
246:  241  241  242
247:  243  243  244
248:  245  244  244
249:  246  245  246
250:  246  247  246
251:  248  248  249
252:  249  250  249
253:  251  251  250
254:  253  252  253
255:  253  254  253
256:  255  255  254
