# LutGenerate 2.2 - 10/07/05
#  Display ID: DELL_2001FP_C064657T2P0L
# Ambient = 0.25   Max. Luminence = 252.00   Luminence Ratio = 300.00
#  lumResponse vers. 1.5d - 10/07/05
#  iLdelay=1  avgN=1  ILlimit=0.50  R=23.8% G=69.1% B=7.1%
1:  001  001  001
2:  001  002  001
3:  004  003  004
4:  006  006  006
5:  008  007  008
6:  008  009  008
7:  010  010  009
8:  011  011  010
9:  011  012  012
10:  012  013  012
11:  013  014  013
12:  014  015  015
13:  015  016  015
14:  017  016  017
15:  017  017  018
16:  017  018  018
17:  019  019  018
18:  019  020  019
19:  021  020  021
20:  021  021  022
21:  022  022  021
22:  022  023  022
23:  023  024  024
24:  024  025  024
25:  026  025  025
26:  026  026  026
27:  026  027  026
28:  028  027  028
29:  028  028  027
30:  029  029  028
31:  029  030  029
32:  031  030  031
33:  031  031  030
34:  031  032  031
35:  033  032  033
36:  033  033  032
37:  034  034  033
38:  034  035  034
39:  036  035  035
40:  035  036  036
41:  036  037  036
42:  038  037  037
43:  039  038  038
44:  039  039  038
45:  039  040  039
46:  041  040  040
47:  041  041  040
48:  041  042  041
49:  042  043  042
50:  044  043  044
51:  044  044  045
52:  044  045  045
53:  045  046  045
54:  047  046  046
55:  047  047  046
56:  048  048  048
57:  048  049  048
58:  050  049  050
59:  051  050  050
60:  051  051  050
61:  051  052  051
62:  053  052  052
63:  054  053  054
64:  054  054  053
65:  054  055  054
66:  056  055  056
67:  057  056  056
68:  058  057  057
69:  058  058  057
70:  058  059  058
71:  060  059  060
72:  060  060  061
73:  060  061  061
74:  062  062  062
75:  062  063  062
76:  064  063  064
77:  064  064  065
78:  065  065  064
79:  065  066  065
80:  066  067  066
81:  068  067  068
82:  069  068  069
83:  069  069  069
84:  069  070  069
85:  071  070  071
86:  071  071  070
87:  072  072  071
88:  073  072  073
89:  073  073  074
90:  073  074  073
91:  075  074  075
92:  075  075  074
93:  075  076  076
94:  077  076  077
95:  077  077  077
96:  077  078  077
97:  079  078  078
98:  078  079  079
99:  080  079  080
100:  081  080  080
101:  082  081  081
102:  081  082  081
103:  083  082  083
104:  083  083  082
105:  084  083  084
106:  084  084  085
107:  084  085  084
108:  086  085  085
109:  087  086  087
110:  087  087  086
111:  087  088  087
112:  088  088  089
113:  088  089  089
114:  090  089  090
115:  090  090  090
116:  091  091  091
117:  091  092  091
118:  092  093  092
119:  094  093  094
120:  093  094  093
121:  095  094  094
122:  096  095  095
123:  096  096  095
124:  096  097  096
125:  098  097  098
126:  098  098  099
127:  098  099  098
128:  100  099  099
129:  101  100  100
130:  101  101  101
131:  101  102  102
132:  103  102  102
133:  104  103  103
134:  104  104  104
135:  105  105  105
136:  105  106  106
137:  107  106  107
138:  108  107  107
139:  108  108  107
140:  108  109  108
141:  109  110  109
142:  110  111  110
143:  112  111  112
144:  113  112  112
145:  113  113  112
146:  114  114  115
147:  115  115  114
148:  115  116  115
149:  116  117  116
150:  118  117  118
151:  119  118  118
152:  120  119  120
153:  121  120  120
154:  121  121  122
155:  122  122  122
156:  123  123  123
157:  125  124  124
158:  125  125  126
159:  126  126  125
160:  127  127  126
161:  127  128  128
162:  130  129  129
163:  131  130  130
164:  131  131  132
165:  132  132  133
166:  134  133  134
167:  134  135  134
168:  135  136  135
169:  136  137  136
170:  138  138  138
171:  139  139  138
172:  140  140  141
173:  141  141  142
174:  142  142  142
175:  144  143  144
176:  145  144  144
177:  146  145  145
178:  147  146  147
179:  147  148  147
180:  148  149  148
181:  149  150  149
182:  150  151  150
183:  152  152  153
184:  154  153  153
185:  155  154  155
186:  156  155  156
187:  157  156  157
188:  157  158  158
189:  158  159  159
190:  160  160  159
191:  161  161  162
192:  163  162  163
193:  164  163  163
194:  164  165  164
195:  166  166  167
196:  167  167  168
197:  169  168  168
198:  170  169  170
199:  170  171  170
200:  172  172  172
201:  173  173  173
202:  175  174  174
203:  176  175  176
204:  176  177  177
205:  178  178  178
206:  179  179  180
207:  181  180  180
208:  181  182  182
209:  183  183  184
210:  185  184  185
211:  186  186  185
212:  187  187  188
213:  189  188  188
214:  190  190  190
215:  191  191  192
216:  193  192  193
217:  193  194  193
218:  196  195  195
219:  196  197  196
220:  198  198  199
221:  200  199  200
222:  201  201  201
223:  203  202  203
224:  205  204  204
225:  205  206  205
226:  207  207  207
227:  209  209  208
228:  211  210  210
229:  211  212  211
230:  213  213  213
231:  215  215  214
232:  217  216  216
233:  217  218  217
234:  219  220  219
235:  220  221  220
236:  222  222  222
237:  223  224  224
238:  226  225  226
239:  226  227  227
240:  228  229  228
241:  230  230  230
242:  231  232  231
243:  233  234  233
244:  234  235  235
245:  236  236  236
246:  238  238  237
247:  240  239  240
248:  242  241  241
249:  243  243  242
250:  245  244  245
251:  247  246  246
252:  248  248  247
253:  249  250  249
254:  251  251  250
255:  253  253  253
256:  254  255  254
