# LutGenerate 2.2 - 10/05/05
#  Display ID: DELL_2001FP_C064657T2PAL
# Ambient = 0.25   Max. Luminence = 246.00   Luminence Ratio = 300.00
#  lumResponse vers. 1.5d - 10/05/05
#  iLdelay=1  avgN=1  ILlimit=0.50  R=21.9% G=70.8% B=7.3%
1:  005  005  005
2:  006  007  006
3:  008  008  007
4:  009  009  009
5:  011  010  011
6:  012  011  012
7:  013  012  013
8:  014  013  014
9:  015  014  014
10:  015  015  016
11:  015  016  016
12:  016  017  016
13:  018  017  018
14:  019  018  018
15:  020  019  020
16:  020  020  021
17:  021  021  020
18:  021  022  021
19:  022  023  022
20:  024  023  024
21:  024  024  025
22:  025  025  024
23:  025  026  025
24:  027  026  027
25:  027  027  026
26:  028  028  029
27:  028  029  029
28:  030  029  030
29:  030  030  031
30:  030  031  031
31:  032  031  032
32:  033  032  032
33:  032  033  033
34:  033  034  033
35:  035  034  035
36:  035  035  034
37:  035  036  035
38:  037  036  037
39:  038  037  038
40:  038  038  038
41:  038  039  038
42:  039  040  039
43:  041  040  041
44:  041  041  041
45:  041  042  042
46:  042  043  042
47:  044  043  043
48:  044  044  043
49:  044  045  044
50:  045  046  046
51:  046  047  046
52:  048  047  048
53:  048  048  048
54:  048  049  048
55:  050  049  050
56:  050  050  051
57:  051  051  050
58:  051  052  051
59:  053  052  053
60:  053  053  054
61:  053  054  054
62:  055  055  054
63:  055  056  055
64:  057  056  057
65:  058  057  057
66:  058  058  058
67:  058  059  058
68:  060  059  060
69:  061  060  060
70:  061  061  061
71:  061  062  061
72:  062  063  062
73:  064  063  064
74:  064  064  065
75:  066  065  065
76:  066  066  065
77:  066  067  066
78:  068  067  068
79:  068  068  069
80:  068  069  068
81:  070  069  070
82:  070  070  069
83:  070  071  070
84:  071  071  072
85:  071  072  071
86:  073  072  073
87:  073  073  074
88:  074  074  075
89:  074  075  074
90:  076  075  076
91:  075  076  076
92:  077  076  077
93:  078  077  077
94:  077  078  077
95:  079  078  079
96:  079  079  079
97:  079  080  079
98:  081  080  080
99:  080  081  081
100:  082  081  082
101:  082  082  083
102:  083  083  084
103:  083  084  083
104:  085  084  085
105:  085  085  084
106:  085  086  085
107:  087  086  087
108:  087  087  086
109:  087  088  087
110:  089  088  089
111:  089  089  088
112:  089  090  089
113:  090  091  090
114:  092  091  091
115:  093  092  092
116:  093  093  093
117:  093  094  094
118:  094  095  094
119:  096  095  096
120:  097  096  096
121:  096  097  096
122:  098  097  097
123:  098  098  097
124:  098  099  098
125:  100  099  099
126:  100  100  100
127:  102  101  101
128:  102  102  101
129:  102  103  102
130:  104  103  103
131:  104  104  105
132:  105  105  104
133:  105  106  105
134:  106  107  106
135:  108  107  108
136:  108  108  108
137:  109  109  108
138:  110  110  111
139:  111  111  110
140:  111  112  111
141:  112  113  112
142:  113  114  113
143:  115  114  115
144:  115  115  116
145:  116  116  116
146:  117  117  116
147:  118  118  117
148:  119  119  119
149:  120  120  120
150:  121  121  120
151:  122  122  121
152:  122  123  123
153:  123  124  124
154:  124  125  125
155:  125  126  125
156:  126  127  126
157:  127  128  127
158:  130  129  129
159:  131  130  130
160:  132  131  132
161:  133  132  133
162:  134  133  134
163:  135  134  134
164:  136  135  135
165:  137  136  136
166:  138  137  137
167:  139  138  139
168:  139  140  140
169:  140  141  141
170:  141  142  141
171:  142  143  142
172:  143  144  143
173:  144  145  144
174:  145  146  146
175:  147  147  147
176:  148  148  149
177:  149  149  149
178:  150  150  151
179:  152  151  151
180:  153  152  152
181:  154  153  154
182:  155  154  155
183:  155  156  155
184:  157  157  156
185:  158  158  157
186:  159  159  158
187:  160  160  160
188:  161  161  162
189:  163  162  163
190:  164  163  164
191:  164  165  164
192:  165  166  166
193:  167  167  167
194:  168  168  169
195:  170  169  169
196:  171  170  170
197:  172  171  172
198:  172  173  172
199:  174  174  175
200:  176  175  175
201:  177  176  177
202:  177  178  177
203:  178  179  179
204:  180  180  181
205:  182  181  181
206:  182  183  183
207:  184  184  185
208:  186  185  186
209:  186  187  186
210:  187  188  188
211:  189  189  190
212:  191  190  191
213:  191  192  192
214:  194  193  194
215:  194  195  194
216:  196  196  197
217:  198  197  198
218:  198  199  198
219:  200  200  201
220:  202  202  201
221:  204  203  203
222:  204  205  204
223:  205  206  206
224:  208  207  207
225:  208  209  208
226:  209  210  210
227:  211  212  211
228:  213  213  212
229:  215  214  214
230:  216  215  216
231:  216  217  217
232:  219  218  219
233:  220  220  221
234:  222  221  222
235:  223  223  223
236:  224  225  224
237:  226  226  227
238:  227  227  228
239:  229  229  230
240:  230  231  230
241:  232  232  233
242:  233  234  233
243:  236  235  235
244:  236  237  236
245:  239  238  239
246:  239  240  239
247:  240  241  241
248:  243  242  242
249:  244  244  243
250:  246  245  246
251:  247  247  246
252:  248  249  248
253:  249  250  250
254:  251  252  251
255:  253  253  252
256:  254  255  255
