# LutGenerate 2.2 - 10/07/05
#  Display ID: DELL_2001FP_C064657T36JL
# Ambient = 0.25   Max. Luminence = 252.00   Luminence Ratio = 300.00
#  lumResponse vers. 1.5d - 09/30/05
#  iLdelay=1  avgN=1  ILlimit=0.50  R=22.2% G=70.5% B=7.4%
1:  005  004  005
2:  007  006  007
3:  007  008  008
4:  009  009  008
5:  010  010  009
6:  011  011  010
7:  011  012  012
8:  012  013  012
9:  013  014  013
10:  014  015  014
11:  016  015  016
12:  017  016  017
13:  017  017  017
14:  017  018  017
15:  019  018  019
16:  019  019  020
17:  019  020  020
18:  020  021  020
19:  022  021  022
20:  023  022  023
21:  024  023  023
22:  024  024  023
23:  024  025  024
24:  026  025  026
25:  026  026  026
26:  026  027  026
27:  028  027  027
28:  028  028  028
29:  029  029  029
30:  029  030  029
31:  031  030  031
32:  031  031  030
33:  031  032  031
34:  033  032  033
35:  033  033  033
36:  033  034  033
37:  035  034  034
38:  035  035  034
39:  036  036  035
40:  036  037  036
41:  038  037  038
42:  038  038  039
43:  038  039  039
44:  040  039  040
45:  041  040  040
46:  041  041  040
47:  041  042  041
48:  042  043  042
49:  044  043  044
50:  045  044  044
51:  045  045  044
52:  045  046  045
53:  047  046  047
54:  047  047  048
55:  047  048  048
56:  049  048  049
57:  050  049  050
58:  051  050  051
59:  051  051  052
60:  051  052  052
61:  053  052  053
62:  054  053  054
63:  054  054  054
64:  054  055  055
65:  056  055  056
66:  057  056  056
67:  058  057  058
68:  058  058  058
69:  058  059  058
70:  059  060  059
71:  061  060  061
72:  061  061  062
73:  061  062  062
74:  062  063  062
75:  064  063  064
76:  064  064  065
77:  066  065  066
78:  066  066  067
79:  066  067  067
80:  067  068  067
81:  069  068  069
82:  068  069  069
83:  070  069  070
84:  071  070  070
85:  070  071  070
86:  072  071  072
87:  073  072  072
88:  072  073  073
89:  074  073  074
90:  074  074  075
91:  074  075  074
92:  076  075  076
93:  076  076  076
94:  076  077  076
95:  078  077  077
96:  077  078  078
97:  078  079  079
98:  080  079  080
99:  080  080  080
100:  080  081  080
101:  082  081  081
102:  082  082  082
103:  082  083  082
104:  084  083  083
105:  083  084  084
106:  085  084  084
107:  085  085  084
108:  086  086  086
109:  086  087  086
110:  088  087  087
111:  088  088  087
112:  088  089  088
113:  090  089  090
114:  090  090  091
115:  090  091  091
116:  091  092  091
117:  093  092  092
118:  094  093  094
119:  094  094  095
120:  094  095  094
121:  095  095  096
122:  095  096  095
123:  096  097  096
124:  098  097  097
125:  098  098  097
126:  098  099  098
127:  100  099  100
128:  101  100  100
129:  101  101  102
130:  101  102  102
131:  102  103  102
132:  104  103  104
133:  104  104  105
134:  105  105  104
135:  105  106  105
136:  106  107  106
137:  107  108  107
138:  109  108  108
139:  109  109  110
140:  110  110  109
141:  110  111  110
142:  112  111  111
143:  113  112  113
144:  114  113  113
145:  115  114  114
146:  116  115  115
147:  116  116  117
148:  117  117  116
149:  117  118  118
150:  118  119  118
151:  119  120  119
152:  121  121  120
153:  121  122  121
154:  122  123  122
155:  123  124  123
156:  124  125  124
157:  125  126  125
158:  127  126  127
159:  128  127  128
160:  129  129  128
161:  130  130  129
162:  131  131  130
163:  132  132  131
164:  133  133  132
165:  134  134  135
166:  135  135  136
167:  136  137  136
168:  138  137  137
169:  139  138  138
170:  140  139  140
171:  141  140  140
172:  142  141  142
173:  143  142  143
174:  143  144  143
175:  144  145  144
176:  145  146  146
177:  146  147  147
178:  147  148  148
179:  149  149  148
180:  151  150  151
181:  152  151  151
182:  152  153  152
183:  153  154  153
184:  154  155  154
185:  155  156  155
186:  158  157  157
187:  159  158  159
188:  160  159  160
189:  161  160  161
190:  161  162  161
191:  162  163  162
192:  164  164  165
193:  166  165  166
194:  167  166  166
195:  167  168  167
196:  168  169  168
197:  169  170  170
198:  172  171  172
199:  173  172  173
200:  173  174  173
201:  174  175  174
202:  176  176  175
203:  178  177  177
204:  178  179  178
205:  180  180  179
206:  181  181  182
207:  183  182  183
208:  183  184  183
209:  186  185  185
210:  186  187  186
211:  188  188  187
212:  189  189  190
213:  191  190  190
214:  191  192  192
215:  194  193  194
216:  194  195  194
217:  196  196  195
218:  198  197  198
219:  198  199  198
220:  200  201  200
221:  202  202  201
222:  204  203  204
223:  204  205  205
224:  207  206  206
225:  208  208  207
226:  210  209  209
227:  210  211  210
228:  212  212  211
229:  214  213  214
230:  215  215  214
231:  217  216  216
232:  217  218  217
233:  219  219  218
234:  221  221  221
235:  222  222  222
236:  223  224  223
237:  226  225  225
238:  226  227  226
239:  228  229  228
240:  230  230  231
241:  231  232  231
242:  233  233  233
243:  235  235  234
244:  237  236  236
245:  237  238  237
246:  239  239  240
247:  240  241  240
248:  242  243  242
249:  243  244  244
250:  246  245  246
251:  247  247  247
252:  249  248  248
253:  249  250  250
254:  251  252  251
255:  254  253  253
256:  255  255  254
