# LutGenerate 2.2 - 10/14/05
#  Display ID: DELL_2001FP_C064657T36NL
# Ambient = 0.25   Max. Luminence = 237.00   Luminence Ratio = 300.00
#  lumResponse vers. 1.5d - 10/14/05
#  iLdelay=1  avgN=1  ILlimit=0.50  R=21.3% G=71.2% B=7.5%
1:  006  007  006
2:  008  008  008
3:  009  009  010
4:  011  010  010
5:  011  012  011
6:  012  013  012
7:  014  013  014
8:  015  014  015
9:  016  015  015
10:  016  016  016
11:  016  017  016
12:  017  018  017
13:  019  018  019
14:  019  019  020
15:  020  020  019
16:  020  021  020
17:  021  022  022
18:  022  023  022
19:  024  023  024
20:  025  024  024
21:  025  025  024
22:  025  026  025
23:  027  026  027
24:  027  027  027
25:  027  028  027
26:  029  028  028
27:  029  029  029
28:  029  030  029
29:  031  030  031
30:  031  031  032
31:  031  032  032
32:  032  033  033
33:  034  033  034
34:  034  034  035
35:  034  035  035
36:  035  036  035
37:  037  036  036
38:  037  037  036
39:  037  038  037
40:  039  038  039
41:  039  039  039
42:  039  040  040
43:  041  040  041
44:  042  041  041
45:  042  042  041
46:  043  043  044
47:  043  044  044
48:  044  045  044
49:  046  045  045
50:  046  046  045
51:  046  047  046
52:  048  047  048
53:  048  048  049
54:  048  049  049
55:  049  050  049
56:  051  050  050
57:  051  051  050
58:  051  052  051
59:  053  052  053
60:  054  053  053
61:  055  054  054
62:  055  055  055
63:  055  056  055
64:  057  056  057
65:  057  057  058
66:  058  058  057
67:  058  059  058
68:  060  059  060
69:  061  060  060
70:  061  061  060
71:  061  062  061
72:  063  062  063
73:  063  063  064
74:  064  064  063
75:  065  065  066
76:  065  066  066
77:  067  066  067
78:  068  067  067
79:  067  068  067
80:  069  068  069
81:  069  069  069
82:  069  070  069
83:  071  070  071
84:  071  071  070
85:  071  072  071
86:  072  072  073
87:  072  073  072
88:  074  073  074
89:  074  074  073
90:  075  075  074
91:  075  076  075
92:  077  076  076
93:  076  077  077
94:  078  077  078
95:  078  078  079
96:  078  079  078
97:  080  079  080
98:  079  080  080
99:  081  080  081
100:  081  081  082
101:  081  082  081
102:  083  082  083
103:  083  083  082
104:  083  084  083
105:  085  084  085
106:  085  085  084
107:  086  086  085
108:  086  087  086
109:  088  087  087
110:  088  088  088
111:  088  089  088
112:  090  089  089
113:  090  090  089
114:  090  091  090
115:  092  091  091
116:  092  092  092
117:  092  093  093
118:  093  094  093
119:  095  094  095
120:  096  095  095
121:  096  096  096
122:  097  097  098
123:  097  098  097
124:  099  098  098
125:  099  099  099
126:  099  100  099
127:  101  100  100
128:  101  101  102
129:  102  102  101
130:  102  103  102
131:  104  103  103
132:  105  104  104
133:  105  105  105
134:  105  106  106
135:  107  107  107
136:  107  108  108
137:  108  109  108
138:  110  109  110
139:  110  110  111
140:  111  111  112
141:  112  112  111
142:  112  113  112
143:  113  114  113
144:  114  115  114
145:  116  115  115
146:  116  116  117
147:  118  117  118
148:  118  119  118
149:  120  119  120
150:  121  120  121
151:  122  121  121
152:  123  122  123
153:  124  123  123
154:  125  124  124
155:  126  125  126
156:  127  126  127
157:  128  127  128
158:  128  129  128
159:  130  130  129
160:  131  131  131
161:  132  132  132
162:  133  133  133
163:  134  134  134
164:  135  135  135
165:  136  136  135
166:  137  137  136
167:  138  138  137
168:  140  139  140
169:  141  140  140
170:  141  142  142
171:  143  142  143
172:  144  143  144
173:  144  145  144
174:  145  146  145
175:  146  147  147
176:  148  148  147
177:  149  149  148
178:  151  150  151
179:  151  151  152
180:  152  153  152
181:  153  154  153
182:  154  155  154
183:  155  156  156
184:  156  157  157
185:  158  158  158
186:  159  159  160
187:  161  160  160
188:  161  162  161
189:  162  163  162
190:  164  164  163
191:  165  165  166
192:  167  166  166
193:  168  167  168
194:  168  169  168
195:  169  170  169
196:  172  171  171
197:  173  172  173
198:  173  174  173
199:  174  175  174
200:  176  176  176
201:  178  177  177
202:  179  178  179
203:  179  180  179
204:  181  181  181
205:  182  183  182
206:  184  184  183
207:  185  185  186
208:  187  186  187
209:  187  188  188
210:  189  189  190
211:  191  190  191
212:  191  192  192
213:  193  194  193
214:  195  195  194
215:  197  196  197
216:  197  198  197
217:  200  199  199
218:  201  200  201
219:  201  202  201
220:  204  203  204
221:  204  205  204
222:  206  206  207
223:  208  207  208
224:  208  209  208
225:  210  210  210
226:  212  211  211
227:  212  213  212
228:  215  214  215
229:  215  216  215
230:  218  217  217
231:  219  218  219
232:  220  220  219
233:  222  221  222
234:  222  223  222
235:  224  224  224
236:  225  226  226
237:  227  228  227
238:  229  229  229
239:  230  230  230
240:  231  232  231
241:  234  233  233
242:  235  235  235
243:  236  237  236
244:  237  238  238
245:  240  239  240
246:  240  241  240
247:  242  242  241
248:  243  243  242
249:  243  244  244
250:  246  246  246
251:  248  247  247
252:  248  249  248
253:  251  250  251
254:  251  252  251
255:  253  253  252
256:  254  255  254
