# LutGenerate 2.2 - 09/30/05
#  Display ID: DELL_2001FP_C064657T375L
# Ambient = 0.25   Max. Luminence = 228.00   Luminence Ratio = 300.00
#  lumResponse vers. 1.5d - 09/30/05
#  iLdelay=1  avgN=1  ILlimit=0.50  R=22.6% G=70.2% B=7.2%
1:  002  001  002
2:  003  003  002
3:  005  006  006
4:  008  007  007
5:  009  008  009
6:  010  009  010
7:  011  011  010
8:  011  012  012
9:  012  013  012
10:  013  014  013
11:  015  014  015
12:  016  015  016
13:  016  016  017
14:  018  017  017
15:  018  018  017
16:  018  019  018
17:  020  019  020
18:  020  020  021
19:  021  021  020
20:  022  022  022
21:  022  023  023
22:  023  024  023
23:  025  024  024
24:  025  025  026
25:  025  026  026
26:  026  027  027
27:  028  027  028
28:  028  028  029
29:  028  029  029
30:  030  029  030
31:  030  030  031
32:  030  031  030
33:  032  031  032
34:  033  032  032
35:  034  033  034
36:  034  034  033
37:  034  035  034
38:  036  035  035
39:  035  036  035
40:  037  036  037
41:  038  037  037
42:  039  038  039
43:  039  039  038
44:  039  040  039
45:  041  040  040
46:  041  041  040
47:  041  042  041
48:  042  043  042
49:  044  043  044
50:  045  044  044
51:  045  045  044
52:  045  046  045
53:  047  046  047
54:  047  047  047
55:  047  048  047
56:  048  049  049
57:  050  049  050
58:  051  050  050
59:  051  051  050
60:  051  052  051
61:  053  052  053
62:  053  053  053
63:  054  054  055
64:  054  055  054
65:  056  055  056
66:  057  056  056
67:  057  057  056
68:  057  058  057
69:  058  059  058
70:  060  059  060
71:  060  060  061
72:  060  061  061
73:  061  062  061
74:  063  062  063
75:  063  063  064
76:  063  064  064
77:  065  065  064
78:  065  066  065
79:  067  066  067
80:  068  067  067
81:  068  068  067
82:  068  069  068
83:  070  069  070
84:  071  070  071
85:  071  071  070
86:  071  072  071
87:  073  072  072
88:  072  073  072
89:  074  073  074
90:  074  074  073
91:  074  075  075
92:  076  075  076
93:  076  076  077
94:  076  077  076
95:  078  077  078
96:  078  078  077
97:  079  078  079
98:  079  079  080
99:  079  080  079
100:  081  080  081
101:  082  081  082
102:  082  082  081
103:  082  083  082
104:  084  083  083
105:  083  084  083
106:  085  084  084
107:  085  085  084
108:  086  086  085
109:  086  087  086
110:  088  087  087
111:  087  088  087
112:  089  088  089
113:  089  089  089
114:  089  090  089
115:  090  091  090
116:  092  091  091
117:  092  092  091
118:  092  093  092
119:  094  093  094
120:  095  094  095
121:  095  095  095
122:  095  096  095
123:  096  097  097
124:  097  098  097
125:  097  098  098
126:  099  098  099
127:  099  099  100
128:  099  100  100
129:  100  101  100
130:  102  101  102
131:  103  102  102
132:  103  103  103
133:  103  104  104
134:  105  104  105
135:  106  105  105
136:  106  106  105
137:  107  107  107
138:  107  108  107
139:  108  109  108
140:  110  109  110
141:  110  110  110
142:  111  111  110
143:  111  112  111
144:  113  113  112
145:  113  114  113
146:  115  114  115
147:  116  115  115
148:  116  116  117
149:  117  117  116
150:  118  118  118
151:  119  119  119
152:  120  120  119
153:  120  121  120
154:  121  122  121
155:  122  123  122
156:  123  124  123
157:  124  125  124
158:  125  126  125
159:  127  126  126
160:  128  127  128
161:  128  129  128
162:  129  130  129
163:  130  131  130
164:  131  132  131
165:  132  133  132
166:  135  134  134
167:  136  135  135
168:  137  136  136
169:  138  137  138
170:  139  138  139
171:  139  140  139
172:  140  141  140
173:  141  142  141
174:  142  143  142
175:  143  144  143
176:  144  145  145
177:  145  146  146
178:  147  147  147
179:  148  148  147
180:  149  149  148
181:  151  150  151
182:  152  151  152
183:  152  153  152
184:  153  154  153
185:  155  155  155
186:  156  156  157
187:  158  157  157
188:  159  158  159
189:  160  159  160
190:  160  161  161
191:  161  162  162
192:  163  163  163
193:  164  164  165
194:  166  165  166
195:  166  167  166
196:  167  168  168
197:  169  169  168
198:  170  170  170
199:  171  172  171
200:  172  173  172
201:  173  174  174
202:  175  175  174
203:  177  176  176
204:  177  178  177
205:  178  179  179
206:  180  180  180
207:  182  181  182
208:  182  183  183
209:  184  184  183
210:  186  185  186
211:  187  187  186
212:  188  188  188
213:  190  189  190
214:  190  191  190
215:  192  192  192
216:  193  194  193
217:  195  195  195
218:  197  196  197
219:  198  198  198
220:  200  199  200
221:  200  201  200
222:  202  202  201
223:  203  204  203
224:  206  205  205
225:  206  207  206
226:  208  208  208
227:  210  210  210
228:  212  211  212
229:  212  213  212
230:  215  214  215
231:  215  216  215
232:  217  217  217
233:  218  219  218
234:  220  220  221
235:  222  221  222
236:  222  223  223
237:  225  224  224
238:  226  226  225
239:  228  227  228
240:  229  229  228
241:  230  231  231
242:  232  233  232
243:  233  234  233
244:  235  236  235
245:  238  237  237
246:  239  239  238
247:  241  240  240
248:  243  242  243
249:  244  244  243
250:  246  245  245
251:  248  247  247
252:  248  249  248
253:  250  250  249
254:  251  252  251
255:  253  254  253
256:  255  255  254
