# LutGenerate 2.2 - 10/07/05
#  Display ID: DELL_2001FP_C064657T37CL
# Ambient = 0.25   Max. Luminence = 232.00   Luminence Ratio = 300.00
#  lumResponse vers. 1.5d - 10/07/05
#  iLdelay=1  avgN=1  ILlimit=0.50  R=22.0% G=70.5% B=7.5%
1:  001  000  001
2:  002  001  001
3:  002  002  001
4:  004  005  004
5:  006  007  007
6:  008  008  009
7:  010  009  010
8:  011  010  011
9:  011  012  011
10:  012  013  012
11:  013  014  013
12:  015  014  015
13:  016  015  016
14:  016  016  017
15:  018  017  018
16:  018  018  018
17:  018  019  019
18:  020  019  020
19:  021  020  020
20:  021  021  021
21:  023  022  023
22:  023  023  024
23:  024  024  023
24:  024  025  024
25:  026  025  026
26:  027  026  026
27:  028  027  027
28:  027  028  028
29:  028  029  028
30:  030  029  030
31:  029  030  030
32:  030  031  030
33:  032  031  032
34:  032  032  032
35:  033  033  033
36:  033  034  033
37:  035  034  035
38:  035  035  036
39:  035  036  036
40:  037  036  037
41:  037  037  038
42:  039  038  038
43:  039  039  038
44:  039  040  039
45:  041  040  041
46:  041  041  041
47:  041  042  041
48:  043  043  042
49:  043  044  043
50:  045  044  045
51:  045  045  046
52:  045  046  046
53:  046  047  046
54:  048  047  048
55:  048  048  049
56:  049  049  050
57:  049  050  050
58:  050  051  050
59:  052  051  052
60:  052  052  053
61:  052  053  053
62:  053  054  054
63:  054  055  054
64:  056  055  056
65:  056  056  057
66:  056  057  057
67:  057  058  057
68:  059  058  059
69:  060  059  060
70:  061  060  060
71:  061  061  061
72:  061  062  061
73:  063  062  063
74:  064  063  063
75:  064  064  063
76:  065  065  066
77:  066  066  065
78:  066  067  066
79:  068  067  068
80:  069  068  068
81:  069  069  068
82:  070  070  071
83:  070  071  070
84:  072  071  072
85:  071  072  072
86:  073  072  073
87:  073  073  074
88:  073  074  073
89:  075  074  075
90:  076  075  076
91:  076  076  075
92:  076  077  076
93:  078  077  077
94:  077  078  078
95:  079  078  079
96:  079  079  078
97:  079  080  079
98:  080  080  081
99:  081  081  082
100:  081  082  081
101:  083  082  083
102:  083  083  083
103:  083  084  083
104:  085  084  084
105:  084  085  085
106:  085  086  086
107:  086  087  086
108:  087  087  088
109:  087  088  087
110:  089  088  088
111:  089  089  088
112:  089  090  089
113:  091  090  090
114:  092  091  091
115:  092  092  091
116:  092  093  092
117:  094  093  094
118:  094  094  094
119:  094  095  095
120:  096  095  095
121:  096  096  097
122:  098  097  097
123:  098  098  097
124:  099  098  099
125:  100  099  099
126:  099  100  100
127:  101  100  100
128:  102  101  101
129:  102  102  103
130:  103  103  103
131:  103  104  103
132:  105  104  105
133:  106  105  105
134:  106  106  105
135:  107  107  108
136:  107  108  108
137:  109  108  109
138:  110  109  110
139:  110  110  109
140:  111  111  110
141:  111  112  111
142:  112  113  113
143:  113  114  113
144:  115  114  114
145:  116  115  115
146:  116  116  117
147:  117  117  116
148:  118  118  119
149:  119  119  118
150:  119  120  120
151:  120  121  120
152:  121  122  121
153:  123  122  123
154:  123  124  123
155:  124  125  124
156:  125  126  125
157:  127  126  126
158:  128  127  128
159:  129  128  129
160:  129  130  129
161:  130  131  130
162:  131  132  131
163:  132  133  132
164:  134  134  135
165:  135  135  136
166:  136  136  137
167:  138  137  137
168:  139  138  138
169:  139  140  139
170:  140  141  140
171:  141  142  141
172:  142  143  142
173:  143  144  143
174:  145  145  144
175:  145  146  145
176:  147  147  146
177:  148  148  147
178:  149  149  148
179:  151  150  151
180:  152  151  152
181:  153  152  153
182:  153  154  153
183:  155  155  154
184:  156  156  155
185:  157  157  156
186:  158  158  158
187:  160  159  159
188:  161  160  160
189:  161  162  161
190:  162  163  162
191:  163  164  164
192:  165  165  164
193:  167  166  167
194:  168  167  168
195:  168  169  168
196:  169  170  169
197:  172  171  171
198:  173  172  173
199:  174  173  174
200:  174  175  174
201:  175  176  175
202:  178  177  177
203:  179  178  179
204:  180  179  180
205:  180  181  181
206:  183  182  182
207:  184  183  184
208:  184  185  184
209:  185  186  185
210:  188  187  188
211:  188  189  188
212:  190  190  189
213:  191  191  192
214:  192  193  192
215:  194  194  194
216:  196  195  195
217:  196  197  196
218:  199  198  198
219:  199  200  199
220:  200  201  201
221:  202  203  203
222:  204  204  204
223:  206  205  206
224:  206  207  207
225:  209  208  208
226:  210  210  210
227:  212  211  212
228:  212  213  212
229:  215  214  215
230:  215  216  215
231:  217  217  218
232:  218  219  219
233:  220  220  221
234:  222  221  222
235:  222  223  223
236:  224  224  225
237:  225  226  225
238:  228  227  227
239:  228  229  229
240:  230  230  231
241:  231  232  232
242:  234  233  234
243:  236  235  236
244:  237  236  236
245:  237  238  237
246:  240  239  239
247:  241  241  242
248:  242  243  242
249:  244  244  245
250:  245  246  245
251:  247  247  247
252:  248  249  249
253:  250  250  251
254:  251  252  251
255:  254  253  253
256:  254  255  254
