# LutGenerate 2.2 - 09/30/05
#  Display ID: DELL_2001FP_C064657T37DL
# Ambient = 0.25   Max. Luminence = 228.00   Luminence Ratio = 300.00
#  lumResponse vers. 1.5d - 09/30/05
#  iLdelay=1  avgN=1  ILlimit=0.50  R=22.1% G=70.7% B=7.2%
1:  001  001  001
2:  001  002  001
3:  003  002  003
4:  004  005  005
5:  006  007  006
6:  007  008  007
7:  008  009  008
8:  009  010  009
9:  011  011  010
10:  011  012  012
11:  012  013  012
12:  014  013  014
13:  015  014  014
14:  015  015  015
15:  015  016  015
16:  017  017  016
17:  017  018  017
18:  019  018  019
19:  019  019  018
20:  019  020  019
21:  021  020  021
22:  021  021  022
23:  023  022  023
24:  023  023  024
25:  023  024  024
26:  024  025  024
27:  026  025  025
28:  026  026  025
29:  027  027  027
30:  027  028  027
31:  029  028  029
32:  029  029  028
33:  029  030  029
34:  031  030  030
35:  031  031  030
36:  031  032  031
37:  033  032  033
38:  034  033  034
39:  034  034  034
40:  034  035  034
41:  036  035  035
42:  036  036  035
43:  036  037  036
44:  038  037  038
45:  039  038  039
46:  039  039  039
47:  039  040  039
48:  041  040  041
49:  041  041  042
50:  041  042  042
51:  043  043  042
52:  043  044  043
53:  045  044  045
54:  045  045  045
55:  045  046  046
56:  047  046  047
57:  048  047  047
58:  048  048  047
59:  049  049  050
60:  049  050  049
61:  051  050  051
62:  051  051  052
63:  051  052  052
64:  052  053  052
65:  054  053  054
66:  055  054  055
67:  055  055  056
68:  055  056  056
69:  057  056  057
70:  058  057  057
71:  058  058  057
72:  059  059  060
73:  059  060  060
74:  060  061  060
75:  062  061  062
76:  062  062  062
77:  062  063  062
78:  064  063  064
79:  065  064  065
80:  066  065  066
81:  066  066  067
82:  066  067  067
83:  067  068  067
84:  069  068  069
85:  069  069  070
86:  071  070  070
87:  070  071  070
88:  072  071  072
89:  072  072  071
90:  073  072  073
91:  073  073  074
92:  073  074  073
93:  075  074  075
94:  076  075  076
95:  076  076  075
96:  076  077  076
97:  078  077  077
98:  077  078  078
99:  079  078  079
100:  079  079  078
101:  079  080  079
102:  081  080  081
103:  082  081  082
104:  082  082  082
105:  082  083  082
106:  083  083  084
107:  083  084  083
108:  085  084  085
109:  085  085  084
110:  086  086  085
111:  086  087  086
112:  088  087  087
113:  088  088  087
114:  088  089  088
115:  090  089  089
116:  089  090  090
117:  091  091  090
118:  091  092  091
119:  093  092  092
120:  093  093  094
121:  093  094  094
122:  094  095  094
123:  096  095  095
124:  096  096  095
125:  097  096  096
126:  098  097  097
127:  098  098  097
128:  098  099  098
129:  100  099  099
130:  100  100  100
131:  100  101  100
132:  101  102  102
133:  102  103  102
134:  104  103  104
135:  104  104  105
136:  104  105  105
137:  105  106  105
138:  107  106  107
139:  108  107  107
140:  109  108  108
141:  109  109  109
142:  109  110  110
143:  110  111  110
144:  112  111  112
145:  113  112  112
146:  114  113  114
147:  115  114  114
148:  115  115  115
149:  115  116  115
150:  116  117  116
151:  118  118  117
152:  118  119  118
153:  119  120  119
154:  120  121  120
155:  122  121  121
156:  122  123  122
157:  123  124  123
158:  124  125  124
159:  126  125  126
160:  127  126  127
161:  128  127  128
162:  128  129  128
163:  129  130  129
164:  130  131  130
165:  131  132  132
166:  132  133  133
167:  135  134  135
168:  136  135  135
169:  137  136  137
170:  137  138  137
171:  139  139  138
172:  140  140  139
173:  141  141  141
174:  141  142  142
175:  142  143  142
176:  143  144  143
177:  146  145  145
178:  147  146  147
179:  148  147  147
180:  149  148  148
181:  149  150  150
182:  151  151  150
183:  152  152  153
184:  154  153  153
185:  155  154  155
186:  155  156  155
187:  156  157  157
188:  158  158  157
189:  159  159  160
190:  161  160  160
191:  161  162  161
192:  162  163  163
193:  163  164  164
194:  165  165  164
195:  166  167  166
196:  167  168  167
197:  168  169  169
198:  170  170  169
199:  171  172  171
200:  172  173  172
201:  173  174  173
202:  175  175  174
203:  176  176  177
204:  177  178  177
205:  179  179  178
206:  180  180  180
207:  181  182  181
208:  183  183  183
209:  185  184  184
210:  186  185  186
211:  188  187  187
212:  189  188  189
213:  189  190  189
214:  191  191  190
215:  193  192  193
216:  194  194  194
217:  196  195  195
218:  196  197  196
219:  199  198  199
220:  199  200  199
221:  201  201  202
222:  202  203  203
223:  205  204  205
224:  205  206  205
225:  208  207  207
226:  209  209  210
227:  210  211  210
228:  211  212  212
229:  214  213  213
230:  215  215  214
231:  216  216  217
232:  218  217  218
233:  220  219  219
234:  221  220  220
235:  221  222  222
236:  223  223  223
237:  224  225  225
238:  227  226  226
239:  227  228  227
240:  229  229  229
241:  231  231  230
242:  232  233  232
243:  233  234  233
244:  235  236  235
245:  238  237  238
246:  239  239  238
247:  240  241  240
248:  242  242  243
249:  243  244  243
250:  246  245  245
251:  247  247  248
252:  248  249  248
253:  249  250  249
254:  251  252  251
255:  254  253  254
256:  254  255  254
