# LutGenerate 2.2 - 09/30/05
#  Display ID: DELL_2001FP_C064657T37EL
# Ambient = 0.25   Max. Luminence = 186.00   Luminence Ratio = 248.00
#  lumResponse vers. 1.5d - 09/30/05
#  iLdelay=1  avgN=1  ILlimit=0.50  R=23.6% G=69.7% B=6.7%
1:  000  000  000
2:  000  001  000
3:  001  001  002
4:  001  002  001
5:  004  003  003
6:  005  006  005
7:  008  007  008
8:  008  009  008
9:  009  010  009
10:  011  011  011
11:  012  012  011
12:  012  013  013
13:  014  014  013
14:  014  015  015
15:  015  016  015
16:  016  017  017
17:  017  018  017
18:  019  018  019
19:  019  019  020
20:  019  020  019
21:  020  021  021
22:  021  022  021
23:  023  022  023
24:  024  023  023
25:  025  024  024
26:  025  025  025
27:  025  026  026
28:  027  027  026
29:  027  028  027
30:  029  028  029
31:  029  029  028
32:  029  030  029
33:  031  030  031
34:  032  031  032
35:  032  032  031
36:  032  033  032
37:  033  034  033
38:  035  034  035
39:  035  035  036
40:  035  036  035
41:  037  036  037
42:  037  037  038
43:  038  038  039
44:  038  039  038
45:  040  039  040
46:  040  040  041
47:  042  041  041
48:  042  042  041
49:  042  043  042
50:  044  043  044
51:  045  044  045
52:  045  045  046
53:  045  046  046
54:  046  047  046
55:  048  047  048
56:  049  048  049
57:  049  049  050
58:  049  050  049
59:  050  051  051
60:  051  052  051
61:  053  052  053
62:  053  053  054
63:  054  054  055
64:  054  055  055
65:  055  056  055
66:  057  056  056
67:  057  057  056
68:  058  058  058
69:  058  059  058
70:  059  060  059
71:  061  060  060
72:  062  061  062
73:  062  062  062
74:  062  063  062
75:  063  064  063
76:  065  064  065
77:  066  065  066
78:  067  066  067
79:  067  067  067
80:  068  068  069
81:  068  069  069
82:  069  070  069
83:  070  071  070
84:  072  071  072
85:  073  072  072
86:  073  073  072
87:  073  074  073
88:  074  075  074
89:  076  075  075
90:  075  076  076
91:  077  076  077
92:  077  077  078
93:  078  078  079
94:  078  079  078
95:  080  079  079
96:  079  080  080
97:  080  081  080
98:  082  081  082
99:  082  082  082
100:  082  083  082
101:  084  083  083
102:  083  084  084
103:  084  085  084
104:  086  085  086
105:  086  086  086
106:  086  087  086
107:  088  087  088
108:  089  088  088
109:  088  089  089
110:  090  089  089
111:  090  090  091
112:  091  091  090
113:  091  092  091
114:  093  092  092
115:  093  093  092
116:  094  093  093
117:  094  094  094
118:  095  095  094
119:  095  096  095
120:  097  096  097
121:  097  097  098
122:  098  098  098
123:  098  099  098
124:  100  099  099
125:  101  100  100
126:  100  101  100
127:  102  102  101
128:  102  103  102
129:  104  103  104
130:  105  104  104
131:  106  105  106
132:  105  106  105
133:  107  106  107
134:  107  107  106
135:  108  108  108
136:  108  109  108
137:  110  109  110
138:  111  110  110
139:  111  111  110
140:  112  112  111
141:  112  113  112
142:  114  113  114
143:  115  114  114
144:  116  115  115
145:  116  116  116
146:  116  117  116
147:  118  118  117
148:  118  119  118
149:  119  120  119
150:  121  120  120
151:  122  121  121
152:  123  122  122
153:  123  123  124
154:  124  124  123
155:  126  125  125
156:  126  126  125
157:  127  127  126
158:  127  128  127
159:  129  129  128
160:  130  130  129
161:  130  131  131
162:  132  132  133
163:  133  133  133
164:  134  134  133
165:  136  135  135
166:  137  136  136
167:  138  137  137
168:  138  138  139
169:  139  140  139
170:  140  141  140
171:  142  142  141
172:  143  143  142
173:  144  144  143
174:  146  145  145
175:  147  146  146
176:  148  147  147
177:  149  148  149
178:  149  150  149
179:  150  151  150
180:  152  152  151
181:  153  153  152
182:  154  154  154
183:  156  155  156
184:  157  156  157
185:  158  157  158
186:  158  159  159
187:  159  160  159
188:  160  161  161
189:  163  162  162
190:  164  163  164
191:  165  164  165
192:  166  166  165
193:  167  167  166
194:  168  168  169
195:  170  169  170
196:  170  171  170
197:  172  172  172
198:  173  173  174
199:  175  174  174
200:  176  175  176
201:  176  177  176
202:  177  178  178
203:  180  179  180
204:  181  180  181
205:  182  182  181
206:  183  183  184
207:  185  184  184
208:  186  185  185
209:  186  187  187
210:  188  188  187
211:  190  189  190
212:  190  191  190
213:  191  192  192
214:  194  193  194
215:  194  195  194
216:  196  196  196
217:  198  197  198
218:  199  199  198
219:  200  200  201
220:  202  201  202
221:  203  203  202
222:  205  204  204
223:  206  206  205
224:  208  207  207
225:  209  209  208
226:  211  210  210
227:  212  211  212
228:  214  213  213
229:  214  215  214
230:  217  216  217
231:  217  218  217
232:  219  220  219
233:  220  221  220
234:  222  222  221
235:  223  224  223
236:  225  225  224
237:  226  227  226
238:  228  228  227
239:  229  229  230
240:  230  231  230
241:  232  232  232
242:  233  234  233
243:  234  235  234
244:  237  236  236
245:  237  238  238
246:  239  239  240
247:  240  241  240
248:  243  242  242
249:  243  244  244
250:  246  245  246
251:  247  247  246
252:  249  248  248
253:  251  250  250
254:  251  252  251
255:  254  253  253
256:  255  255  254
