# LutGenerate 2.2 - 10/14/05
#  Display ID: DELL_2001FP_C06465881KFL
# Ambient = 0.25   Max. Luminence = 230.00   Luminence Ratio = 175.00
#  lumResponse vers. 1.5d - 10/14/05
#  iLdelay=1  avgN=1  ILlimit=0.50  R=22.9% G=69.9% B=7.3%
1:  012  013  013
2:  015  014  015
3:  016  015  015
4:  017  016  017
5:  018  017  017
6:  019  019  018
7:  020  020  021
8:  022  021  022
9:  023  022  023
10:  024  023  023
11:  025  024  025
12:  025  025  026
13:  027  026  026
14:  027  027  026
15:  027  028  028
16:  028  029  029
17:  030  029  030
18:  030  030  030
19:  030  031  030
20:  032  031  031
21:  033  032  032
22:  033  033  034
23:  033  034  033
24:  035  034  034
25:  035  036  035
26:  037  036  036
27:  037  037  036
28:  037  038  037
29:  038  039  038
30:  040  039  039
31:  039  040  040
32:  041  040  040
33:  042  041  041
34:  042  042  042
35:  042  043  042
36:  043  043  044
37:  043  044  044
38:  045  044  045
39:  045  045  045
40:  045  046  045
41:  047  046  047
42:  047  047  046
43:  047  048  047
44:  048  048  049
45:  048  049  048
46:  050  049  050
47:  050  050  051
48:  050  051  050
49:  051  051  052
50:  052  053  052
51:  054  053  053
52:  053  054  054
53:  054  055  054
54:  056  055  055
55:  055  056  055
56:  057  056  056
57:  056  057  057
58:  058  057  058
59:  058  058  057
60:  058  059  058
61:  060  059  060
62:  059  060  060
63:  061  060  060
64:  061  061  061
65:  061  062  061
66:  063  062  062
67:  063  063  062
68:  064  063  064
69:  064  064  064
70:  064  065  064
71:  066  065  066
72:  066  066  065
73:  066  067  066
74:  068  067  067
75:  067  068  067
76:  070  069  069
77:  069  070  070
78:  071  070  071
79:  071  071  072
80:  071  072  072
81:  073  072  073
82:  073  073  073
83:  073  074  073
84:  075  074  074
85:  074  075  075
86:  075  076  075
87:  076  076  077
88:  077  077  078
89:  077  078  077
90:  079  078  078
91:  079  079  078
92:  079  080  079
93:  081  080  081
94:  080  081  081
95:  082  081  082
96:  082  082  082
97:  083  083  082
98:  083  084  083
99:  085  084  084
100:  084  085  084
101:  086  085  086
102:  086  087  086
103:  088  087  087
104:  088  088  087
105:  088  089  088
106:  089  089  089
107:  091  090  090
108:  091  091  090
109:  091  092  091
110:  093  092  092
111:  094  093  093
112:  093  094  093
113:  094  095  094
114:  096  095  095
115:  096  096  095
116:  096  097  097
117:  098  097  097
118:  098  098  098
119:  098  099  098
120:  100  099  099
121:  101  100  100
122:  101  101  102
123:  101  102  101
124:  104  103  103
125:  105  104  104
126:  105  105  104
127:  106  106  105
128:  106  107  106
129:  108  107  107
130:  108  108  108
131:  109  109  109
132:  110  110  109
133:  110  111  110
134:  112  111  112
135:  113  112  113
136:  114  113  113
137:  114  114  115
138:  115  115  114
139:  115  116  115
140:  117  117  116
141:  118  118  117
142:  118  119  118
143:  121  120  120
144:  122  121  121
145:  123  122  122
146:  124  123  123
147:  125  124  124
148:  125  125  125
149:  126  126  127
150:  127  127  127
151:  128  128  128
152:  130  129  129
153:  130  131  130
154:  131  132  131
155:  132  133  132
156:  133  134  133
157:  134  135  134
158:  135  136  135
159:  138  137  138
160:  139  138  138
161:  139  139  139
162:  140  140  140
163:  142  141  141
164:  142  142  141
165:  143  143  143
166:  144  144  143
167:  144  145  145
168:  145  146  145
169:  147  147  146
170:  147  148  148
171:  148  149  148
172:  150  149  150
173:  151  150  150
174:  152  151  151
175:  153  152  153
176:  155  154  154
177:  155  155  156
178:  156  156  157
179:  157  157  158
180:  158  158  157
181:  159  159  158
182:  160  160  160
183:  161  161  161
184:  162  162  161
185:  162  163  163
186:  163  164  164
187:  165  165  164
188:  165  166  165
189:  166  167  166
190:  168  168  168
191:  170  169  169
192:  170  170  170
193:  171  172  171
194:  172  173  172
195:  174  174  173
196:  174  175  175
197:  175  176  176
198:  177  177  176
199:  178  178  178
200:  179  179  178
201:  181  180  180
202:  182  181  182
203:  182  183  182
204:  184  183  184
205:  184  185  184
206:  186  186  185
207:  187  187  186
208:  188  189  188
209:  190  190  189
210:  191  191  192
211:  192  192  193
212:  193  194  193
213:  195  195  194
214:  196  196  195
215:  197  197  198
216:  198  199  198
217:  199  200  199
218:  200  201  201
219:  202  202  202
220:  204  203  203
221:  206  205  206
222:  206  207  206
223:  208  208  209
224:  209  209  209
225:  211  210  211
226:  211  212  211
227:  212  213  212
228:  213  214  213
229:  215  215  215
230:  217  216  217
231:  217  217  218
232:  219  219  218
233:  221  220  221
234:  222  222  223
235:  224  223  224
236:  225  225  225
237:  226  226  225
238:  228  227  227
239:  229  229  228
240:  231  230  231
241:  232  231  231
242:  234  233  233
243:  234  235  234
244:  236  235  236
245:  238  237  237
246:  239  239  240
247:  240  241  240
248:  242  242  243
249:  243  244  243
250:  245  245  244
251:  246  247  246
252:  247  248  247
253:  250  249  249
254:  250  251  250
255:  252  253  252
256:  254  255  254
