# luminance for red (#ff0000), green (#00ff00) and blue (#0000ff)
# 18 files
#   r2g      b2g       Lmin      Lmax      red       grn       blu    FILE
# 0.32423  0.10362     0.472   243.167    58.206   179.522    18.602  Average
  0.32143  0.10275     0.453   244.000    58.500   182.000    18.700  uLR_DELL_2001FP_C064657T2NUL.txt
  0.32849  0.10279     0.421   242.000    58.800   179.000    18.400  uLR_DELL_2001FP_C064657T2NVL.txt
  0.34442  0.10316     0.523   252.000    61.100   177.400    18.300  uLR_DELL_2001FP_C064657T2P0L.txt
  0.37052  0.10628     0.460   236.000    63.100   170.300    18.100  uLR_DELL_2001FP_C064657T2P3L.txt
  0.31923  0.10165     0.452   245.000    58.100   182.000    18.500  uLR_DELL_2001FP_C064657T2P8L.txt
  0.33583  0.10053     0.529   252.000    62.800   187.000    18.800  uLR_DELL_2001FP_C064657T2P9L.txt
  0.30944  0.10333     0.409   246.000    55.700   180.000    18.600  uLR_DELL_2001FP_C064657T2PAL.txt
  0.28737  0.10909     0.525   263.000    56.900   198.000    21.600  uLR_DELL_2001FP_C064657T2PCL.txt
  0.31452  0.10484     0.428   252.000    58.500   186.000    19.500  uLR_DELL_2001FP_C064657T36JL.txt
  0.29876  0.10548     0.366   237.000    50.700   169.700    17.900  uLR_DELL_2001FP_C064657T36NL.txt
  0.34136  0.10524     0.520   257.000    65.200   191.000    20.100  uLR_DELL_2001FP_C064657T36WL.txt
  0.29848  0.10203     0.490   264.000    58.800   197.000    20.100  uLR_DELL_2001FP_C064657T370L.txt
  0.36311  0.10566     0.520   233.000    62.200   171.300    18.100  uLR_DELL_2001FP_C064657T371L.txt
  0.32158  0.10288     0.429   228.000    54.700   170.100    17.500  uLR_DELL_2001FP_C064657T375L.txt
  0.33611  0.10155     0.542   221.000    56.500   168.100    17.070  uLR_DELL_2001FP_C064657T377L.txt
  0.32818  0.10000     0.504   245.000    59.400   181.000    18.100  uLR_DELL_2001FP_C064657T379L.txt
  0.31264  0.10592     0.498   232.000    54.900   175.600    18.600  uLR_DELL_2001FP_C064657T37CL.txt
  0.31224  0.10163     0.432   228.000    51.800   165.900    16.860  uLR_DELL_2001FP_C064657T37DL.txt
