# LutGenerate 2.3 - 12/07/06
#  Display ID: DELL_2007FP_C953667D35YL
# Ambient = 0.10   Max. Luminance = 217.00   Luminance Ratio = 350.00
#  lumResponse vers. 1.5f - 12/07/06
#  iLdelay=1  avgN=1  ILlimit_plus=0.50 ILlimit_minus=-0.05  R=22.5% G=68.3% B=9.2%
1:  012  012  013
2:  013  013  014
3:  013  014  014
4:  014  015  014
5:  016  015  015
6:  016  016  015
7:  016  017  016
8:  018  017  018
9:  018  018  017
10:  019  018  019
11:  019  019  019
12:  019  020  019
13:  021  020  020
14:  021  021  020
15:  022  021  022
16:  022  022  022
17:  022  023  022
18:  023  023  024
19:  023  024  023
20:  025  024  024
21:  024  025  025
22:  026  025  025
23:  025  026  026
24:  027  026  026
25:  026  027  026
26:  027  027  028
27:  027  028  027
28:  028  028  028
29:  028  029  028
30:  030  029  030
31:  030  030  029
32:  031  030  031
33:  030  031  031
34:  032  031  031
35:  031  032  032
36:  033  032  032
37:  033  033  032
38:  034  033  034
39:  034  034  034
40:  034  035  034
41:  036  035  035
42:  035  036  036
43:  037  036  037
44:  037  037  037
45:  037  038  037
46:  039  038  039
47:  039  039  038
48:  039  040  039
49:  041  040  040
50:  040  041  041
51:  042  041  042
52:  042  042  043
53:  042  043  042
54:  044  043  044
55:  044  044  044
56:  044  045  044
57:  046  045  045
58:  046  046  045
59:  047  046  047
60:  047  047  048
61:  047  048  047
62:  049  048  049
63:  049  049  049
64:  049  050  049
65:  051  050  050
66:  051  051  050
67:  051  052  051
68:  052  052  053
69:  052  053  053
70:  054  053  054
71:  054  054  055
72:  054  055  055
73:  056  055  056
74:  056  056  057
75:  057  057  058
76:  057  058  058
77:  059  058  059
78:  059  059  060
79:  059  060  060
80:  061  060  061
81:  061  061  062
82:  061  062  062
83:  063  062  063
84:  063  063  064
85:  063  064  064
86:  065  064  065
87:  065  065  066
88:  065  066  065
89:  067  066  067
90:  067  067  067
91:  067  068  067
92:  069  068  069
93:  069  069  069
94:  069  070  069
95:  071  070  071
96:  071  071  070
97:  071  072  071
98:  073  072  072
99:  073  073  072
100:  073  074  073
101:  075  074  074
102:  075  075  074
103:  075  076  075
104:  077  076  076
105:  077  077  076
106:  077  078  077
107:  079  078  078
108:  079  079  078
109:  079  080  079
110:  081  080  081
111:  081  081  081
112:  081  082  081
113:  083  082  082
114:  083  083  084
115:  083  084  084
116:  084  085  084
117:  085  085  084
118:  087  086  086
119:  087  087  088
120:  087  088  087
121:  088  089  088
122:  090  089  089
123:  090  090  091
124:  091  091  090
125:  091  092  091
126:  094  093  093
127:  094  094  093
128:  094  095  095
129:  095  096  095
130:  096  097  096
131:  098  097  098
132:  098  098  099
133:  099  099  100
134:  100  100  101
135:  101  101  100
136:  101  102  102
137:  102  103  102
138:  103  104  103
139:  105  104  105
140:  105  106  105
141:  107  106  106
142:  108  107  107
143:  109  108  108
144:  110  109  109
145:  111  110  111
146:  112  111  111
147:  112  113  112
148:  113  114  114
149:  115  115  114
150:  116  116  117
151:  117  117  118
152:  119  118  118
153:  120  119  119
154:  120  121  120
155:  121  122  121
156:  123  123  124
157:  125  124  125
158:  126  125  126
159:  126  127  126
160:  127  128  128
161:  129  129  128
162:  129  130  130
163:  130  131  131
164:  131  132  132
165:  133  133  132
166:  133  134  134
167:  134  135  135
168:  135  136  136
169:  136  137  137
170:  137  138  138
171:  138  139  138
172:  139  140  139
173:  140  141  141
174:  141  142  142
175:  142  143  142
176:  144  144  144
177:  145  145  145
178:  146  146  147
179:  147  147  148
180:  149  148  148
181:  149  149  150
182:  151  150  150
183:  152  151  151
184:  153  152  152
185:  154  153  154
186:  155  154  155
187:  155  156  155
188:  156  157  156
189:  157  158  157
190:  158  159  159
191:  159  160  160
192:  161  161  161
193:  162  162  161
194:  163  163  164
195:  165  164  164
196:  166  165  166
197:  166  167  166
198:  167  168  167
199:  168  169  169
200:  170  170  171
201:  171  172  171
202:  172  173  172
203:  173  174  174
204:  176  175  175
205:  177  176  177
206:  177  178  177
207:  178  179  179
208:  180  180  180
209:  182  181  182
210:  182  183  182
211:  184  184  183
212:  186  185  185
213:  186  187  186
214:  188  188  188
215:  190  189  190
216:  190  191  190
217:  192  192  192
218:  194  193  194
219:  195  195  194
220:  197  196  196
221:  197  198  197
222:  199  199  198
223:  200  201  200
224:  202  202  201
225:  204  203  204
226:  204  205  204
227:  206  206  207
228:  207  208  207
229:  209  209  208
230:  211  210  211
231:  212  212  212
232:  214  213  214
233:  214  215  215
234:  217  216  217
235:  217  218  217
236:  220  219  219
237:  221  221  220
238:  223  222  223
239:  224  224  224
240:  226  225  226
241:  227  227  227
242:  229  230  229
243:  230  231  230
244:  232  233  232
245:  234  235  234
246:  235  236  235
247:  237  238  237
248:  239  240  239
249:  241  242  241
250:  244  243  243
251:  246  245  246
252:  247  247  246
253:  250  249  249
254:  251  251  251
255:  254  253  253
256:  255  255  255
