# LutGenerate 2.3 - 12/08/06
#  Display ID: DELL_2007FP_C953667D38KL
# Ambient = 0.10   Max. Luminance = 229.00   Luminance Ratio = 350.00
#  lumResponse vers. 1.5f - 12/08/06
#  iLdelay=1  avgN=1  ILlimit_plus=0.50 ILlimit_minus=-0.05  R=23.0% G=67.9% B=9.1%
1:  013  013  012
2:  013  014  013
3:  015  014  015
4:  015  015  016
5:  016  016  015
6:  016  017  016
7:  018  017  018
8:  018  018  018
9:  019  018  019
10:  019  019  019
11:  019  020  019
12:  021  020  021
13:  021  021  021
14:  021  022  021
15:  022  022  023
16:  022  023  022
17:  024  023  023
18:  023  024  024
19:  025  024  025
20:  025  025  025
21:  026  025  026
22:  026  026  025
23:  027  026  027
24:  026  027  027
25:  028  027  028
26:  027  028  028
27:  028  028  028
28:  030  029  029
29:  029  030  029
30:  030  030  031
31:  030  031  030
32:  031  031  031
33:  032  031  032
34:  032  032  032
35:  032  033  032
36:  033  033  034
37:  033  034  034
38:  035  034  035
39:  035  035  034
40:  035  036  035
41:  036  036  037
42:  036  037  037
43:  038  037  038
44:  038  038  039
45:  038  039  038
46:  040  039  040
47:  040  040  040
48:  040  041  040
49:  042  041  042
50:  042  042  041
51:  042  043  042
52:  043  043  044
53:  044  044  043
54:  045  044  045
55:  045  045  046
56:  045  046  045
57:  047  046  047
58:  047  047  047
59:  047  048  047
60:  049  048  048
61:  049  049  048
62:  049  050  049
63:  051  050  050
64:  050  051  051
65:  052  051  052
66:  052  052  053
67:  052  053  053
68:  054  053  054
69:  054  054  054
70:  054  055  054
71:  056  055  056
72:  056  056  056
73:  056  057  057
74:  057  058  057
75:  059  058  059
76:  059  059  059
77:  059  060  059
78:  061  060  061
79:  061  061  061
80:  061  062  061
81:  063  062  063
82:  063  063  063
83:  063  064  063
84:  065  064  065
85:  065  065  065
86:  065  066  065
87:  067  066  067
88:  067  067  066
89:  067  068  067
90:  068  068  069
91:  068  069  069
92:  070  069  070
93:  070  070  071
94:  070  071  070
95:  072  071  072
96:  072  072  072
97:  072  073  072
98:  074  073  074
99:  074  074  073
100:  074  075  074
101:  076  075  075
102:  076  076  075
103:  076  077  077
104:  078  077  077
105:  078  078  077
106:  079  078  078
107:  079  079  080
108:  079  080  080
109:  080  081  080
110:  081  081  082
111:  081  082  082
112:  082  083  082
113:  084  083  083
114:  083  084  084
115:  084  085  084
116:  085  085  084
117:  087  086  086
118:  087  087  086
119:  087  088  087
120:  089  088  089
121:  089  089  090
122:  090  090  089
123:  090  091  090
124:  092  092  091
125:  092  093  093
126:  093  094  093
127:  095  094  095
128:  096  095  095
129:  096  096  097
130:  096  097  097
131:  097  098  097
132:  099  098  098
133:  100  099  100
134:  101  100  100
135:  101  101  101
136:  102  102  101
137:  102  103  103
138:  103  104  104
139:  104  105  104
140:  106  105  106
141:  107  106  107
142:  108  107  107
143:  109  108  108
144:  110  109  109
145:  110  110  111
146:  111  111  111
147:  112  112  113
148:  113  113  113
149:  115  114  115
150:  116  115  116
151:  117  116  117
152:  117  118  117
153:  118  119  118
154:  119  120  120
155:  121  121  120
156:  122  122  121
157:  124  123  123
158:  125  124  125
159:  126  125  126
160:  126  127  126
161:  127  128  127
162:  128  129  129
163:  129  130  130
164:  130  131  130
165:  131  132  131
166:  132  133  132
167:  133  134  134
168:  134  135  134
169:  135  136  135
170:  136  137  136
171:  137  138  137
172:  139  138  139
173:  140  139  140
174:  141  140  141
175:  142  141  142
176:  142  143  142
177:  143  144  144
178:  145  145  144
179:  145  146  146
180:  147  147  146
181:  148  148  147
182:  149  149  149
183:  150  150  149
184:  151  151  150
185:  152  152  151
186:  153  153  154
187:  155  154  154
188:  156  155  156
189:  157  156  156
190:  158  157  158
191:  159  158  159
192:  160  159  160
193:  160  161  160
194:  161  162  161
195:  162  163  162
196:  164  164  163
197:  165  165  166
198:  166  166  167
199:  168  167  168
200:  169  168  169
201:  169  170  169
202:  171  171  171
203:  173  172  172
204:  173  174  173
205:  174  175  174
206:  176  176  175
207:  178  177  177
208:  179  178  179
209:  179  180  180
210:  181  181  180
211:  183  182  182
212:  183  184  183
213:  185  185  184
214:  187  186  186
215:  187  188  187
216:  189  189  189
217:  191  190  191
218:  191  192  192
219:  194  193  193
220:  194  195  194
221:  196  196  195
222:  198  197  198
223:  198  199  198
224:  201  200  201
225:  201  202  201
226:  203  203  202
227:  205  204  205
228:  205  206  205
229:  208  207  207
230:  209  208  209
231:  210  210  209
232:  212  211  212
233:  213  213  212
234:  215  214  215
235:  216  216  215
236:  218  217  218
237:  218  219  219
238:  221  220  220
239:  222  222  221
240:  223  224  223
241:  225  225  225
242:  227  227  226
243:  229  229  228
244:  230  231  230
245:  232  233  232
246:  235  234  235
247:  237  236  237
248:  238  238  238
249:  240  240  240
250:  241  242  241
251:  244  244  243
252:  245  246  245
253:  247  248  247
254:  249  250  249
255:  253  253  252
256:  254  255  254
