# LutGenerate 2.3 - 12/07/06
#  Display ID: DELL_2007FP_C953667D38PL
# Ambient = 0.10   Max. Luminance = 215.00   Luminance Ratio = 350.00
#  lumResponse vers. 1.5f - 12/07/06
#  iLdelay=1  avgN=1  ILlimit_plus=0.50 ILlimit_minus=-0.05  R=22.2% G=68.6% B=9.2%
1:  010  011  010
2:  011  012  011
3:  012  013  013
4:  013  014  013
5:  015  014  015
6:  015  015  015
7:  015  016  016
8:  016  017  016
9:  018  017  017
10:  017  018  018
11:  019  018  019
12:  019  019  018
13:  019  020  019
14:  020  020  021
15:  020  021  021
16:  022  021  022
17:  022  022  022
18:  022  023  022
19:  023  023  024
20:  023  024  023
21:  025  024  024
22:  024  025  025
23:  026  025  026
24:  025  026  026
25:  027  026  027
26:  026  027  027
27:  028  027  027
28:  027  028  028
29:  028  028  028
30:  029  029  030
31:  029  030  029
32:  030  030  031
33:  030  031  030
34:  031  031  031
35:  031  032  031
36:  032  032  032
37:  032  033  032
38:  033  033  034
39:  033  034  033
40:  035  034  035
41:  035  035  034
42:  035  036  035
43:  036  036  037
44:  036  037  037
45:  038  037  038
46:  038  038  039
47:  038  039  038
48:  040  039  040
49:  040  040  040
50:  040  041  040
51:  042  041  042
52:  042  042  041
53:  042  043  042
54:  044  043  043
55:  043  044  044
56:  045  044  045
57:  045  045  046
58:  045  046  046
59:  047  046  047
60:  047  047  047
61:  047  048  047
62:  049  048  049
63:  049  049  048
64:  049  050  049
65:  051  050  050
66:  050  051  051
67:  052  051  052
68:  052  052  053
69:  052  053  053
70:  054  053  054
71:  054  054  055
72:  054  055  055
73:  056  055  056
74:  056  056  056
75:  057  057  058
76:  057  058  058
77:  059  058  059
78:  059  059  060
79:  059  060  060
80:  061  060  061
81:  061  061  062
82:  061  062  062
83:  062  063  062
84:  064  063  063
85:  064  064  063
86:  064  065  064
87:  066  065  065
88:  065  066  066
89:  067  066  067
90:  067  067  068
91:  067  068  068
92:  069  068  069
93:  069  069  070
94:  069  070  070
95:  071  070  071
96:  071  071  072
97:  071  072  071
98:  073  072  073
99:  073  073  074
100:  073  074  073
101:  075  074  075
102:  075  075  075
103:  075  076  075
104:  077  076  077
105:  077  077  077
106:  077  078  077
107:  078  079  078
108:  079  079  080
109:  079  080  080
110:  081  080  081
111:  081  081  082
112:  081  082  082
113:  082  083  082
114:  084  083  084
115:  084  084  084
116:  084  085  084
117:  085  086  085
118:  087  086  087
119:  087  087  088
120:  088  088  087
121:  088  089  088
122:  090  089  090
123:  090  090  091
124:  091  091  090
125:  091  092  092
126:  092  093  092
127:  094  094  094
128:  094  095  095
129:  095  096  095
130:  096  097  096
131:  098  097  097
132:  099  098  098
133:  100  099  099
134:  100  100  100
135:  101  101  100
136:  102  102  101
137:  102  103  102
138:  103  104  103
139:  104  105  104
140:  106  105  106
141:  107  106  107
142:  108  107  107
143:  109  108  108
144:  110  109  109
145:  111  110  110
146:  112  111  112
147:  113  112  112
148:  113  114  113
149:  115  115  114
150:  116  116  115
151:  117  117  117
152:  118  118  119
153:  120  119  119
154:  121  120  121
155:  122  121  122
156:  122  123  122
157:  124  124  123
158:  125  125  126
159:  127  126  126
160:  127  128  127
161:  128  129  128
162:  129  130  129
163:  130  131  130
164:  131  132  131
165:  132  133  132
166:  133  134  133
167:  135  134  134
168:  136  135  136
169:  137  136  137
170:  138  137  138
171:  139  138  138
172:  140  139  140
173:  141  140  141
174:  142  141  142
175:  142  142  142
176:  143  144  143
177:  144  145  144
178:  145  146  145
179:  146  147  146
180:  147  148  148
181:  148  149  148
182:  149  150  150
183:  150  151  151
184:  152  152  151
185:  152  153  153
186:  154  154  153
187:  155  155  154
188:  156  156  156
189:  157  157  158
190:  158  158  159
191:  160  159  159
192:  161  160  161
193:  162  161  162
194:  163  162  163
195:  163  164  163
196:  164  165  164
197:  166  166  165
198:  167  167  166
199:  168  168  169
200:  170  169  170
201:  170  171  171
202:  172  172  171
203:  173  173  174
204:  175  174  175
205:  175  176  175
206:  176  177  177
207:  178  178  178
208:  180  179  179
209:  180  181  180
210:  181  182  182
211:  183  183  184
212:  185  184  184
213:  185  186  185
214:  187  187  187
215:  189  188  189
216:  189  190  189
217:  191  191  192
218:  193  192  192
219:  193  194  194
220:  196  195  195
221:  196  197  196
222:  198  198  197
223:  199  199  200
224:  201  201  200
225:  203  202  202
226:  203  204  203
227:  205  205  205
228:  207  206  207
229:  208  208  207
230:  210  209  209
231:  210  211  210
232:  213  212  212
233:  213  214  213
234:  215  215  216
235:  216  217  216
236:  218  218  218
237:  219  220  219
238:  221  221  222
239:  222  223  222
240:  225  224  224
241:  225  226  226
242:  228  228  229
243:  229  230  230
244:  230  231  231
245:  233  233  234
246:  235  235  234
247:  237  236  237
248:  238  238  239
249:  241  240  240
250:  242  242  243
251:  245  244  244
252:  247  246  246
253:  248  249  248
254:  250  251  250
255:  253  253  254
256:  254  255  255
