# LutGenerate 2.3 - 12/08/06
#  Display ID: DELL_2007FP_C953667D38UL
# Ambient = 0.10   Max. Luminance = 221.00   Luminance Ratio = 350.00
#  lumResponse vers. 1.5f - 12/08/06
#  iLdelay=1  avgN=1  ILlimit_plus=0.50 ILlimit_minus=-0.05  R=22.4% G=68.8% B=8.8%
1:  014  013  014
2:  015  014  015
3:  015  015  016
4:  016  016  016
5:  017  017  016
6:  017  018  017
7:  019  018  018
8:  019  019  018
9:  019  020  019
10:  021  020  020
11:  021  021  021
12:  021  022  021
13:  023  022  022
14:  022  023  023
15:  024  023  024
16:  024  024  025
17:  024  025  024
18:  026  025  025
19:  025  026  025
20:  027  026  026
21:  026  027  026
22:  028  027  027
23:  027  028  028
24:  028  028  028
25:  030  029  029
26:  029  030  029
27:  031  030  030
28:  030  031  030
29:  031  031  032
30:  031  032  031
31:  033  032  032
32:  032  033  033
33:  034  033  034
34:  034  034  035
35:  034  035  034
36:  036  035  036
37:  036  036  036
38:  036  037  036
39:  038  037  038
40:  038  038  038
41:  038  039  038
42:  040  039  040
43:  040  040  040
44:  040  041  040
45:  042  041  042
46:  042  042  042
47:  042  043  042
48:  044  043  044
49:  044  044  044
50:  044  045  044
51:  046  045  046
52:  046  046  046
53:  046  047  046
54:  048  047  048
55:  048  048  048
56:  048  049  048
57:  050  049  050
58:  050  050  049
59:  050  051  050
60:  052  051  052
61:  052  052  051
62:  052  053  052
63:  054  053  054
64:  054  054  053
65:  054  055  054
66:  056  055  056
67:  056  056  056
68:  056  057  056
69:  057  058  057
70:  059  058  059
71:  059  059  060
72:  059  060  060
73:  061  060  061
74:  062  061  061
75:  062  062  061
76:  062  063  062
77:  064  063  063
78:  064  064  063
79:  064  065  064
80:  066  065  065
81:  065  066  066
82:  067  066  067
83:  067  067  068
84:  067  068  067
85:  069  068  069
86:  069  069  069
87:  069  070  069
88:  071  070  070
89:  070  071  071
90:  072  071  072
91:  072  072  073
92:  072  073  073
93:  074  073  074
94:  074  074  074
95:  074  075  074
96:  076  075  076
97:  076  076  076
98:  076  077  076
99:  078  077  077
100:  077  078  078
101:  079  078  079
102:  079  079  080
103:  079  080  079
104:  081  080  081
105:  082  081  081
106:  081  082  081
107:  083  082  082
108:  083  083  084
109:  083  084  084
110:  085  084  085
111:  085  085  085
112:  087  086  086
113:  087  087  086
114:  087  088  087
115:  089  088  088
116:  089  089  089
117:  089  090  089
118:  091  090  091
119:  091  091  092
120:  092  092  092
121:  092  093  092
122:  094  093  093
123:  095  094  094
124:  095  095  094
125:  095  096  096
126:  098  097  097
127:  098  098  099
128:  099  099  098
129:  099  100  099
130:  101  100  101
131:  102  101  102
132:  103  102  102
133:  103  103  102
134:  104  104  103
135:  104  105  105
136:  105  106  105
137:  106  107  106
138:  108  107  107
139:  109  108  108
140:  110  109  109
141:  111  110  110
142:  111  111  110
143:  112  112  111
144:  113  113  113
145:  115  114  115
146:  116  115  115
147:  117  116  116
148:  118  117  117
149:  119  118  118
150:  120  119  119
151:  120  121  120
152:  121  122  121
153:  122  123  122
154:  123  124  123
155:  125  125  124
156:  126  126  126
157:  127  127  128
158:  129  128  129
159:  130  129  129
160:  130  130  131
161:  131  131  132
162:  132  132  131
163:  133  133  134
164:  134  134  133
165:  135  135  134
166:  136  136  135
167:  137  137  136
168:  137  138  137
169:  138  139  138
170:  139  140  139
171:  140  141  140
172:  141  142  141
173:  142  143  142
174:  144  144  143
175:  145  145  145
176:  146  146  145
177:  147  147  146
178:  148  148  147
179:  149  149  149
180:  150  150  150
181:  151  151  150
182:  152  152  153
183:  153  153  154
184:  154  154  155
185:  155  155  156
186:  157  156  156
187:  158  157  157
188:  159  158  158
189:  160  159  160
190:  161  160  161
191:  161  162  161
192:  162  163  162
193:  163  164  163
194:  164  165  165
195:  166  166  165
196:  167  167  166
197:  169  168  169
198:  170  169  169
199:  171  171  170
200:  172  172  173
201:  173  173  173
202:  175  174  174
203:  175  176  175
204:  177  177  176
205:  178  178  179
206:  179  179  179
207:  181  180  180
208:  181  182  182
209:  183  183  182
210:  185  184  184
211:  185  186  185
212:  186  187  187
213:  188  188  189
214:  189  190  189
215:  191  191  190
216:  193  192  192
217:  193  194  193
218:  194  195  195
219:  196  196  197
220:  198  197  198
221:  198  199  198
222:  201  200  201
223:  201  202  201
224:  203  203  202
225:  205  204  204
226:  206  205  206
227:  206  207  207
228:  209  208  208
229:  209  210  209
230:  210  211  211
231:  213  212  212
232:  213  214  213
233:  215  215  215
234:  216  217  216
235:  218  218  217
236:  220  219  220
237:  221  221  220
238:  223  222  223
239:  224  224  223
240:  226  225  226
241:  227  227  226
242:  229  229  228
243:  230  231  230
244:  232  232  232
245:  233  234  233
246:  235  236  235
247:  237  238  237
248:  238  239  238
249:  240  241  240
250:  243  242  243
251:  245  244  245
252:  246  246  247
253:  249  248  248
254:  250  251  250
255:  253  253  253
256:  254  255  254
