# LutGenerate 2.3 - 12/08/06
#  Display ID: DELL_2007FP_C953667D3GYL
# Ambient = 0.10   Max. Luminance = 245.00   Luminance Ratio = 350.00
#  lumResponse vers. 1.5f - 12/08/06
#  iLdelay=1  avgN=1  ILlimit_plus=0.50 ILlimit_minus=-0.05  R=22.1% G=68.8% B=9.1%
1:  014  014  015
2:  014  015  015
3:  015  016  015
4:  017  016  017
5:  018  017  017
6:  017  018  018
7:  019  018  019
8:  019  019  018
9:  019  020  019
10:  021  020  020
11:  021  021  021
12:  021  022  021
13:  022  022  023
14:  022  023  022
15:  024  023  023
16:  023  024  024
17:  025  024  025
18:  025  025  025
19:  026  025  026
20:  026  026  025
21:  027  026  027
22:  027  027  026
23:  028  027  028
24:  028  028  027
25:  028  029  029
26:  030  029  029
27:  029  030  029
28:  031  030  030
29:  030  031  030
30:  031  031  032
31:  031  032  031
32:  032  032  032
33:  032  033  032
34:  034  033  033
35:  034  034  033
36:  035  034  035
37:  035  035  036
38:  035  036  035
39:  037  036  037
40:  037  037  037
41:  037  038  037
42:  039  038  038
43:  038  039  039
44:  040  039  040
45:  040  040  041
46:  040  041  041
47:  042  041  042
48:  042  042  043
49:  042  043  042
50:  044  043  044
51:  044  044  044
52:  044  045  044
53:  046  045  046
54:  046  046  046
55:  046  047  046
56:  048  047  047
57:  048  048  047
58:  049  048  049
59:  049  049  050
60:  049  050  050
61:  051  050  051
62:  051  051  052
63:  051  052  051
64:  053  052  053
65:  053  053  054
66:  053  054  053
67:  055  054  055
68:  055  055  056
69:  055  056  055
70:  056  057  056
71:  058  057  058
72:  058  058  059
73:  058  059  059
74:  060  059  060
75:  060  060  061
76:  060  061  061
77:  061  062  061
78:  063  062  062
79:  063  063  062
80:  063  064  063
81:  065  064  064
82:  065  065  064
83:  066  065  066
84:  066  066  067
85:  066  067  067
86:  068  067  068
87:  068  068  069
88:  068  069  068
89:  070  069  070
90:  070  070  070
91:  070  071  070
92:  072  071  071
93:  072  072  071
94:  072  073  072
95:  074  073  073
96:  073  074  074
97:  075  074  075
98:  075  075  076
99:  075  076  075
100:  077  076  077
101:  077  077  078
102:  077  078  078
103:  079  078  079
104:  079  079  078
105:  079  080  079
106:  081  080  080
107:  081  081  081
108:  081  082  081
109:  083  082  083
110:  083  083  083
111:  083  084  083
112:  085  084  084
113:  085  085  085
114:  086  086  086
115:  086  087  087
116:  088  087  088
117:  089  088  088
118:  089  089  088
119:  089  090  089
120:  091  090  090
121:  092  091  091
122:  092  093  092
123:  094  093  093
124:  094  094  095
125:  095  095  094
126:  095  096  095
127:  097  096  096
128:  098  097  097
129:  098  098  098
130:  099  099  099
131:  099  100  100
132:  100  101  100
133:  102  101  102
134:  103  102  103
135:  104  103  103
136:  104  104  105
137:  105  105  104
138:  106  106  105
139:  106  107  106
140:  107  108  107
141:  108  109  108
142:  109  110  109
143:  110  111  110
144:  111  112  111
145:  113  112  113
146:  113  114  114
147:  115  115  114
148:  116  116  115
149:  117  117  116
150:  118  118  119
151:  119  119  120
152:  120  120  121
153:  122  121  122
154:  123  122  123
155:  123  124  123
156:  124  125  125
157:  126  126  125
158:  127  127  127
159:  129  128  128
160:  129  129  130
161:  130  130  131
162:  131  131  132
163:  132  132  133
164:  133  133  133
165:  134  134  133
166:  135  135  134
167:  136  136  135
168:  137  137  136
169:  137  138  138
170:  138  139  139
171:  139  140  140
172:  140  141  141
173:  141  142  142
174:  143  143  144
175:  144  144  145
176:  145  145  146
177:  146  146  147
178:  147  147  148
179:  149  148  148
180:  150  149  149
181:  151  150  150
182:  152  151  151
183:  153  152  153
184:  154  153  154
185:  155  154  155
186:  156  155  156
187:  157  156  156
188:  157  158  157
189:  158  159  158
190:  159  160  159
191:  161  161  160
192:  162  162  161
193:  163  163  163
194:  164  164  165
195:  166  165  165
196:  167  166  167
197:  167  168  167
198:  168  169  168
199:  169  170  170
200:  172  171  172
201:  172  173  172
202:  173  174  174
203:  175  175  174
204:  177  176  176
205:  178  177  178
206:  178  179  178
207:  179  180  180
208:  181  181  182
209:  183  182  183
210:  183  184  183
211:  185  185  185
212:  187  186  187
213:  187  188  187
214:  189  189  189
215:  191  190  191
216:  191  192  192
217:  194  193  193
218:  195  194  195
219:  195  196  196
220:  198  197  197
221:  199  198  199
222:  201  200  200
223:  202  201  201
224:  202  203  203
225:  204  204  205
226:  206  205  206
227:  206  207  207
228:  209  208  208
229:  209  210  209
230:  211  211  211
231:  213  212  213
232:  213  214  214
233:  216  215  216
234:  216  217  216
235:  219  218  218
236:  220  220  219
237:  221  221  220
238:  222  223  222
239:  225  224  224
240:  226  226  225
241:  227  228  227
242:  229  230  229
243:  231  231  230
244:  232  233  232
245:  235  234  235
246:  236  236  236
247:  237  238  237
248:  239  239  240
249:  241  242  241
250:  243  243  242
251:  244  245  245
252:  246  247  247
253:  248  249  248
254:  250  251  251
255:  252  253  253
256:  254  255  254
