# LutGenerate 2.4 - 01/29/07 16:09:20 - #  Display ID: DELL_2007WFP_HF7306BL1MUL
# Ambient = 0.20   Max. Luminance = 269.000   Luminance Ratio = 350.00
#  lumResponse vers. 1.6 - 01/29/07 16:08:01
#  iLdelay=1  avgN=1  ILlimit_plus=0.20 ILlimit_minus=-0.05  R=21.1% G=70.0% B=8.9%
 DV    R    G    B     target Lum+Lamb   uLR Lum+Lamb
  1:  014  014  015           0.769      0.769
  2:  015  015  014           0.815      0.816
  3:  015  016  015           0.862      0.861
  4:  016  017  016           0.911      0.915
  5:  017  017  018           0.962      0.941
  6:  018  018  019           1.014      1.013
  7:  018  019  018           1.068      1.073
  8:  020  019  019           1.124      1.131
  9:  019  020  020           1.182      1.177
 10:  021  020  021           1.241      1.230
 11:  021  021  022           1.302      1.303
 12:  021  022  021           1.365      1.378
 13:  023  022  022           1.430      1.438
 14:  022  023  022           1.497      1.507
 15:  023  023  024           1.566      1.560
 16:  023  024  023           1.637      1.633
 17:  025  024  024           1.709      1.708
 18:  024  025  025           1.784      1.787
 19:  026  025  026           1.861      1.867
 20:  025  026  025           1.940      1.950
 21:  026  026  027           2.021      2.020
 22:  027  026  027           2.104      2.060
 23:  027  027  026           2.190      2.200
 24:  028  027  027           2.277      2.270
 25:  027  028  028           2.367      2.370
 26:  029  028  028           2.459      2.470
 27:  028  029  028           2.554      2.560
 28:  029  029  030           2.651      2.640
 29:  029  030  029           2.750      2.800
 30:  030  030  029           2.851      2.850
 31:  031  030  031           2.955      2.950
 32:  030  031  030           3.062      3.070
 33:  031  031  032           3.171      3.180
 34:  032  031  032           3.282      3.240
 35:  032  032  031           3.397      3.400
 36:  033  032  033           3.513      3.490
 37:  033  033  034           3.633      3.630
 38:  033  034  034           3.755      3.750
 39:  034  035  034           3.880      3.920
 40:  036  035  036           4.008      4.000
 41:  036  036  036           4.138      4.130
 42:  036  037  037           4.272      4.270
 43:  038  037  038           4.408      4.370
 44:  039  038  038           4.547      4.550
 45:  039  039  038           4.689      4.690
 46:  039  040  039           4.835      4.850
 47:  041  040  041           4.983      4.970
 48:  041  041  042           5.134      5.120
 49:  041  042  042           5.289      5.280
 50:  042  043  042           5.447      5.480
 51:  044  043  044           5.608      5.610
 52:  044  044  044           5.772      5.770
 53:  044  045  044           5.940      5.930
 54:  046  045  046           6.111      6.070
 55:  047  046  046           6.285      6.300
 56:  047  047  046           6.463      6.470
 57:  047  048  047           6.645      6.670
 58:  049  048  049           6.830      6.830
 59:  049  049  050           7.019      7.020
 60:  049  050  050           7.211      7.210
 61:  051  050  051           7.407      7.360
 62:  051  051  051           7.607      7.550
 63:  053  052  052           7.811      7.800
 64:  053  053  053           8.019      8.020
 65:  053  054  053           8.231      8.230
 66:  055  054  055           8.447      8.400
 67:  056  055  055           8.666      8.670
 68:  056  056  056           8.890      8.900
 69:  056  057  056           9.118      9.110
 70:  057  058  057           9.351      9.410
 71:  059  058  058           9.587      9.580
 72:  059  059  059           9.829      9.830
 73:  059  060  060          10.074     10.080
 74:  060  061  060          10.324     10.370
 75:  062  061  062          10.579     10.580
 76:  062  062  063          10.838     10.850
 77:  062  063  063          11.102     11.100
 78:  063  064  063          11.370     11.420
 79:  065  064  065          11.644     11.630
 80:  065  065  065          11.922     11.930
 81:  065  066  065          12.205     12.250
 82:  067  066  067          12.494     12.500
 83:  067  067  066          12.787     12.790
 84:  067  068  067          13.086     13.160
 85:  068  068  069          13.389     13.330
 86:  069  069  070          13.698     13.710
 87:  069  070  069          14.013     14.030
 88:  071  070  071          14.333     14.320
 89:  071  071  070          14.659     14.640
 90:  071  072  071          14.990     15.040
 91:  073  072  073          15.327     15.350
 92:  073  073  072          15.669     15.670
 93:  073  074  073          16.018     16.120
 94:  075  074  074          16.372     16.400
 95:  074  075  075          16.733     16.730
 96:  076  075  076          17.099     17.020
 97:  076  076  077          17.472     17.480
 98:  077  077  076          17.851     17.900
 99:  078  077  077          18.237     18.100
100:  078  078  078          18.629     18.600
101:  078  079  078          19.027     19.000
102:  080  079  080          19.432     19.400
103:  080  080  079          19.844     19.800
104:  080  081  080          20.263     20.300
105:  082  081  081          20.689     20.600
106:  082  082  081          21.121     21.100
107:  082  083  082          21.561     21.600
108:  084  083  084          22.008     22.000
109:  084  084  085          22.462     22.500
110:  084  085  084          22.924     22.900
111:  085  085  086          23.394     23.200
112:  087  086  087          23.871     23.900
113:  087  087  088          24.355     24.400
114:  087  088  087          24.848     24.800
115:  089  088  088          25.349     25.200
116:  090  089  089          25.857     25.900
117:  090  090  089          26.374     26.400
118:  092  091  092          26.899     26.900
119:  092  092  092          27.433     27.400
120:  093  093  092          27.975     28.000
121:  093  094  093          28.526     28.600
122:  095  094  095          29.085     29.000
123:  096  095  095          29.654     29.700
124:  096  096  095          30.231     30.200
125:  096  097  097          30.818     30.800
126:  097  098  097          31.414     31.500
127:  099  098  098          32.019     31.900
128:  100  099  099          32.634     32.600
129:  100  100  101          33.259     33.300
130:  101  101  100          33.893     33.900
131:  101  102  101          34.538     34.500
132:  102  103  103          35.192     35.200
133:  103  104  104          35.857     35.900
134:  104  105  104          36.532     36.600
135:  105  106  105          37.218     37.300
136:  107  106  106          37.914     37.800
137:  108  107  107          38.621     38.600
138:  109  108  108          39.339     39.300
139:  110  109  109          40.068     40.100
140:  110  110  110          40.809     40.800
141:  111  111  111          41.561     41.600
142:  112  112  111          42.324     42.300
143:  113  113  112          43.099     43.100
144:  114  114  113          43.887     43.900
145:  115  115  114          44.686     44.700
146:  116  116  116          45.497     45.500
147:  117  117  116          46.321     46.300
148:  118  118  119          47.158     47.200
149:  119  119  120          48.007     48.000
150:  121  120  121          48.870     48.800
151:  122  121  122          49.745     49.600
152:  122  123  122          50.634     50.700
153:  123  124  123          51.536     51.500
154:  125  125  124          52.452     52.500
155:  126  126  126          53.382     53.400
156:  127  127  127          54.326     54.300
157:  129  128  128          55.284     55.300
158:  130  129  130          56.257     56.300
159:  130  130  131          57.244     57.200
160:  131  131  132          58.246     58.200
161:  133  132  132          59.263     59.300
162:  134  133  133          60.296     60.300
163:  135  134  134          61.344     61.300
164:  136  135  135          62.408     62.400
165:  136  136  137          63.488     63.300
166:  137  138  137          64.584     64.700
167:  138  139  138          65.696     65.800
168:  139  140  139          66.825     66.900
169:  140  141  140          67.971     68.000
170:  141  142  141          69.133     69.100
171:  142  143  143          70.314     70.300
172:  143  144  144          71.511     71.500
173:  145  145  144          72.727     72.700
174:  146  146  145          73.961     74.000
175:  147  147  146          75.213     75.200
176:  148  148  149          76.483     76.500
177:  149  149  150          77.772     77.700
178:  150  150  151          79.081     79.000
179:  152  151  151          80.409     80.400
180:  153  152  153          81.756     81.700
181:  154  154  153          83.123     83.400
182:  154  155  155          84.511     84.500
183:  156  156  155          85.918     85.900
184:  157  157  157          87.347     87.400
185:  158  158  159          88.797     88.800
186:  160  159  159          90.268     90.300
187:  161  160  161          91.760     91.800
188:  162  161  162          93.275     93.100
189:  162  163  162          94.811     95.000
190:  163  164  163          96.370     96.400
191:  165  165  164          97.953     98.000
192:  166  166  166          99.558     99.600
193:  167  167  168         101.186    101.200
194:  169  168  168         102.839    102.800
195:  170  169  170         104.515    104.300
196:  170  171  170         106.216    106.300
197:  172  172  173         107.942    107.900
198:  174  173  174         109.693    109.700
199:  174  175  174         111.470    111.700
200:  175  176  176         113.272    113.300
201:  177  177  177         115.101    115.100
202:  179  178  178         116.956    117.000
203:  180  179  180         118.838    118.700
204:  180  181  180         120.748    120.500
205:  181  182  182         122.685    122.600
206:  183  183  184         124.650    124.600
207:  185  184  185         126.644    126.400
208:  185  186  186         128.666    128.600
209:  187  187  188         130.718    130.700
210:  188  189  188         132.800    132.700
211:  190  190  190         134.911    134.900
212:  192  191  192         137.054    136.900
213:  192  193  193         139.227    139.100
214:  195  194  195         141.431    141.500
215:  195  196  195         143.668    143.700
216:  197  197  198         145.936    145.900
217:  199  198  199         148.237    148.000
218:  200  200  199         150.572    150.600
219:  202  201  202         152.940    153.000
220:  202  203  202         155.342    155.500
221:  204  204  204         157.779    157.700
222:  205  206  205         160.250    160.200
223:  208  207  208         162.757    162.800
224:  208  209  208         165.301    165.300
225:  210  210  211         167.880    167.800
226:  211  212  211         170.497    170.600
227:  214  213  213         173.151    173.300
228:  215  215  214         175.844    176.200
229:  216  216  215         178.575    178.200
230:  217  218  217         181.345    181.200
231:  219  219  218         184.154    184.200
232:  220  221  220         187.004    187.200
233:  223  222  222         189.895    190.200
234:  223  224  224         192.827    193.200
235:  226  225  226         195.801    196.200
236:  226  226  226         198.818    198.200
237:  227  228  227         201.877    202.200
238:  229  229  228         204.981    205.200
239:  231  230  231         208.128    208.200
240:  231  232  231         211.321    211.200
241:  232  233  233         214.559    214.200
242:  234  234  234         217.843    217.200
243:  235  236  235         221.174    221.200
244:  236  237  236         224.553    224.200
245:  238  239  238         227.980    228.200
246:  240  240  239         231.455    231.200
247:  241  242  241         234.980    235.200
248:  242  243  242         238.555    238.200
249:  244  245  244         242.181    242.200
250:  246  246  246         245.859    246.200
251:  247  247  247         249.589    249.200
252:  249  249  248         253.372    253.200
253:  250  250  251         257.209    257.200
254:  252  252  251         261.100    261.200
255:  253  254  253         265.046    265.200
256:  254  255  255         269.000    269.200
